"letters_id","letter_no_in_edition","sender_id","sender_as_marked","sender_inferred","sender_uncertain","recipient_id","recipient_as_marked","recipient_inferred","recipient_uncertain","label","send_date_year1","send_date_month1","send_date_day1","send_date_computable1","send_date_has_range","send_date_year2","send_date_month2","send_date_day2","send_date_computable2","send_date_as_marked","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_as_marked","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_as_marked","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x","further_annotation"
"gbudé_rep_1","26 [Budé lettres grecques] // 1 [Répertoire]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","fa8b4f44-551f-4cc6-a4f7-d5fb957064ae","Janus Lascaris","0","0","Ep. 1 A Janus Lascaris, à Milan. De Paris, 14 mars [1510]","1510","03","14","1510-03-14","0","1510","03","14","1510-03-14","14 mars [1510]","1","0","0","paris_FR_gid_2988507","De Paris","0","0","milano_IT_gid_3173435","Milan","0","0","greek","familiar letter","letter_1_to_1",""
"gbudé_rep_2","2 [Répertoire]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","5375f20d-1943-4735-b423-abf59baadfaa","Nicole Bérault","0","0","Ep. 2 A Nicole Bérault. De Paris, le 25 mars 1511","1511","03","25","1511-03-25","0","1511","03","25","1511-03-25","le 25 mars 1511","0","0","0","paris_FR_gid_2988507","De Paris","0","0","orléans_FR_gid_2989317","[Orléans]","0","1","latin","familiar letter","letter_1_to_1",""
"era_cwe_403","403 [CWE] // 3 [Répertoire]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasme","0","0","Ep. 3 A Erasme. 1er mai [1516]","1516","05","01","1516-05-01","0","1516","05","01","1516-05-01","1er mai [1516]","1","0","0","paris_FR_gid_2988507","","1","1","basel_CH_gid_2661604","[Basel]","1","1","latin","familiar letter","letter_1_to_1",""
"era_cwe_435","435 [CWE] // 4 [Répertoire]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasme","0","0","Ep. 4 A Erasme. Paris, 7 juillet [1516]","1516","07","07","1516-07-07","0","1516","07","07","1516-07-07","7 juillet [1516]","1","0","0","paris_FR_gid_2988507","Paris","0","0","antwerpen_BE_gid_2803138","[Antwerp]","1","1","latin","familiar letter","letter_1_to_1",""
"era_cwe_493","493 [CWE] // 5 [Répertoire]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasme","0","0","Ep. 5 A Erasme. Paris, 27 Octobre [1516]","1516","11","26","1516-11-26","0","1516","11","26","1516-11-26","[26 November 1516] [CWE]","1","0","0","paris_FR_gid_2988507","Paris","0","0","brussels_BE_gid_2800866","[Brussels]","1","1","latin","familiar letter","letter_1_to_1","the redating of this letter in CWE has been applied, cf. CWE IV, 137"
"gbudé_rep_6","15 [Budé lettres grecques] // 6 [Répertoire]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","3ae0d8be-cb3d-4651-8fd9-ad99555056ab","Louis Budé","0","0","Ep. 6 A Louis Budé. Paris, le 19 janvier [1517]","1517","01","19","1517-01-19","0","1517","01","19","1517-01-19","le 19 janvier [1517]","1","0","0","paris_FR_gid_2988507","Paris","0","0","troyes_FR_gid_2971549","[Troyes]","0","1","greek","familiar letter","letter_1_to_1",""
"era_cwe_522","522 [CWE] // 7 [Répertoire]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasme","0","0","Ep. 7 A Erasme. Paris, 5 février [1517]","1517","02","05","1517-02-05","0","1517","02","05","1517-02-05","5 février [1517]","1","0","0","paris_FR_gid_2988507","Paris","0","0","brussels_BE_gid_2800866","[Brussels]","1","1","latin","familiar letter","letter_1_to_1",""
"era_cwe_568","568 [CWE] // 8 [Répertoire]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasme","0","0","Ep. 8 A Erasme. Paris, 6 avril 1517","1517","04","05","1517-04-05","0","1517","04","05","1517-04-05","5 April [1517] [CWE]","1","0","0","paris_FR_gid_2988507","Paris","0","0","brussels_BE_gid_2800866","[Brussels]","1","1","latin","familiar letter","letter_1_to_1","the redating of this letter in CWE has been applied - note that there is no indication in CWE of the minor redating"
"era_cwealien_583","583 [CWE] // 9 [Répertoire]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","0f7bc43b-c60d-4261-a19a-e1e559dc8873","Cuthbert Tunstall","0","0","Ep. 9 A Cuthbert Tunstall. Paris, 19 mai [1517]","1517","05","19","1517-05-19","0","1517","05","19","1517-05-19","19 mai [1517]","1","0","0","paris_FR_gid_2988507","Paris","0","0","antwerpen_BE_gid_2803138","[Antwerp]","1","1","latin","familiar letter","letter_1_to_1",""
"gbudé_rep_10","10 [Répertoire]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","323b3987-6b7c-4bbd-853b-abe1dd1f85dd","Thomas Linacre","0","0","Ep. 10 A Thomas Linacre. Paris, 10 juillet [1517]","1517","07","10","1517-07-10","0","1517","07","10","1517-07-10","10 juillet [1517]","1","0","0","paris_FR_gid_2988507","Paris","0","0","london_GB_gid_2643743","[London]","1","1","latin","familiar letter","letter_1_to_1",""
"era_cwe_609","609 [CWE] // 11 [Répertoire]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasme","0","0","Ep. 11 A Erasme. Paris, 17. juillet 1517","1517","07","17","1517-07-17","0","1517","07","17","1517-07-17","17. juillet 1517","1","0","0","paris_FR_gid_2988507","Paris","0","0","leuven_BE_gid_2792482","[Leuven]","1","1","latin","familiar letter","letter_1_to_1",""
"gbudé_rep_12","12 [Répertoire]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","fca3ef2d-681d-49ff-b700-1929e91f81a1","Thomas Lupset","0","0","Ep 12 A Thomas Lupset. Paris, 31 juillet [1517]","1517","07","31","1517-07-31","0","1517","07","31","1517-07-31","31 juillet [1517]","1","0","0","paris_FR_gid_2988507","Paris","0","0","london_GB_gid_2643743","[London]","1","1","latin","prefatory letter","letter_1_to_1",""
"era_cwe_744","744 [CWE] // 13 [Répertoire]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasme","0","0","Ep 13 A Erasme. Paris, le 21 décembre [1517]","1517","12","21","1517-12-21","0","1517","12","21","1517-12-21","le 21 décembre [1517]","1","0","0","paris_FR_gid_2988507","Paris","0","0","leuven_BE_gid_2792482","[Leuven]","1","1","latin","familiar letter","letter_1_to_1",""
"era_cwe_810","810 [CWE] // 14 [Répertoire]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasme","0","0","Ep 14 A Erasme. Paris, 12 avril [1518]","1518","04","12","1518-04-12","0","1518","04","12","1518-04-12","12 avril [1518]","1","0","0","paris_FR_gid_2988507","Paris","0","0","leuven_BE_gid_2792482","[Leuven]","1","1","latin","familiar letter","letter_1_to_1",""
"era_cwe_819","819 [CWE] // 15 [Répertoire]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasme","0","0","Ep 15 A Erasme. Paris, 20 avril [1518]","1518","04","20","1518-04-20","0","1518","04","20","1518-04-20","20 avril [1518]","1","0","0","paris_FR_gid_2988507","Paris","0","0","leuven_BE_gid_2792482","[Leuven]","1","1","latin","familiar letter","letter_1_to_1",""
"gbudé_rep_16","16 [Répertoire]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","eeb88e60-ea26-4029-9e0c-77a8f3f58e5c","Richard Pace","0","0","Ep 16 A Richard Pace. Paris, 27 avril 1518","1518","04","27","1518-04-27","0","1518","04","27","1518-04-27","27 avril 1518","0","0","0","paris_FR_gid_2988507","Paris","0","0","unknown_location_XX_gid_unknown","","0","1","latin","familiar letter","letter_1_to_1",""
