"locations_id","geonames_id","wikidata_id","emlo_location_id","locations_name_modern","locations_name_in_edition","locations_modern_state","locations_modern_province","locations_lat","locations_lng","locations_ll_combined","locations_further_annotation"
"abbaye_saint_vincent_du_mans_FR_gid_unknown","Unknown","Q2820453","","Abbaye Saint-Vincent du Mans","Abbaye Saint-Vincent du Mans","France","Pays de la Loire","48.0125","0.203611","48.0125, 0.203611",""
"alzate_brianza_IT_gid_6535114","6535114","Q244038","14e87a47-c21e-44be-a258-6997caa50f6f","Alzate Brianza","Alzate Brianza bei Como","Italy","Lombardy","45.76978","9.18204","45.76978, 9.18204",""
"amboise_FR_gid_3037902","3037902","Q205116","1ed7f860-6480-416b-82f7-9d3cbed6272b","Amboise","Amboise","France","Centre-Val de Loire","47.41249","0.98266","47.41249, 0.98266",""
"anderlecht_BE_gid_2803201","2803201","Q12886","e8efee49-8e39-4b07-9d76-d4b826f5ca2c","Anderlecht","Anderlecht","Belgium","Brussels Capital","50.83619","4.31454","50.83619, 4.31454",""
"angers_FR_gid_3037656","3037656","Q38380","c814dd99-90bf-4e5b-bea9-8ec2d862f6f9","Angers","Angers","France","Pays de la Loire","47.47156","-0.55202","47.47156, -0.55202",""
"antwerpen_BE_gid_2803138","2803138","Q12892","a4467856-a6ed-44dc-af00-77d179ae3ae7","Antwerp","Antwerpen","Belgium","Flanders","51.21989","4.40346","51.21989, 4.40346",""
"ardres_FR_gid_3037113","3037113","Q262456","61c5a8c0-4ec0-47bb-838a-b06ef22819b3","Ardres","Ardres","France","Hauts-de-France","50.85786","1.98168","50.85786, 1.98168",""
"autun_FR_gid_3035883","3035883","Q190827","","Autun","Autun","France","Bourgogne-Franche-Comté","46.95104","4.29869","46.95104, 4.29869",""
"auxerre_FR_gid_3035843","3035843","Q167600","ff6a6819-1541-4815-bc22-e093c41bf574","Auxerre","Auxerre","France","Bourgogne-Franche-Comté","47.8","3.56667","47.8, 3.56667",""
"avignon_FR_gid_3035681","3035681","Q6397","6c1a7b22-586e-4e93-be67-1117a0495817","Avignon","Avignon","France","Provence-Alpes-Côte d'Azur","43.94834","4.80892","43.94834, 4.80892",""
"basel_CH_gid_2661604","2661604","Q78","3254f805-77ac-4ee3-acc8-6f8803794012","Basel","Basel","Switzerland","Basel-City","47.5584","7.57327","47.5584, 7.57327",""
"beaugency_FR_gid_3034297","3034297","Q429910","","Beaugency","Beaugency, near Orléans","France","Centre-Val de Loire","47.78019","1.62705","47.78019, 1.62705",""
"beaulieu_lès_loches_FR_gid_3034245","3034245","Q1136125","","Beaulieu-lès-Loches","Beaulieu-lès-Loches","France","Centre-Val de Loire","47.12526","1.01585","47.12526, 1.01585",""
"blois_FR_gid_3032213","3032213","Q160927","6a73ae8d-b54a-4faf-9cd7-5cc0c2af70bc","Blois","Blois","France","Centre-Val de Loire","47.58333","1.33333","47.58333, 1.33333",""
"bonnefont_FR_gid_3031759","3031759","Q1092724","","Bonnefont","Bonnefont","France","Occitanie","43.24983","0.34476","43.24983, 0.34476",""
"bordeaux_FR_gid_3031582","3031582","Q1479","53485726-d65d-4191-8158-b1f45aa34a25","Bordeaux","Bordeaux","France","Nouvelle-Aquitaine","44.84044","-0.5805","44.84044, -0.5805",""
"bouchain_FR_gid_3031380","3031380","Q632348","759f32ef-1b5e-49aa-945a-3004c24a022b","Bouchain","[Bouchain :CK]","France","Hauts-de-France","50.28519","3.31491","50.28519, 3.31491",""
"bourges_FR_gid_3031005","3031005","Q132404","d8999686-0217-4f76-897c-5193a98526c2","Bourges","Bourges","France","Centre-Val de Loire","47.08333","2.4","47.08333, 2.4",""
"brugge_BE_gid_2800931","2800931","Q12994","c2ca9023-26f6-45a4-8312-5df070b673a9","Bruges","Bruges","Belgium","Flanders","51.20892","3.22424","51.20892, 3.22424",""
"brussels_BE_gid_2800866","2800866","Q239","a774a57f-6fc4-4136-b541-90b0fc3275c4","Brussels","Brussels","Belgium","Brussels Capital","50.85045","4.34878","50.85045, 4.34878",""
"cambridge_GB_gid_2653941","2653941","Q350","97e0ef3c-9f15-4f64-8a32-3d3fa9dcf853","Cambridge","Cambridge","United Kingdom","England","52.2","0.11667","52.2, 0.11667",""
"carpentras_FR_gid_3028542","3028542","Q202560","2dbe6167-1bf4-40d5-a095-83a9b3b1e4f7","Carpentras","Carpentras","France","Provence-Alpes-Côte d'Azur","44.05","5.05","44.05, 5.05",""
"châtillon_sur_seine_FR_gid_3026046","3026046","Q244707","","Châtillon-sur-Seine","[Châtillon-sur-Seine :CK]","France","Bourgogne-Franche-Comté","47.85851","4.57375","47.85851, 4.57375",""
"chíos_GR_gid_259973","259973","Q748832","","Chios","Chios","Greece","North Aegean","38.36778","26.13583","38.36778, 26.13583",""
"cognac_FR_gid_3024440","3024440","Q285","","Cognac","Cognac","France","Nouvelle-Aquitaine","45.7","-0.33333","45.7, -0.33333",""
"cologna_veneta_IT_gid_3178288","3178288","","","Cologna Veneta","Cologna Veneta","Italy","Veneto","45.30777","11.38032","45.30777, 11.38032",""
"coutances_FR_gid_3022826","3022826","Q202565","","Coutances","Coutances","France","Normandy","49.04541","-1.44518","49.04541, -1.44518",""
"dijon_FR_gid_3021372","3021372","Q7003","bd769dc7-5147-42cd-9700-325e627945f0","Dijon","Dijon","France","Bourgogne-Franche-Comté","47.31667","5.01667","47.31667, 5.01667",""
"élincourt_FR_gid_3020293","3020293","Q737969","","Élincourt","[Élincourt :CK]","France","Hauts-de-France","50.04475","3.37125","50.04475, 3.37125",""
"ensisheim_FR_gid_3020152","3020152","Q455645","327fbdde-1063-4208-8da2-3415245f508c","Ensisheim","Ensisheim","France","Grand Est","47.86695","7.35212","47.86695, 7.35212",""
"florence_IT_gid_3176959","3176959","Q2044","e516929c-1183-45d7-a00b-48c174ce8d5f","Florence","Florence","Italy","Tuscany","43.77925","11.24626","43.77925, 11.24626",""
"fontainebleau_palace_FR_gid_7535589","7535589","Q201428","6fee122d-6a0e-4691-8f7d-a359e1d0ea4c","Palace of Fontainebleau","Palace of Fontainebleau","France","Île-de-France","48.40222","2.70056","48.40222, 2.70056",""
"fontenay_le_comte_FR_gid_3017921","3017921","Q213497","afb8518b-2056-49ce-8fdd-1ad051124bae","Fontenay-le-Comte","Fontenay-le-Comte","France","Pays de la Loire","46.46667","-0.81667","46.46667, -0.81667",""
"frankfurt_am_main_DE_gid_2925533","2925533","Q1794","7fd0970e-bae1-4865-bdbf-e993d1bfa883","Frankfurt am Main","Frankfurt","Germany","Hesse","50.11552","8.68417","50.11552, 8.68417",""
"freiburg_DE_gid_2925177","2925177","Q2833","8fc7fd47-a0ab-4591-aab4-44a642b6b389","Freiburg im Breisgau","Freiburg","Germany","Baden-Wurttemberg","47.9959","7.85222","47.9959, 7.85222",""
"genoa_IT_gid_3176219","3176219","Q1449","d54ee1fe-ff79-41ef-a851-28bc8ea67b03","Genoa","Genoa","Italy","Liguria","44.4264","8.91519","44.4264, 8.91519",""
"hackforth_GB_gid_2647701","2647701","Q4362927","","Hackforth","Hackforth, near Catterick","United Kingdom","England","54.33657","-1.62563","54.33657, -1.62563",""
"İstanbul_TR_gid_745044","745044","Q406","f6ef025c-fe69-4939-b98e-e0ddcf2cb166","Istanbul","Constantinople","Turkey","Istanbul","41.01384","28.94966","41.01384, 28.94966",""
"köln_DE_gid_2886242","2886242","Q365","d9b29744-9a05-49d8-babd-7837aa09f998","Cologne","Cologne","Germany","North Rhine-Westphalia","50.93333","6.95","50.93333, 6.95",""
"konstanz_DE_gid_2885679","2885679","Q3834","9d77b933-b413-4312-9cb8-2a19810c3620","Konstanz","Konstanz","Germany","Baden-Wurttemberg","47.66033","9.17582","47.66033, 9.17582",""
"la_villeneuve_sur_vingeanne_FR_gid_3005488","3005488","Q59164330","","La Villeneuve-sur-Vingeanne","Villeneuve-en-Bourgogne","France","Bourgogne-Franche-Comté","47.56314","5.42329","47.56314, 5.42329",""
"lambeth_GB_gid_6545250","6545250","Q148349","466fe88c-5304-453c-a127-6b6c908cf6e2","Lambeth","Lambeth","United Kingdom","England","51.49635","-0.11152","51.49635, -0.11152",""
"leuven_BE_gid_2792482","2792482","Q118958","5f02c010-ab88-48a8-be99-17a33c460458","Leuven","Louvain","Belgium","Flanders","50.87959","4.70093","50.87959, 4.70093",""
"liesse_notre_dame_FR_gid_2998460","2998460","Q846716","","Liesse-Notre-Dame","[Liesse-Notre-Dame :CK]","France","Hauts-de-France","49.61667","3.8","49.61667, 3.8",""
"london_GB_gid_2643743","2643743","Q84","283a71a7-cf68-4832-a381-9bf5388e1860","London","London","United Kingdom","England","51.50853","-0.12574","51.50853, -0.12574",""
"loudun_FR_gid_2997457","2997457","Q829358","9c64d529-0cb8-45f2-8d8e-91ab8e603010","Loudun","Loudun (Vienne)","France","Nouvelle-Aquitaine","47.00788","0.08296","47.00788, 0.08296",""
"lyon_FR_gid_2996944","2996944","Q456","7c517c9c-2bc3-4704-8068-ee739897fd00","Lyon","Lyon","France","Auvergne-Rhône-Alpes","45.74846","4.84671","45.74846, 4.84671",""
"marly_la_ville_FR_gid_2995653","2995653","Q1411294","63c03e06-1f5a-484b-882a-033e27e61777","Marly-la-Ville","Marly","France","Île-de-France","49.08201","2.50347","49.08201, 2.50347",""
"mechelen_BE_gid_2791537","2791537","Q162022","29053653-b038-4e4b-9d46-57e46bee6094","Mechelen","Mechelen","Belgium","Flanders","51.02574","4.47762","51.02574, 4.47762",""
"metz_FR_gid_2994160","2994160","Q22690","4e79bbd9-876e-4d1f-b1e8-04651cd4dda4","Metz","Metz","France","Grand Est","49.11911","6.17269","49.11911, 6.17269",""
"milano_IT_gid_3173435","3173435","Q490","e2360578-72bf-46a0-a35c-a5b7a3d95f07","Milan","Milan","Italy","Lombardy","45.46427","9.18951","45.46427, 9.18951",""
"modena_IT_gid_3173331","3173331","Q279","9d319530-65cb-417a-aae4-d726822b71a5","Modena","Modena","Italy","Emilia-Romagna","44.64783","10.92539","44.64783, 10.92539",""
"moncontour_FR_gid_2993379","2993379","Q274148","","Moncontour","Moncontour","France","Brittany","48.35955","-2.63404","48.35955, -2.63404",""
"montpellier_FR_gid_2992166","2992166","Q6441","9821ebcf-054c-4f0b-a97c-367e0c56e34a","Montpellier","Montpellier","France","Occitanie","43.61092","3.87723","43.61092, 3.87723",""
"mussy_sur_seine_FR_gid_2991095","2991095","Q740144","32926345-0bd6-476b-9e42-a39ebc27ab4f","Mussy-sur-Seine","Mussy","France","Grand Est","47.97791","4.49743","47.97791, 4.49743",""
"noyon_FR_gid_2989877","2989877","Q49831","","Noyon","Noyon","France","Hauts-de-France","49.58333","3","49.58333, 3",""
"nuits_saint_georges_FR_gid_2989837","2989837","Q16622","","Nuits-Saint-Georges","Nuits","France","Bourgogne-Franche-Comté","47.13683","4.949","47.13683, 4.949",""
"orléans_FR_gid_2989317","2989317","Q6548","90e31530-9678-4ad3-9ff9-77329fcd4b9b","Orléans","Orléans","France","Centre-Val de Loire","47.90289","1.90389","47.90289, 1.90389",""
"padova_IT_gid_3171728","3171728","Q617","f890d861-0f88-4b0e-a03d-62b589cd07cb","Padua","Padua","Italy","Veneto","45.40797","11.88586","45.40797, 11.88586",""
"paris_FR_gid_2988507","2988507","Q90","0d3cfe92-75a3-4ec3-b66e-3243ba783b6d","Paris","Paris","France","Île-de-France","48.85341","2.3488","48.85341, 2.3488",""
"pavia_IT_gid_3171366","3171366","Q6259","79651d1a-055e-40fe-b179-576dfa52b43f","Pavia","[Pavia]","Italy","Lombardy","45.19205","9.15917","45.19205, 9.15917",""
"pierrelatte_FR_gid_2987259","2987259","Q324027","","Pierrelatte","Pierrelatte","France","Auvergne-Rhône-Alpes","44.37756","4.70198","44.37756, 4.70198",""
"pontfaverger_moronvilliers_FR_gid_2986186","2986186","Q1598127","","Pontfaverger-Moronvilliers","[Pontfaverger-Moronvilliers :CK]","France","Grand Est","49.29702","4.31657","49.29702, 4.31657",""
"rambouillet_FR_gid_2984513","2984513","Q191119","e6240f32-c048-4bf8-803f-eb4ee979f5d5","Rambouillet","Rambouillet","France","Île-de-France","48.65","1.83333","48.65, 1.83333",""
"reims_FR_gid_2984114","2984114","Q41876","dd823a28-8047-42b8-ab44-ba1c76bf82b2","Reims","Reims","France","Grand Est","49.25","4.03333","49.25, 4.03333",""
"rodez_FR_gid_2983154","2983154","Q188780","","Rodez","Rodez","France","Occitanie","44.35258","2.57338","44.35258, 2.57338",""
"rome_IT_gid_3169070","3169070","Q220","ae5440ad-0030-41ed-b2e3-c74d8b57d854","Rome","Rome","Italy","Lazio","41.89193","12.51133","41.89193, 12.51133",""
"romorantin_lanthenay_FR_gid_2982967","2982967","Q214600","8ae04c3d-7062-4962-8bd6-85ad158a5e90","Romorantin-Lanthenay","Romorantin","France","Centre-Val de Loire","47.36667","1.75","47.36667, 1.75",""
"rotterdam_NL_gid_2747891","2747891","Q34370","6674b831-b714-4e11-b58b-1ad4430f8ac7","Rotterdam","Rotterdam","Netherlands","South Holland","51.9225","4.47917","51.9225, 4.47917",""
"rouen_FR_gid_2982652","2982652","Q30974","cb5c5658-21e7-4892-910b-a572dda88e53","Rouen","Rouen","France","Normandy","49.44313","1.09932","49.44313, 1.09932",""
"saint_germain_en_laye_FR_gid_2979783","2979783","Q185075","2b888dec-cbc1-4093-baa7-457cc8bc2f25","Saint-Germain-en-Laye","Saint-Germain-en-Laye","France","Île-de-France","48.9","2.08333","48.9, 2.08333",""
"saint_thierry_FR_gid_2976774","2976774","Q656519","","Saint-Thierry","[Saint-Thierry-lès-Reims :CK]","France","Grand Est","49.30546","3.96565","49.30546, 3.96565",""
"sankt_gallen_CH_gid_2658822","2658822","Q25607","1d0548c2-8d3d-4d0e-ad5a-d5cc3dd9cf4e","Saint Gallen","St Gallen","Switzerland","Saint Gallen","47.42391","9.37477","47.42391, 9.37477",""
"toulouse_FR_gid_2972315","2972315","Q7880","b36eb437-3c6c-402f-a75d-f907b9210584","Toulouse","Toulouse","France","Occitanie","43.60426","1.44367","43.60426, 1.44367",""
"tournon_sur_rhône_FR_gid_2972214","2972214","Q213155","13d6b0bb-1ac0-42bc-8ab3-98a2da46b65e","Tournon-sur-Rhône","Tournon","France","Auvergne-Rhône-Alpes","45.06667","4.83333","45.06667, 4.83333",""
"troyes_FR_gid_2971549","2971549","Q5489","759aa54f-be33-426d-8f6f-f938e73171aa","Troyes","Troyes","France","Grand Est","48.3","4.08333","48.3, 4.08333",""
"unknown_location_champagne_ardenne_FR_gid_unknown","Unknown","","","Unknown Location in Champagne-Ardenne","[Unknown Location in Champagne-Ardenne]","France","Grand Est","","","",""
"unknown_location_diocese_of_canterbury_GB_gid_unknown","Unknown","","","Unknown Location in the Diocese of Canterbury","probably born in the diocese of Canterbury","United Kingdom","England","","","",""
"unknown_location_diocese_of_troyes_FR_gid_unknown","Unknown","","","Unknown Location in the Diocese of Troyes","Unknown, in the diocese of Troyes","France","Grand Est","","","",""
