"letters_id"	"sender_id"	"recipient_id"	"send_date_computable1"	"source_loc_id"	"SourceLAT"	"SourceLNG"	"target_loc_id"	"TargetLAT"	"TargetLNG"
"era_cwealien_571"	"tunstall_cuthbert_viaf_22160214"	"budé_guillaume_viaf_105878228"	"1517-04-01"	"antwerpen_BE_gid_2803138"	"51.21989"	"4.40346"	"paris_FR_gid_2988507"	NULL	NULL
"era_cwe_1004"	"erasmus_desiderius_viaf_95982394"	"budé_guillaume_viaf_105878228"	"1519-08-09"	"antwerpen_BE_gid_2803138"	"51.21989"	"4.40346"	"paris_FR_gid_2988507"	NULL	NULL
"era_cwe_1023"	"erasmus_desiderius_viaf_95982394"	"budé_guillaume_viaf_105878228"	"1519-10-15"	"leuven_BE_gid_2792482"	"50.87959"	"4.70093"	"unknown_location_in_france_FR_gid_unknown"	NULL	NULL
"era_cwe_1066"	"erasmus_desiderius_viaf_95982394"	"budé_guillaume_viaf_105878228"	"1520-02-17"	"leuven_BE_gid_2792482"	"50.87959"	"4.70093"	"marly_la_ville_FR_gid_2995653"	NULL	NULL
"era_cwe_1133"	"erasmus_desiderius_viaf_95982394"	"budé_guillaume_viaf_105878228"	"1520-08-09"	"antwerpen_BE_gid_2803138"	"51.21989"	"4.40346"	"unknown_location_in_france_FR_gid_unknown"	NULL	NULL
"era_cwe_1184"	"erasmus_desiderius_viaf_95982394"	"budé_guillaume_viaf_105878228"	"1521-02-16"	"leuven_BE_gid_2792482"	"50.87959"	"4.70093"	"romorantin_lanthenay_FR_gid_2982967"	NULL	NULL
"era_cwe_1233"	"erasmus_desiderius_viaf_95982394"	"budé_guillaume_viaf_105878228"	"1521-09-01"	"anderlecht_BE_gid_2803201"	"50.83619"	"4.31454"	"unknown_location_in_france_FR_gid_unknown"	NULL	NULL
"era_cwe_1601"	"erasmus_desiderius_viaf_95982394"	"budé_guillaume_viaf_105878228"	"1525-08-25"	"basel_CH_gid_2661604"	"47.5584"	"7.57327"	"paris_FR_gid_2988507"	NULL	NULL
"era_cwe_1619"	"erasmus_desiderius_viaf_95982394"	"budé_guillaume_viaf_105878228"	"1525-10-02"	"basel_CH_gid_2661604"	"47.5584"	"7.57327"	"paris_FR_gid_2988507"	NULL	NULL
"era_cwe_1794"	"erasmus_desiderius_viaf_95982394"	"budé_guillaume_viaf_105878228"	"1527-03-23"	"basel_CH_gid_2661604"	"47.5584"	"7.57327"	"paris_FR_gid_2988507"	NULL	NULL
