"Id"	"letter_no_in_edition"	"sender_id"	"sender_as_marked"	"sender_inferred"	"sender_uncertain"	"recipient_id"	"recipient_as_marked"	"recipient_inferred"	"recipient_uncertain"	"label"	"send_date_year1"	"send_date_month1"	"send_date_day1"	"send_date_computable1"	"send_date_has_range"	"send_date_year2"	"send_date_month2"	"send_date_day2"	"send_date_computable2"	"send_date_as_marked"	"send_date_inferred"	"send_date_approx"	"send_date_uncertain"	"Source"	"source_loc_as_marked"	"source_loc_inferred"	"source_loc_uncertain"	"Target"	"target_loc_as_marked"	"target_loc_inferred"	"target_loc_uncertain"	"letter_language"	"letter_type_genus"	"letter_type_x_to_x"	"further_annotation"
"era_cwealien_583"	"9 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"tunstall_cuthbert_viaf_22160214"	"Cuthbert Tunstall"	"0"	"0"	"Ep. 9 A Cuthbert Tunstall. Paris, 19 mai [1517]"	"1517"	"05"	"19"	"1517-05-19"	"0"	"1517"	"05"	"19"	"1517-05-19"	"19 mai [1517]"	"1"	"0"	"0"	"paris_FR_gid_2988507"	"Paris"	"0"	"0"	"antwerpen_BE_gid_2803138"	"[Antwerp]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	"identical with era_cwe_583"
"era_cwe_1011"	"1011 [CWE] // 44 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Erasme"	"0"	"0"	"Ep 44 A Erasme. Marly, 15 septembre [1519]"	"1519"	"09"	NULL	"1519-09-01"	"1"	"1519"	"09"	NULL	"1519-09-10"	"[early September 1519] [CWE]"	"1"	"0"	"0"	"marly_la_ville_FR_gid_2995653"	"Marly"	"0"	"0"	"leuven_BE_gid_2792482"	"[Leuven]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	"identical with era_cwe_1011 // // the redating of this letter in CWE has been applied :CK, cf. CWE Vol. VII, p. 66"
"era_cwe_1015"	"1015 [CWE] // 45 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Erasme"	"0"	"0"	"Ep 45 A Erasme. Marly, 15 septembre [1519]"	"1519"	"09"	"15"	"1519-09-15"	"0"	"1519"	"09"	"15"	"1519-09-15"	"15 septembre [1519]"	"1"	"0"	"0"	"marly_la_ville_FR_gid_2995653"	"Marly"	"0"	"0"	"leuven_BE_gid_2792482"	"[Leuven]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	"identical with era_cwe_1015"
"era_cwe_1073"	"61 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Erasme"	"0"	"0"	"Ep 61 A Erasme. Marly, 25 février [1520]"	"1520"	"02"	"26"	"1520-02-26"	"0"	"1520"	"02"	"26"	"1520-02-26"	"26 February [1520] [CWE]"	"1"	"0"	"0"	"marly_la_ville_FR_gid_2995653"	"Marly"	"0"	"0"	"leuven_BE_gid_2792482"	"[Leuven]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	"identical with era_cwe_1073 // the redating of this letter in CWE has been applied :CK, cf. CWE Vol. VII, p. 212"
"era_cwe_1328"	"1328 [CWE] // 139 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Erasme"	"0"	"0"	"Ep 139 A Erasme. Paris, 14 décembre [1522]"	"1522"	"12"	"14"	"1522-12-14"	"0"	"1522"	"12"	"14"	"1522-12-14"	"14 décembre [1522]"	"1"	"0"	"0"	"paris_FR_gid_2988507"	"Paris"	"0"	"0"	"basel_CH_gid_2661604"	"[Basel]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	"identical with era_cwe_1328"
"era_cwe_1370"	"1370 [CWE] // 140 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Erasme"	"0"	"0"	"Ep 140 A Erasme. [Début de l'année 1523]"	"1523"	"06"	NULL	"1523-06-01"	"1"	"1523"	"06"	NULL	"1523-06-30"	"[c June 1523] [CWE]"	"1"	"0"	"0"	"paris_FR_gid_2988507"	"[Paris] [CWE]"	"1"	"1"	"basel_CH_gid_2661604"	"[Basel]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	"identical with era_cwe_1370 // the redating of this letter in CWE has been applied as well as the inferred source location, cf. CWE Vol. X, pp. 34-35"
"era_cwe_1439"	"1439 [CWE] // 147 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Erasme"	"0"	"0"	"Ep 147 A Erasme. Paris, 11 avril [1524]"	"1524"	"04"	"11"	"1524-04-11"	"0"	"1524"	"04"	"11"	"1524-04-11"	"11 avril [1524]"	"1"	"0"	"0"	"paris_FR_gid_2988507"	"Paris"	"0"	"0"	"basel_CH_gid_2661604"	"[Basel]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	"identical with era_cwe_1439"
"era_cwe_1446"	"1446 [CWE] // 148 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Erasme"	"0"	"0"	"Ep 148 A Erasme. Paris, le 8 mai [1524]"	"1524"	"05"	"08"	"1524-05-08"	"0"	"1524"	"05"	"08"	"1524-05-08"	"le 8 mai [1524]"	"1"	"0"	"0"	"paris_FR_gid_2988507"	"Paris"	"0"	"0"	"basel_CH_gid_2661604"	"[Basel]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	"identical with era_cwe_1446"
"era_cwe_1812"	"1812 [CWE] 160 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Erasme"	"0"	"0"	"Ep 160 A Erasme. Paris, [22 avril 1527]"	"1527"	"04"	"22"	"1527-04-22"	"0"	"1527"	"04"	"22"	"1527-04-22"	"[22 avril 1527]"	"1"	"0"	"0"	"paris_FR_gid_2988507"	"Paris"	"0"	"0"	"basel_CH_gid_2661604"	"[Basel]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	"identical with era_cwe_1812"
"era_cwe_403"	"403 [CWE] // 3 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Erasme"	"0"	"0"	"Ep. 3 A Erasme. 1er mai [1516]"	"1516"	"05"	"01"	"1516-05-01"	"0"	"1516"	"05"	"01"	"1516-05-01"	"1er mai [1516]"	"1"	"0"	"0"	"paris_FR_gid_2988507"	NULL	"1"	"1"	"basel_CH_gid_2661604"	"[Basel]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	"identical with era_cwe_403"
"era_cwe_435"	"435 [CWE] // 4 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Erasme"	"0"	"0"	"Ep. 4 A Erasme. Paris, 7 juillet [1516]"	"1516"	"07"	"07"	"1516-07-07"	"0"	"1516"	"07"	"07"	"1516-07-07"	"7 juillet [1516]"	"1"	"0"	"0"	"paris_FR_gid_2988507"	"Paris"	"0"	"0"	"antwerpen_BE_gid_2803138"	"[Antwerp]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	"identical with era_cwe_435"
"era_cwe_493"	"493 [CWE] // 5 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Erasme"	"0"	"0"	"Ep. 5 A Erasme. Paris, 27 Octobre [1516]"	"1516"	"11"	"26"	"1516-11-26"	"0"	"1516"	"11"	"26"	"1516-11-26"	"[26 November 1516] [CWE]"	"1"	"0"	"0"	"paris_FR_gid_2988507"	"Paris"	"0"	"0"	"brussels_BE_gid_2800866"	"[Brussels]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	"identical with era_cwe_493 // the redating of this letter in CWE has been applied :CK, cf. CWE Vol. IV, p. 137"
"era_cwe_522"	"522 [CWE] // 7 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"erasmus_desiderius_viaf_95982394"	"Erasme"	"0"	"0"	"Ep. 7 A Erasme. Paris, 5 février [1517]"	"1517"	"02"	"05"	"1517-02-05"	"0"	"1517"	"02"	"05"	"1517-02-05"	"5 février [1517]"	"1"	"0"	"0"	"paris_FR_gid_2988507"	"Paris"	"0"	"0"	"brussels_BE_gid_2800866"	"[Brussels]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	"identical with era_cwe_522"
