Location Name Modern	Latitude	Longitude	Number of Correspondents who wrote from this location TO Budé
Antwerpen	51.21989	4.40346	2
Anderlecht	50.83619	4.31454	1
Paris	48.85341	2.3488	1
Brussels	50.85045	4.34878	1
Venice	45.43713	12.33265	1
Mechelen	51.02574	4.47762	1
Toulouse	43.60426	1.44367	1
Chíos	38.36778	26.13583	1
Milano	45.46427	9.18951	1
Basel	47.5584	7.57327	1
Unknown Location in France	NULL	NULL	1
Fontenay	46.46667	-0.81667	1
Padova	45.40797	11.88586	1
Bonnefont	43.24983	0.34476	1
Unknown Location in Italy	NULL	NULL	1
Leuven	50.87959	4.70093	1
