"correspondents_id","type","gender","viaf_id","wikidata_id","gnd_id","cerl_id","emlo_person_id","name_in_edition","known_name_variations","known_name_variations_ref","pob_loc_id","pob_loc_annotation","pob_loc_annotation_ref","dob_year1","dob_month1","dob_day1","dob_computable1","dob_has_range","dob_year2","dob_month2","dob_day2","dob_computable2","dob_annotation","dob_annotation_ref","pod_loc_id","pod_loc_annotation","pod_loc_annotation_ref","dod_year1","dod_month1","dod_day1","dod_computable1","dod_has_range","dod_year2","dod_month2","dod_day2","dod_computable2","dod_annotation","dod_annotation_ref","further_annotation"
"10f58e5e-e43a-405e-901a-3633cbf82bc9","individual","male","212150646","Q114244525","NULL","NULL","NULL","François Deloynes","Deloinus","COE I, 385-386","beaugency_FR_gid_3034297","Beaugency, near Orléans","COE I, 385-386","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","1524","07","NULL","1524-07-01","1","1524","07","NULL","1524-07-31","July 1524","COE I, 385-386","NULL"
"2dfc5a19-66c1-4672-8d24-cc56e96b8a17","individual","male","NULL","NULL","NULL","NULL","NULL","Philecous","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"58ee45dd-3103-4bb1-a3a8-6bc8a4b4fbb6","individual","male","306484146","Q926393","NULL","NULL","NULL","Jean de La Forest","Forestanus // La Forêt","SUDOC","unknown_location_in_france_FR_gid_unknown","Limagne","TBA","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","1537","09","NULL","1537-09-01","1","1537","09","NULL","1537-09-10","dans les premiers jours de septembre 1537","TBA","NULL"
"635efa65-8a00-4be1-918c-cf2bb937521b","individual","male","NULL","Q114381518","NULL","NULL","NULL","Jean Calvet","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"6ed9da12-5a86-41ff-ab80-4d849a377bb6","individual","male","NULL","Q114401294","NULL","NULL","NULL","François Robertet","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"829707c3-cf20-4f7f-8372-1e764b91a566","individual","male","NULL","Q112604594","NULL","NULL","NULL","Claude Robertet","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"8cfb9559-d2a4-4fed-b8e1-4e1152da25d1","individual","male","309715331","Q114399979","1055728473","cnp01055352","NULL","Olivier de Lyon","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","1529","NULL","NULL","1529-01-01","1","1529","NULL","NULL","1529-12-31","un peu avant l'année 1530","Répertoire","NULL"
"aaa102d1-a010-42df-ab19-a6f44c44933b","individual","male","NULL","Q114356280","NULL","NULL","NULL","Jean Budé","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"afa6b456-fdb3-4347-b36f-c095f2b143b3","individual","male","NULL","NULL","NULL","NULL","NULL","N. P.","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"b2948fe5-b5ea-4642-bcf8-17c1034e72a3","individual","male","NULL","NULL","NULL","NULL","NULL","Burensis","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
