"correspondents_id","type","gender","viaf_id","wikidata_id","gnd_id","cerl_id","emlo_person_id","name_in_edition","known_name_variations","known_name_variations_ref","pob_loc_id","pob_loc_annotation","pob_loc_annotation_ref","dob_year1","dob_month1","dob_day1","dob_computable1","dob_has_range","dob_year2","dob_month2","dob_day2","dob_computable2","dob_annotation","dob_annotation_ref","pod_loc_id","pod_loc_annotation","pod_loc_annotation_ref","dod_year1","dod_month1","dod_day1","dod_computable1","dod_has_range","dod_year2","dod_month2","dod_day2","dod_computable2","dod_annotation","dod_annotation_ref","further_annotation"
"2dfc5a19-66c1-4672-8d24-cc56e96b8a17","individual","male","NULL","NULL","NULL","NULL","NULL","Philecous","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"418517a8-1de9-44ef-ae62-f596f0b20de8","individual","male","261973333","NULL","1089313594","cnp01376961","NULL","Jean Vaccaeus","Vacet","GND","murcia_ES_gid_2513416","Murcie, Espagne","CERL Thesaurus","1496","NULL","NULL","1496-01-01","1","1496","NULL","NULL","1496-12-31","1496","BNF","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"56da5dc0-f25a-4437-9bbe-32f44d4dbce1","individual","male","NULL","NULL","NULL","NULL","NULL","Gaillard Ruzé","Gallardus Ruseus","Imprimeurs et libraires parisiens du XVIe siècle, Vol. 2","unknown_location_in_france_FR_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_in_france_FR_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","conseiller au Parlament et archidiacre de Langgres, chanoine de Paris"
"578d0a90-7661-4d9a-a9aa-3563a32bbb33","individual","male","293044396","NULL","NULL","cnp01914021","NULL","Guillaume Lefebvre de Loudon","Gulielmus Fabritius","CERL Thesaurus","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"635efa65-8a00-4be1-918c-cf2bb937521b","individual","male","NULL","Q114381518","NULL","NULL","NULL","Jean Calvet","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"64788439-39b6-468d-91ed-cbd6d1f9b435","individual","male","203334120","Q114355757","NULL","NULL","NULL","Dreux (II.) Budé","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","1507","NULL","NULL","1507-01-01","1","1507","NULL","NULL","1507-12-31","circa 1507","COE I, 212","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"6c2e096f-f410-425a-959b-da46921b5279","individual","male","NULL","Q114382002","NULL","NULL","NULL","Battista Flisco","Gian Battista Fieschi // Fliscus","COE II, 30","genoa_IT_gid_3176219","Genoa","COE II, 30","1471","NULL","NULL","1471-01-01","1","NULL","NULL","NULL","1471-12-31","1471","COE II, 30","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","for an identification of this person as Battista Fieschii cf. COE II, 30"
"6ed9da12-5a86-41ff-ab80-4d849a377bb6","individual","male","NULL","Q114401294","NULL","NULL","NULL","François Robertet","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"740575be-0859-4714-8c95-b44cd0f26b4c","individual","male","308703949","Q114356821","NULL","NULL","NULL","Nicolas de la Chesnaye","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","1492","NULL","NULL","1492-01-01","1","1492","NULL","NULL","1492-12-31","1492","IDref","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","not to be mistaken with his father of the same name"
"829707c3-cf20-4f7f-8372-1e764b91a566","individual","male","NULL","Q112604594","NULL","NULL","NULL","Claude Robertet","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
