"letters_id","letter_no_in_edition","sender_id","sender_as_marked","sender_inferred","sender_uncertain","recipient_id","recipient_as_marked","recipient_inferred","recipient_uncertain","label","send_date_year1","send_date_month1","send_date_day1","send_date_computable1","send_date_has_range","send_date_year2","send_date_month2","send_date_day2","send_date_computable2","send_date_as_marked","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_as_marked","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_as_marked","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x","further_annotation"
"gbudé_gueudet_24_1","24-1 [Gueudet]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","702846d2-4b22-4fc3-90f2-ae30d88d23c5","François 1er","0","0","*24-1 A François 1er, s.l.n.d. [c. fin 1518-début 1519].","1518","NULL","NULL","1518-11-01","1","1519","NULL","NULL","1519-01-31","n.d. [c fin 1518-début 1519]","1","0","0","unknown_location_in_france_FR_gid_unknown","s.l.","0","1","unknown_location_in_france_FR_gid_unknown","[Unknown Location in France]","1","0","latin","dedicatory letter","letter_1_to_1","Preface to Budé’s *L’Institution du Prince*."
"gbudé_gueudet_70","70 [Gueudet] // 70 [Delaruelle]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","e2eec6ec-259f-4a92-93c9-b92710bc928f","Jo. Pe.","0","0","70 A Jo. Pe., s.l.n.d. [premiers mois de 1520].","1520","NULL","NULL","1520-01-01","1","1520","NULL","NULL","1520-03-31","n.d. [premiers mois de 1520]","1","0","0","marly_la_ville_FR_gid_2995653","s.l. [Marly:CK]","1","1","unknown_location_XX_gid_unknown","[Unknown Location]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"gbudé_gueudet_71","71 [Gueudet] // 71 [Delaruelle]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","afa6b456-fdb3-4347-b36f-c095f2b143b3","N. P.","0","0","71 A N. P., Marly, s.d. [premiers mois de 1520].","1520","NULL","NULL","1520-01-01","1","1520","NULL","NULL","1520-03-31","sd [premiers mois de 1520]","1","0","0","marly_la_ville_FR_gid_2995653","Marly","0","0","unknown_location_in_france_FR_gid_unknown","[Unknown Location in France]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"gbudé_gueudet_72","72 [Gueudet] // 72 [Delaruelle]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","a5f0ec00-9ab8-4195-99fa-3bdeb77e082c","L. Ruzé","0","0","72 A L. Ruzé, Marly, s.d. [carême ? 1520].","1520","02","22","1520-02-22","0","1520","02","22","1520-02-22","sd [carême ? 1520]","1","0","1","marly_la_ville_FR_gid_2995653","Marly","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"gbudé_gueudet_92_2","92-2 [Gueudet] // 133 [Delaruelle] // 51 [Lavois/Galibois]","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","0462ba32-d306-4286-9c4f-2bb98438fa01","G. du Maine","0","0","92-2 A G. du Maine, s.l.n.d. [à la cour, fin 1520-début 1521]. Lettre grecque.","1520","NULL","NULL","1520-11-01","1","1521","NULL","NULL","1521-01-31","n.d. [fin 1520-début 1521]","1","0","0","unknown_location_in_france_FR_gid_unknown","s.l. [à la cour]","1","0","paris_FR_gid_2988507","[Paris]","1","0","greek","familiar letter","letter_1_to_1","NULL"
"gbudé_gueudet_bibl_803","Geuudet App. Bibl. 803","6c74f250-9958-4274-9196-0441f86051a8","Nicolas Barthélemy","0","0","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","De Nicolas Barthélemy, s.d.","NULL","NULL","NULL","NULL","1","1523","NULL","NULL","1523-06-30","s.d.","0","0","0","unknown_location_in_france_FR_gid_unknown","[Unknown Location in France]","0","0","unknown_location_in_france_FR_gid_unknown","[Unknown Location in France]","1","0","latin","prefatory letter","letter_1_to_1","Preface to Barthélemy’s *De vita activa et contemplativa* (Paris: P. Vidoue, July 1523 = USTC 184288)."
"gbudé_gueudet_bibl_806","Geuudet App. Bibl. 806","dc84f768-ef2a-45f3-95f5-283c3aef9477","J. Binet","0","0","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","De J. Binet, Bordeaux, s.d.","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","s.d.","0","0","0","bordeaux_FR_gid_3031582","Bordeaux","0","0","unknown_location_in_france_FR_gid_unknown","[Unknown Location in France]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"gbudé_gueudet_bibl_816b","Geuudet App. Bibl. 816","cf3972c3-9700-467a-be0e-d8b2ed95486c","Jacques Lefèvre d’Etaples","0","0","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","De Jacques Lefèvre d’Etaples, s.l., n.d.","NULL","NULL","NULL","NULL","1","1497","NULL","NULL","1497-04-11","n.d.","0","0","0","paris_FR_gid_2988507","s.l. [Paris:CK]","1","0","unknown_location_in_france_FR_gid_unknown","[Unknown Location in France]","1","0","latin","dedicatory letter","letter_1_to_1","Preface to *De Placitis philosophorum*, edited and translated by Budé (Paris: J. Bade and J. Petit, 18 March 1505 = USTC 180135)."
"gbudé_gueudet_bibl_826","Geuudet App. Bibl. 826","418517a8-1de9-44ef-ae62-f596f0b20de8","Jean Vaccaeus","0","0","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","De Jean Vaccaeus, s.l., n.d.","NULL","NULL","NULL","NULL","1","1523","NULL","NULL","1523-02-28","n.d.","0","0","0","unknown_location_XX_gid_unknown","s.l.","0","0","unknown_location_in_france_FR_gid_unknown","[Unknown Location in France]","1","0","latin","dedicatory letter","letter_1_to_1","Preface to Jean Vaccaeus’s *Sylva cui titulus Parrhisa* (Paris: N. de la Barre and J. Vatel, 1522 = USTC 180877)."
"gbudé_lg_36","36 [Lavois/Galibois]","fa8b4f44-551f-4cc6-a4f7-d5fb957064ae","Jean Lascaris","0","0","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume Budé","0","0","Ep 36 Lascaris à Budé. [Début de l'été 1528] [Budé lettres grecques]","1528","NULL","NULL","1528-06-01","1","1528","NULL","NULL","1528-07-30","[Début de l'été 1528]","1","0","1","unknown_location_in_italy_IT_gid_unknown","[Unknown Location in Italy]","0","1","unknown_location_in_france_FR_gid_unknown","[Unknown Location in France]","1","0","greek","familiar letter","letter_1_to_1","For the end of the date range cf. Budé lettres grecques, 169 n. 7 // For Rome as the probable place of dispatch cf. COE II, 293."
