"sender_id","Number of locations this correspondent writes letters from"
"050b6df0-f7cc-45ca-8efc-af897191fb4c","1"
"08bc2797-a901-4407-8c0d-e39b72becf3f","1"
"0f7bc43b-c60d-4261-a19a-e1e559dc8873","1"
"13a45c10-f345-45b9-a0c9-4567a8d4216a","1"
"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","6"
"284ed6d5-a734-471e-8134-0a2baafabf9a","1"
"3b4c81b2-e0d5-4b14-868d-dfc3b629558b","2"
"418517a8-1de9-44ef-ae62-f596f0b20de8","1"
"47a073b9-cc8e-4ec4-9ab0-b9ba289db498","1"
"4de6dad8-84ae-4acd-9b76-0e2064602f71","1"
"5375f20d-1943-4735-b423-abf59baadfaa","1"
"578d0a90-7661-4d9a-a9aa-3563a32bbb33","1"
"639f3ce8-be9f-4993-b200-3fcde3a3b4e9","1"
"6c74f250-9958-4274-9196-0441f86051a8","1"
"763f4d64-dffb-40eb-bc45-2fde4992223e","2"
"79967779-cb99-4aa1-b497-38cfd7fa9f89","1"
"7ef039d3-44a9-4b7a-91d6-974f6bd712cf","2"
"96a63010-6201-4f01-a82f-e6108cb30f08","1"
"a947e7e4-41f3-4f30-acd3-3cb79fbf5e18","2"
"a9779b0b-cb2b-4a48-84c4-940449ef5c3c","1"
"ab74d6de-13e3-4b8b-909a-b9471a2d75f3","1"
"c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","31"
"c2ff0092-c760-430e-a5ff-2430813d1bc6","1"
"cacec994-3346-4081-bd41-7c3dd391e8e3","1"
"cf3972c3-9700-467a-be0e-d8b2ed95486c","1"
"d5256b25-70df-48e3-95be-3d290c0a978b","1"
"dc84f768-ef2a-45f3-95f5-283c3aef9477","1"
"fa8b4f44-551f-4cc6-a4f7-d5fb957064ae","4"
