"Source","Target"
"paris_FR_gid_2988507","antwerpen_BE_gid_2803138"
"marly_la_ville_FR_gid_2995653","leuven_BE_gid_2792482"
"marly_la_ville_FR_gid_2995653","leuven_BE_gid_2792482"
"marly_la_ville_FR_gid_2995653","leuven_BE_gid_2792482"
"paris_FR_gid_2988507","basel_CH_gid_2661604"
"paris_FR_gid_2988507","basel_CH_gid_2661604"
"paris_FR_gid_2988507","basel_CH_gid_2661604"
"paris_FR_gid_2988507","basel_CH_gid_2661604"
"paris_FR_gid_2988507","basel_CH_gid_2661604"
"paris_FR_gid_2988507","basel_CH_gid_2661604"
"paris_FR_gid_2988507","antwerpen_BE_gid_2803138"
"paris_FR_gid_2988507","brussels_BE_gid_2800866"
"paris_FR_gid_2988507","brussels_BE_gid_2800866"
"paris_FR_gid_2988507","brussels_BE_gid_2800866"
"paris_FR_gid_2988507","leuven_BE_gid_2792482"
"paris_FR_gid_2988507","leuven_BE_gid_2792482"
"paris_FR_gid_2988507","leuven_BE_gid_2792482"
"paris_FR_gid_2988507","leuven_BE_gid_2792482"
"paris_FR_gid_2988507","leuven_BE_gid_2792482"
"paris_FR_gid_2988507","leuven_BE_gid_2792482"
"paris_FR_gid_2988507","leuven_BE_gid_2792482"
"paris_FR_gid_2988507","mechelen_BE_gid_2791537"
"paris_FR_gid_2988507","leuven_BE_gid_2792482"
"paris_FR_gid_2988507","leuven_BE_gid_2792482"
"paris_FR_gid_2988507","bourges_FR_gid_3031005"
"paris_FR_gid_2988507","paris_FR_gid_2988507"
"troyes_FR_gid_2971549","paris_FR_gid_2988507"
"paris_FR_gid_2988507","milano_IT_gid_3173435"
"paris_FR_gid_2988507","london_GB_gid_2643743"
"dijon_FR_gid_3021372","frankfurt_am_main_DE_gid_2925533"
"dijon_FR_gid_3021372","paris_FR_gid_2988507"
"dijon_FR_gid_3021372","paris_FR_gid_2988507"
"dijon_FR_gid_3021372","noyon_FR_gid_2989877"
"nuits_saint_georges_FR_gid_2989837","paris_FR_gid_2988507"
"dijon_FR_gid_3021372","paris_FR_gid_2988507"
"autun_FR_gid_3035883","paris_FR_gid_2988507"
"autun_FR_gid_3035883","fontenay_le_comte_FR_gid_3017921"
"troyes_FR_gid_2971549","paris_FR_gid_2988507"
"troyes_FR_gid_2971549","paris_FR_gid_2988507"
"reims_FR_gid_2984114","paris_FR_gid_2988507"
"paris_FR_gid_2988507","london_GB_gid_2643743"
"reims_FR_gid_2984114","paris_FR_gid_2988507"
"élincourt_FR_gid_3020293","paris_FR_gid_2988507"
"bouchain_FR_gid_3031380","paris_FR_gid_2988507"
"paris_FR_gid_2988507","genoa_IT_gid_3176219"
"lyon_FR_gid_2996944","padova_IT_gid_3171728"
"paris_FR_gid_2988507","fontenay_le_comte_FR_gid_3017921"
"paris_FR_gid_2988507","fontenay_le_comte_FR_gid_3017921"
"lyon_FR_gid_2996944","florence_IT_gid_3176959"
"avignon_FR_gid_3035681","paris_FR_gid_2988507"
"lyon_FR_gid_2996944","paris_FR_gid_2988507"
"paris_FR_gid_2988507","london_GB_gid_2643743"
"paris_FR_gid_2988507","carpentras_FR_gid_3028542"
"paris_FR_gid_2988507","bourges_FR_gid_3031005"
"paris_FR_gid_2988507","fontainebleau_palace_FR_gid_7535589"
"paris_FR_gid_2988507","rodez_FR_gid_2983154"
"paris_FR_gid_2988507","rodez_FR_gid_2983154"
"paris_FR_gid_2988507","orléans_FR_gid_2989317"
"paris_FR_gid_2988507","rouen_FR_gid_2982652"
"paris_FR_gid_2988507","london_GB_gid_2643743"
"paris_FR_gid_2988507","toulouse_FR_gid_2972315"
"paris_FR_gid_2988507","bourges_FR_gid_3031005"
"paris_FR_gid_2988507","london_GB_gid_2643743"
"paris_FR_gid_2988507","orléans_FR_gid_2989317"
