"letters_id","letter_no_in_edition","sender_id","sender_as_marked","sender_inferred","sender_uncertain","recipient_id","recipient_as_marked","recipient_inferred","recipient_uncertain","label","send_date_year1","send_date_month1","send_date_day1","send_date_computable1","send_date_has_range","send_date_year2","send_date_month2","send_date_day2","send_date_computable2","send_date_as_marked","send_date_inferred","send_date_approx","send_date_uncertain","Source","source_loc_as_marked","source_loc_inferred","source_loc_uncertain","Target","target_loc_as_marked","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x","further_annotation"
"era_cwealien_571","571 [CWE] // 571 [ALLEN]","tunstall_cuthbert_viaf_22160214","Cuthbert Tunstall [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","Letter From Cuthbert Tunstall to Guillaume Budé [CWE]","1517","04","","1517-04-01","1","1517","04","","1517-04-21","[April 1517]","1","0","0","antwerpen_BE_gid_2803138","[Antwerp]","1","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1","alien letter // as the beginning of the time range, a date closer to the middle of April might be more appropriate, cf. CWE IV, p. 325 : CK"
"era_cwe_1004","1004 [CWE] // 1004 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","1004 To Guillaume Budé [Antwerp, c 9 August 1519] [CWE]","1519","08","09","1519-08-09","0","1519","08","09","1519-08-09","[c 9 August 1519] [CWE]","1","1","0","antwerpen_BE_gid_2803138","[Antwerp] [CWE]","1","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1066","1066 [CWE] // 1066 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","1066 To Guillaume Budé Louvain, 17 February 1520 [CWE]","1520","02","17","1520-02-17","0","1520","02","17","1520-02-17","17 February 1520 [CWE]","0","0","0","leuven_BE_gid_2792482","Louvain [CWE]","0","0","marly_la_ville_FR_gid_2995653","[Marly-la-Ville]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1184","1184 [CWE] // 1184 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","1184 To Guillaume Budé Louvain, 16 February 1521 [CWE]","1521","02","16","1521-02-16","0","1521","02","16","1521-02-16","16 February 1521 [CWE]","0","0","0","leuven_BE_gid_2792482","Louvain [CWE]","0","0","romorantin_lanthenay_FR_gid_2982967","[Romorantin Lanthenay]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1601","1601 [CWE] // 1601 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","1601 To Guillaume Bude Basel, 25 August 1525 [CWE]","1525","08","25","1525-08-25","0","1525","08","25","1525-08-25","25 August 1525 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1619","1619 [CWE] // 1619 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","1619 To Guillaume Bude Basel, 2 October 1525 [CWE]","1525","10","02","1525-10-02","0","1525","10","02","1525-10-02","2 October 1525 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1794","1794 [CWE] // 1794 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","1794 To Guillaume Budé Basel, 23 March 1527 [CWE]","1527","03","23","1527-03-23","0","1527","03","23","1527-03-23","23 March 1527 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1840","1840 [CWE] // 1840 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","1840 To Guillaume Budé [Basel], 22 June 1527 [CWE]","1527","06","22","1527-06-22","0","1527","06","22","1527-06-22","22 June 1527 [CWE]","0","0","0","basel_CH_gid_2661604","[Basel] [CWE]","1","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_421","421 [CWE] // 421 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","421 To Guillaume Budé [Antwerp], [c 19 June 1516] [CWE]","1516","06","19","1516-06-19","0","1516","06","19","1516-06-19","[c 19 June 1516] [CWE]","1","1","0","antwerpen_BE_gid_2803138","[Antwerp] [CWE]","1","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_441","441 [CWE] // 441 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","441 To Guillaume Budé Antwerp, 14 July [1516] [CWE]","1516","07","14","1516-07-14","0","1516","07","14","1516-07-14","14 July [1516] [CWE]","1","0","0","antwerpen_BE_gid_2803138","Antwerp [CWE]","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_480","480 [CWE] // 480 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","480 To Guillaume Budé Brussels, 28 October 1516 [CWE]","1516","10","28","1516-10-28","0","1516","10","28","1516-10-28","28 October 1516 [CWE]","0","0","0","brussels_BE_gid_2800866","Brussels [CWE]","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_531","531 [CWE] // 531 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","531 To Guillaume Budé Antwerp, 15 February 1517 [CWE]","1517","02","15","1517-02-15","0","1517","02","15","1517-02-15","15 February 1517 [CWE]","0","0","0","antwerpen_BE_gid_2803138","Antwerpen [CWE]","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_534","534 [CWE] // 534 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","534 To Guillaume Budé Antwerp, 21 February 1517 [CWE]","1517","02","21","1517-02-21","0","1517","02","21","1517-02-21","21 February 1517 [CWE]","0","0","0","antwerpen_BE_gid_2803138","Antwerpen [CWE]","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_689","689 [CWE] // 689 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","budé_guillaume_viaf_105878228","Guillaume Budé [CWE]","0","0","689 To Guillaume Budé Louvain, 26 October [1517] [CWE]","1517","10","26","1517-10-26","0","1517","10","26","1517-10-26","26 October [1517] [CWE]","1","0","0","leuven_BE_gid_2792482","Louvain [CWE]","0","0","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1",""
