"correspondents_id","name_in_edition","Beginning of the correspondence","End of the correspondence"
"0462ba32-d306-4286-9c4f-2bb98438fa01","Guillaume du Maine","1519-04-16","1521-11-26"
"050b6df0-f7cc-45ca-8efc-af897191fb4c","Nicolas Volcyre de Sérouville","1526-11-03","1526-11-03"
"08bc2797-a901-4407-8c0d-e39b72becf3f","François Rabelais","1521-03-04","1524-01-27"
"0f7bc43b-c60d-4261-a19a-e1e559dc8873","Cuthbert Tunstall","1517-04-01","1517-05-19"
"10f58e5e-e43a-405e-901a-3633cbf82bc9","François Deloynes","1519-09-29","1521-09-12"
"13a45c10-f345-45b9-a0c9-4567a8d4216a","Salmon Macrin","1519-11-12","1521-07-06"
"170b77cd-d77c-4cf0-bf43-4b83e0037eea","Joachim Vadianus","1518-10-25","1518-10-25"
"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Érasme","1516-05-01","1528-09-06"
"1a140b49-2cbf-4084-bda8-c78275a7975c","Jacques Colin","1529-12-06","1529-12-06"
"270286f5-d7af-492b-9e52-141601253d8a","Guillaume Poyet","1540-08-08","1540-08-08"
"270ee701-28ae-444a-b264-b8f7d4c99e3b","Charles Fernand","1510-09-22","1510-09-22"
"284ed6d5-a734-471e-8134-0a2baafabf9a","Simon Grynée","1530-06-18","1532-07-20"
"2d56de34-87a0-452a-87bd-27a69ac1e5e5","Leonicus","1521-03-18","1521-03-18"
"2dfc5a19-66c1-4672-8d24-cc56e96b8a17","Philecous","1521-08-28","1521-11-22"
"2f9f4670-36d3-478b-9348-6b4cd90dde8d","Pierre Lamy","1520-02-10","1524-02-24"
"323b3987-6b7c-4bbd-853b-abe1dd1f85dd","Thomas Linacre","1517-07-10","1518-09-09"
"39c40ec9-ceca-48a4-b873-1637cb6d3a97","Christophe Le Picart","1519-10-01","1519-10-01"
"3ae0d8be-cb3d-4651-8fd9-ad99555056ab","Louis Budé","1516-01-19","1516-01-19"
"3b4c81b2-e0d5-4b14-868d-dfc3b629558b","Pietro Bembo","1519-08-16","1521-04-06"
"418517a8-1de9-44ef-ae62-f596f0b20de8","Jean Vaccaeus","NULL","NULL"
"47a073b9-cc8e-4ec4-9ab0-b9ba289db498","Jacques Toussain","1520-11-20","1526-04-01"
"4de6dad8-84ae-4acd-9b76-0e2064602f71","Germain de Brie","1519-05-03","1524-09-12"
"5375f20d-1943-4735-b423-abf59baadfaa","Nicole Bérault","1511-03-25","1533-12-01"
"56da5dc0-f25a-4437-9bbe-32f44d4dbce1","Gaillard Ruzé","1505-01-01","1505-01-01"
"578d0a90-7661-4d9a-a9aa-3563a32bbb33","Guillaume Lefebvre de Loudon","1536-07-28","1536-07-28"
"58ee45dd-3103-4bb1-a3a8-6bc8a4b4fbb6","Jean de La Forest","1523-09-20","1525-02-08"
"635efa65-8a00-4be1-918c-cf2bb937521b","Jean Calvet","1521-07-23","1521-07-23"
"639f3ce8-be9f-4993-b200-3fcde3a3b4e9","André Alciat","1520-12-31","1530-06-21"
