"recipient_id","name_in_edition","Beginning of the correspondence","End of the correspondence"
"0462ba32-d306-4286-9c4f-2bb98438fa01","Guillaume du Maine","1519-04-16","1521-11-26"
"10f58e5e-e43a-405e-901a-3633cbf82bc9","François Deloynes","1519-09-29","1521-09-14"
"13a45c10-f345-45b9-a0c9-4567a8d4216a","Salmon Macrin","1519-11-12","1521-06-12"
"170b77cd-d77c-4cf0-bf43-4b83e0037eea","Joachim Vadianus","1518-10-25","1518-10-25"
"1a140b49-2cbf-4084-bda8-c78275a7975c","Jacques Colin","1529-12-06","1529-12-06"
"2d56de34-87a0-452a-87bd-27a69ac1e5e5","Leonicus","1521-03-18","1521-03-18"
"2dfc5a19-66c1-4672-8d24-cc56e96b8a17","Philecous","1521-08-28","1521-11-22"
"2f9f4670-36d3-478b-9348-6b4cd90dde8d","Pierre Lamy","1520-02-10","1523-02-25"
"323b3987-6b7c-4bbd-853b-abe1dd1f85dd","Thomas Linacre","1517-07-10","1518-09-09"
"39c40ec9-ceca-48a4-b873-1637cb6d3a97","Christophe Le Picart","1519-09-01","1519-09-01"
"3ae0d8be-cb3d-4651-8fd9-ad99555056ab","Louis Budé","1517-01-19","1517-01-19"
"3b4c81b2-e0d5-4b14-868d-dfc3b629558b","Pietro Bembo","1519-08-17","1520-02-24"
"5375f20d-1943-4735-b423-abf59baadfaa","Nicole Bérault","1511-03-25","1520-02-24"
"58ee45dd-3103-4bb1-a3a8-6bc8a4b4fbb6","Jean de La Forest","1523-09-20","1525-02-08"
"635efa65-8a00-4be1-918c-cf2bb937521b","Jean Calvet","1521-07-23","1521-07-23"
"639f3ce8-be9f-4993-b200-3fcde3a3b4e9","André Alciat","1521-03-17","1530-06-21"
"64788439-39b6-468d-91ed-cbd6d1f9b435","Dreux (II.) Budé","1519-05-08","1521-06-03"
"6c2e096f-f410-425a-959b-da46921b5279","Battista Flisco","1521-12-13","1521-12-13"
"6ed9da12-5a86-41ff-ab80-4d849a377bb6","François Robertet","1521-05-17","1525-03-15"
"702846d2-4b22-4fc3-90f2-ae30d88d23c5","François I","1529-01-01","1529-01-01"
"740575be-0859-4714-8c95-b44cd0f26b4c","Nicolas de la Chesnaye","1519-07-05","1519-07-05"
"7db91034-db92-4ada-b144-811e44969510","François Le Picart","1519-09-30","1519-09-30"
"7ef039d3-44a9-4b7a-91d6-974f6bd712cf","Étienne Dolet","1532-01-24","1532-01-24"
"829707c3-cf20-4f7f-8372-1e764b91a566","Claude Robertet","1521-05-17","1525-03-15"
"858be5f4-ac10-4173-9b0c-b6946b10bf7b","Jacques Budé","1521-06-21","1521-06-21"
"8ad99d13-2ff3-4b64-b5aa-253a2613dc74","Johannes Cochlaeus","1521-06-09","1521-06-09"
"8cfb9559-d2a4-4fed-b8e1-4e1152da25d1","Olivier de Lyon","NULL","NULL"
"968b6cc9-aee2-446a-a3e1-665fb91f4aab","Claude Chansonette","1519-07-17","1520-03-28"
"96a63010-6201-4f01-a82f-e6108cb30f08","Jacques Sadolet","1519-08-18","1527-12-21"
"96b34928-b9ad-4622-a9e5-2bc06a5895ef","Guillaume Cop","1512-01-01","1512-01-01"
"a20b6be9-28f9-46c7-b8cd-b6a0014d7d15","Battista Egnazio","1518-11-27","1518-11-27"
"a5f0ec00-9ab8-4195-99fa-3bdeb77e082c","Louis Ruzé","1520-01-01","1521-07-01"
"a9779b0b-cb2b-4a48-84c4-940449ef5c3c","Ulrich Zasius","1519-07-25","1519-07-25"
"aaa102d1-a010-42df-ab19-a6f44c44933b","Jean Budé","1522-04-24","1522-04-24"
"abe3a7de-94f2-4ff0-9a0a-54cf05c651db","Adolphus Roboreus","1520-02-22","1520-02-22"
"afa6b456-fdb3-4347-b36f-c095f2b143b3","N. P.","1520-01-01","1520-01-01"
"b2948fe5-b5ea-4642-bcf8-17c1034e72a3","Burensis","NULL","NULL"
"b685896b-0987-4f43-8d24-a92aee969718","Jean Le Picart","1520-02-24","1521-09-24"
"b959912e-4628-4219-b2c6-472f1a0b43f2","Pierre Gilles","1520-08-01","1520-08-01"
"c3075cc7-2f2b-44ab-949c-eb15967cef26","Pierre Séguier","NULL","NULL"
"c9a255e8-eb32-4374-ad89-503241629c28","François Duaren","1536-10-15","1536-10-15"
"ce2e340e-9f50-4bd1-95e0-4ab14eaa0d09","Richard Croke","1519-11-03","1519-11-03"
"d1bb5b32-b656-42a8-9044-4d080996fb42","Jean Duaren","1536-11-01","1536-11-01"
"e2eec6ec-259f-4a92-93c9-b92710bc928f","Io. Pe","1520-01-01","1520-01-01"
"eeb88e60-ea26-4029-9e0c-77a8f3f58e5c","Richard Pace","1518-04-27","1518-11-05"
"f87efcf6-45a4-406c-b89a-8b66b81742d4","Jean Courtin","1520-11-20","1520-11-20"
"f9e11bac-0cae-4e9e-acb8-6b67480b2ad6","Georges d'Armagnac","1530-06-23","1530-07-01"
"fca3ef2d-681d-49ff-b700-1929e91f81a1","Thomas Lupset","1517-07-31","1519-03-01"
