"sender_id","name_in_edition","Beginning of the correspondence","End of the correspondence"
"cacec994-3346-4081-bd41-7c3dd391e8e3","Josse Bade","1511-11-21","1511-11-21"
"6c74f250-9958-4274-9196-0441f86051a8","Nicolas Barthélemy","NULL","NULL"
"dc84f768-ef2a-45f3-95f5-283c3aef9477","Jean Binet","NULL","NULL"
"c2ff0092-c760-430e-a5ff-2430813d1bc6","Charles de Bovelles","1511-10-08","1511-10-08"
"284ed6d5-a734-471e-8134-0a2baafabf9a","Simon Grynée","1530-06-18","1532-07-20"
"578d0a90-7661-4d9a-a9aa-3563a32bbb33","Guillaume Lefebvre de Loudon","1536-07-28","1536-07-28"
"cf3972c3-9700-467a-be0e-d8b2ed95486c","Jacques Lefèvre d'Etaples","1505-10-01","1505-10-01"
"418517a8-1de9-44ef-ae62-f596f0b20de8","Jean Vaccaeus","NULL","NULL"
"050b6df0-f7cc-45ca-8efc-af897191fb4c","Nicolas Volcyre de Sérouville","1526-11-03","1526-11-03"
"d5256b25-70df-48e3-95be-3d290c0a978b","Hermodore Laestarchos","1539-10-15","1539-10-15"
"79967779-cb99-4aa1-b497-38cfd7fa9f89","Louis Le Roy","1536-01-08","1536-01-08"
