"Correspondent","name_in_edition","Beginning of the correspondence","End of the correspondence"
"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Érasme","1516-05-01","1528-09-06"
"0f7bc43b-c60d-4261-a19a-e1e559dc8873","Cuthbert Tunstall","1517-04-01","1517-05-19"
"639f3ce8-be9f-4993-b200-3fcde3a3b4e9","André Alciat","1520-12-31","1530-06-21"
"3b4c81b2-e0d5-4b14-868d-dfc3b629558b","Pietro Bembo","1519-08-16","1521-04-06"
"5375f20d-1943-4735-b423-abf59baadfaa","Nicole Bérault","1511-03-25","1533-12-01"
"7ef039d3-44a9-4b7a-91d6-974f6bd712cf","Étienne Dolet","1533-11-29","1538-02-01"
"323b3987-6b7c-4bbd-853b-abe1dd1f85dd","Thomas Linacre","1517-06-10","1518-09-09"
"96a63010-6201-4f01-a82f-e6108cb30f08","Jacques Sadolet","1519-08-17","1527-12-21"
"13a45c10-f345-45b9-a0c9-4567a8d4216a","Salmon Macrin","1519-11-12","1521-07-06"
"a9779b0b-cb2b-4a48-84c4-940449ef5c3c","Ulrich Zasius","1519-07-25","1519-09-01"
"fa8b4f44-551f-4cc6-a4f7-d5fb957064ae","Janus Lascaris","1510-01-13","1528-08-01"
"ab74d6de-13e3-4b8b-909a-b9471a2d75f3","Christophe de Longueil","1518-10-15","1521-01-25"
"08bc2797-a901-4407-8c0d-e39b72becf3f","François Rabelais","1521-03-04","1524-01-27"
"4de6dad8-84ae-4acd-9b76-0e2064602f71","Germain de Brie","1519-05-03","1524-09-12"
"47a073b9-cc8e-4ec4-9ab0-b9ba289db498","Jacques Toussain","1520-11-20","1526-04-01"
"763f4d64-dffb-40eb-bc45-2fde4992223e","Thomas More","1518-08-01","1527-09-01"
"a947e7e4-41f3-4f30-acd3-3cb79fbf5e18","Louis Vivès","1519-08-19","1532-09-01"
