"letters_id","sender_id","recipient_id","send_date_computable1","source_loc_id","SourceLAT","SourceLNG","target_loc_id","TargetLAT","TargetLNG"
"era_cwealien_571","0f7bc43b-c60d-4261-a19a-e1e559dc8873","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1517-04-01","antwerpen_BE_gid_2803138","51.21989","4.40346","paris_FR_gid_2988507","48.85341","2.3488"
"era_cwealien_583","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","0f7bc43b-c60d-4261-a19a-e1e559dc8873","1517-05-19","paris_FR_gid_2988507","48.85341","2.3488","antwerpen_BE_gid_2803138","51.21989","4.40346"
"era_cwe_1004","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1519-08-09","antwerpen_BE_gid_2803138","51.21989","4.40346","paris_FR_gid_2988507","48.85341","2.3488"
"era_cwe_1011","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1519-09-01","marly_la_ville_FR_gid_2995653","49.08201","2.50347","leuven_BE_gid_2792482","50.87959","4.70093"
"era_cwe_1015","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1519-09-15","marly_la_ville_FR_gid_2995653","49.08201","2.50347","leuven_BE_gid_2792482","50.87959","4.70093"
"era_cwe_1023","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1519-10-15","leuven_BE_gid_2792482","50.87959","4.70093","unknown_location_in_france_FR_gid_unknown","NULL","NULL"
"era_cwe_1066","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1520-02-17","leuven_BE_gid_2792482","50.87959","4.70093","marly_la_ville_FR_gid_2995653","49.08201","2.50347"
"era_cwe_1073","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1520-02-26","marly_la_ville_FR_gid_2995653","49.08201","2.50347","leuven_BE_gid_2792482","50.87959","4.70093"
"era_cwe_1133","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1520-08-09","antwerpen_BE_gid_2803138","51.21989","4.40346","unknown_location_in_france_FR_gid_unknown","NULL","NULL"
"era_cwe_1184","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1521-02-16","leuven_BE_gid_2792482","50.87959","4.70093","romorantin_lanthenay_FR_gid_2982967","47.36667","1.75"
"era_cwe_1233","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","1521-09-01","anderlecht_BE_gid_2803201","50.83619","4.31454","unknown_location_in_france_FR_gid_unknown","NULL","NULL"
