"Correspondents who received letters from Budé but did not write to him"
"Guillaume du Maine"
"François Deloynes"
"Salmon Macrin"
"Joachim Vadianus"
"Jacques Colin"
"Leonicus"
"Philecous"
"Pierre Lamy"
"Thomas Linacre"
"Christophe Le Picart"
"Louis Budé"
"Pietro Bembo"
"Nicole Bérault"
"Jean de La Forest"
"Jean Calvet"
"André Alciat"
"Dreux (II.) Budé"
"Battista Flisco"
"François Robertet"
"François I"
"Nicolas de la Chesnaye"
"François Le Picart"
"Étienne Dolet"
"Claude Robertet"
"Jacques Budé"
"Johannes Cochlaeus"
"Olivier de Lyon"
"Claude Chansonette"
"Jacques Sadolet"
"Guillaume Cop"
"Battista Egnazio"
"Louis Ruzé"
"Ulrich Zasius"
"Jean Budé"
"Adolphus Roboreus"
"N. P."
"Burensis"
"Jean Le Picart"
"Pierre Gilles"
"Pierre Séguier"
"François Duaren"
"Richard Croke"
"Jean Duaren"
"Io. Pe"
"Richard Pace"
"Jean Courtin"
"Georges d'Armagnac"
"Thomas Lupset"
