"source_loc_id","SourceNameModern","SourceLAT","SourceLNG","target_loc_id","TargetNameModern","TargetLAT","TargetLNG"
"blois_FR_gid_3032213","Blois","47.58333","1.33333","unknown_location_in_france_FR_gid_unknown","Unknown Location in France","NULL","NULL"
"anderlecht_BE_gid_2803201","Anderlecht","50.83619","4.31454","unknown_location_in_france_FR_gid_unknown","Unknown Location in France","NULL","NULL"
"bonnefont_FR_gid_3031759","Bonnefont","43.24983","0.34476","unknown_location_in_france_FR_gid_unknown","Unknown Location in France","NULL","NULL"
"saint_genis_les_ollières_FR_gid_2979984","Saint-Genis-les-Ollières","45.7571","4.72625","unknown_location_in_france_FR_gid_unknown","Unknown Location in France","NULL","NULL"
"poitiers_FR_gid_2986495","Poitiers","46.58261","0.34348","unknown_location_in_france_FR_gid_unknown","Unknown Location in France","NULL","NULL"
"unknown_location_in_england_GB_gid_unknown","Unknown Location in England","NULL","NULL","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"calais_FR_gid_3029162","Calais","50.95194","1.85635","unknown_location_in_france_FR_gid_unknown","Unknown Location in France","NULL","NULL"
"lyon_FR_gid_2996944","Lyon","45.74846","4.84671","unknown_location_in_france_FR_gid_unknown","Unknown Location in France","NULL","NULL"
"brugge_BE_gid_2800931","Bruges","51.20892","3.22424","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"chíos_GR_gid_259973","Chios","38.36778","26.13583","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"bordeaux_FR_gid_3031582","Bordeaux","44.84044","-0.5805","unknown_location_in_france_FR_gid_unknown","Unknown Location in France","NULL","NULL"
