"target_loc_id","TargetNameModern","TargetLAT","TargetLNG","source_loc_id","SourceNameModern","SourceLAT","SourceLNG"
"bourges_FR_gid_3031005","Bourges","47.08333","2.4","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"london_GB_gid_2643743","London","51.50853","-0.12574","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"frankfurt_am_main_DE_gid_2925533","Frankfurt am Main","50.11552","8.68417","dijon_FR_gid_3021372","Dijon","47.31667","5.01667"
"noyon_FR_gid_2989877","Noyon","49.58333","3","dijon_FR_gid_3021372","Dijon","47.31667","5.01667"
"unknown_location_XX_gid_unknown","Unknown","NULL","NULL","troyes_FR_gid_2971549","Troyes","48.3","4.08333"
"unknown_location_XX_gid_unknown","Unknown","NULL","NULL","saint_thierry_FR_gid_2976774","Saint-Thierry","49.30546","3.96565"
"unknown_location_XX_gid_unknown","Unknown","NULL","NULL","pontfaverger_moronvilliers_FR_gid_2986186","Pontfaverger-Moronvilliers","49.29702","4.31657"
"unknown_location_XX_gid_unknown","Unknown","NULL","NULL","liesse_notre_dame_FR_gid_2998460","Liesse-Notre-Dame ","49.61667","3.8"
"unknown_location_XX_gid_unknown","Unknown","NULL","NULL","unknown_location_in_france_FR_gid_unknown","Unknown Location in France","NULL","NULL"
"unknown_location_XX_gid_unknown","Unknown","NULL","NULL","unknown_location_picardie_FR_gid_unknown","Unknown Location in Picardie","NULL","NULL"
"genoa_IT_gid_3176219","Genoa","44.4264","8.91519","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"florence_IT_gid_3176959","Florence","43.77925","11.24626","lyon_FR_gid_2996944","Lyon","45.74846","4.84671"
"unknown_location_XX_gid_unknown","Unknown","NULL","NULL","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"carpentras_FR_gid_3028542","Carpentras","44.05","5.05","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"fontainebleau_palace_FR_gid_unknown","Palace of Fontainebleau","48.4","2.7","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"rodez_FR_gid_2983154","Rodez","44.35258","2.57338","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"orléans_FR_gid_2989317","Orléans","47.90289","1.90389","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"rouen_FR_gid_2982652","Rouen","49.44313","1.09932","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"sankt_gallen_CH_gid_2658822","Sankt Gallen","47.42391","9.37477","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"freiburg_DE_gid_2925177","Freiburg","47.9959","7.85222","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"rome_IT_gid_3169070","Rome","41.89193","12.51133","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"cambridge_GB_gid_2653941","Cambridge","52.2","0.11667","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"köln_DE_gid_2886242","Köln","50.93333","6.95","marly_la_ville_FR_gid_2995653","Marly-la-Ville","49.08201","2.50347"
"rome_IT_gid_3169070","Rome","41.89193","12.51133","marly_la_ville_FR_gid_2995653","Marly-la-Ville","49.08201","2.50347"
"troyes_FR_gid_2971549","Troyes","48.3","4.08333","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"rome_IT_gid_3169070","Rome","41.89193","12.51133","amboise_FR_gid_3037902","Amboise","47.41249","0.98266"
"avignon_FR_gid_3035681","Avignon","43.94834","4.80892","romorantin_lanthenay_FR_gid_2982967","Romorantin-Lanthenay","47.36667","1.75"
"london_GB_gid_2643743","London","51.50853","-0.12574","dijon_FR_gid_3021372","Dijon","47.31667","5.01667"
