"locations_id","Location Name Modern","Latitude","Longitude","NoCorrToBudé","NoCorrFromBudé"
"anderlecht_BE_gid_2803201","Anderlecht","50.83619","4.31454","1","NULL"
"antwerpen_BE_gid_2803138","Antwerpen","51.21989","4.40346","2","2"
"avignon_FR_gid_3035681","Avignon","43.94834","4.80892","NULL","1"
"basel_CH_gid_2661604","Basel","47.5584","7.57327","1","2"
"bonnefont_FR_gid_3031759","Bonnefont","43.24983","0.34476","1","NULL"
"bourges_FR_gid_3031005","Bourges","47.08333","2.4","NULL","2"
"brugge_BE_gid_2800931","Brugge","51.20892","3.22424","1","NULL"
"brussels_BE_gid_2800866","Brussels","50.85045","4.34878","1","1"
"calais_FR_gid_3029162","Calais","50.95194","1.85635","1","NULL"
"cambridge_GB_gid_2653941","Cambridge","52.2","0.11667","NULL","1"
"carpentras_FR_gid_3028542","Carpentras","44.05","5.05","NULL","1"
"chíos_GR_gid_259973","Chíos","38.36778","26.13583","1","NULL"
"florence_IT_gid_3176959","Florence","43.77925","11.24626","NULL","1"
"fontainebleau_palace_FR_gid_unknown","Palace of Fontainebleau","48.4","2.7","NULL","1"
"fontenay_le_comte_FR_gid_3017921","Fontenay","46.46667","-0.81667","1","2"
"frankfurt_am_main_DE_gid_2925533","Frankfurt am Main","50.11552","8.68417","NULL","1"
"freiburg_DE_gid_2925177","Freiburg","47.9959","7.85222","NULL","1"
"genoa_IT_gid_3176219","Genoa","44.4264","8.91519","NULL","1"
"köln_DE_gid_2886242","Köln","50.93333","6.95","NULL","1"
"leuven_BE_gid_2792482","Leuven","50.87959","4.70093","1","3"
"london_GB_gid_2643743","London","51.50853","-0.12574","NULL","3"
"mechelen_BE_gid_2791537","Mechelen","51.02574","4.47762","1","1"
"milano_IT_gid_3173435","Milano","45.46427","9.18951","1","2"
"noyon_FR_gid_2989877","Noyon","49.58333","3","NULL","1"
"orléans_FR_gid_2989317","Orléans","47.90289","1.90389","NULL","2"
"padova_IT_gid_3171728","Padova","45.40797","11.88586","1","3"
"paris_FR_gid_2988507","Paris","48.85341","2.3488","1","12"
"rodez_FR_gid_2983154","Rodez","44.35258","2.57338","NULL","1"
"rome_IT_gid_3169070","Rome","41.89193","12.51133","NULL","2"
"rouen_FR_gid_2982652","Rouen","49.44313","1.09932","NULL","1"
"sankt_gallen_CH_gid_2658822","Sankt Gallen","47.42391","9.37477","NULL","1"
"toulouse_FR_gid_2972315","Toulouse","43.60426","1.44367","1","1"
"troyes_FR_gid_2971549","Troyes","48.3","4.08333","NULL","1"
"venice_IT_gid_3164603","Venice","45.43713","12.33265","1","2"
