"Year","Number of correspondents receiving letters from Budé this year","Number of letters sent from Budé this year"
"1503","2","2"
"1505","2","2"
"1508","1","1"
"1510","2","2"
"1511","1","1"
"1512","1","1"
"1516","3","5"
"1517","4","7"
"1518","9","14"
"1519","16","24"
"1520","20","35"
"1521","23","50"
"1522","5","5"
"1523","6","6"
"1524","8","14"
"1525","1","1"
"1526","2","2"
"1527","4","6"
"1528","1","1"
"1529","3","3"
"1530","1","1"
"1532","3","2"
"1533","2","2"
"1534","1","1"
"1535","1","1"
"1536","1","1"
"1537","1","1"
"1540","2","2"
