"Year","Number of correspondents Budé writes to this year","Number of correspondents writing letters to Budé this year"
"NULL","NULL","NULL"
"1503","2","NULL"
"1505","2","1"
"1508","1","NULL"
"1510","2","1"
"1511","1","2"
"1512","1","NULL"
"1516","3","1"
"1517","4","2"
"1518","9","2"
"1519","16","4"
"1520","20","7"
"1521","23","6"
"1522","5","NULL"
"1523","6","NULL"
"1524","8","2"
"1525","1","1"
"1526","2","1"
"1527","4","1"
"1528","1","2"
"1529","3","1"
"1530","1","1"
"1532","2","2"
"1533","2","2"
"1534","1","1"
"1535","1","NULL"
"1536","1","3"
"1537","1","NULL"
"1538","NULL","1"
"1539","NULL","1"
"1540","2","NULL"
