"recipient_id","name_in_edition","Number of letters sent from Budé to this correspondent"
"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Érasme","23"
"0462ba32-d306-4286-9c4f-2bb98438fa01","Guillaume du Maine","15"
"4de6dad8-84ae-4acd-9b76-0e2064602f71","Germain de Brie","12"
"6ed9da12-5a86-41ff-ab80-4d849a377bb6","François Robertet","10"
"fa8b4f44-551f-4cc6-a4f7-d5fb957064ae","Janus Lascaris","9"
"829707c3-cf20-4f7f-8372-1e764b91a566","Claude Robertet","8"
"64788439-39b6-468d-91ed-cbd6d1f9b435","Dreux (II.) Budé","7"
"a947e7e4-41f3-4f30-acd3-3cb79fbf5e18","Louis Vivès","6"
"2dfc5a19-66c1-4672-8d24-cc56e96b8a17","Philecous","6"
"763f4d64-dffb-40eb-bc45-2fde4992223e","Thomas More","5"
"2f9f4670-36d3-478b-9348-6b4cd90dde8d","Pierre Lamy","4"
"b685896b-0987-4f43-8d24-a92aee969718","Jean Le Picart","4"
"eeb88e60-ea26-4029-9e0c-77a8f3f58e5c","Richard Pace","4"
"96a63010-6201-4f01-a82f-e6108cb30f08","Jacques Sadolet","4"
"ab74d6de-13e3-4b8b-909a-b9471a2d75f3","Christophe de Longueil","3"
"a5f0ec00-9ab8-4195-99fa-3bdeb77e082c","Louis Ruzé","3"
"47a073b9-cc8e-4ec4-9ab0-b9ba289db498","Jacques Toussain","3"
"5375f20d-1943-4735-b423-abf59baadfaa","Nicole Bérault","3"
"639f3ce8-be9f-4993-b200-3fcde3a3b4e9","André Alciat","3"
"13a45c10-f345-45b9-a0c9-4567a8d4216a","Salmon Macrin","3"
"10f58e5e-e43a-405e-901a-3633cbf82bc9","François Deloynes","3"
"f9e11bac-0cae-4e9e-acb8-6b67480b2ad6","Georges d'Armagnac","2"
"968b6cc9-aee2-446a-a3e1-665fb91f4aab","Claude Chansonette","2"
"fca3ef2d-681d-49ff-b700-1929e91f81a1","Thomas Lupset","2"
"08bc2797-a901-4407-8c0d-e39b72becf3f","François Rabelais","2"
"323b3987-6b7c-4bbd-853b-abe1dd1f85dd","Thomas Linacre","2"
"3b4c81b2-e0d5-4b14-868d-dfc3b629558b","Pietro Bembo","2"
"58ee45dd-3103-4bb1-a3a8-6bc8a4b4fbb6","Jean de La Forest","2"
"ce2e340e-9f50-4bd1-95e0-4ab14eaa0d09","Richard Croke","1"
"afa6b456-fdb3-4347-b36f-c095f2b143b3","N. P.","1"
"b2948fe5-b5ea-4642-bcf8-17c1034e72a3","Burensis","1"
"b959912e-4628-4219-b2c6-472f1a0b43f2","Pierre Gilles","1"
"c3075cc7-2f2b-44ab-949c-eb15967cef26","Pierre Séguier","1"
"c9a255e8-eb32-4374-ad89-503241629c28","François Duaren","1"
"39c40ec9-ceca-48a4-b873-1637cb6d3a97","Christophe Le Picart","1"
"d1bb5b32-b656-42a8-9044-4d080996fb42","Jean Duaren","1"
"e2eec6ec-259f-4a92-93c9-b92710bc928f","Io. Pe","1"
"2d56de34-87a0-452a-87bd-27a69ac1e5e5","Leonicus","1"
"f87efcf6-45a4-406c-b89a-8b66b81742d4","Jean Courtin","1"
"1a140b49-2cbf-4084-bda8-c78275a7975c","Jacques Colin","1"
"170b77cd-d77c-4cf0-bf43-4b83e0037eea","Joachim Vadianus","1"
"0f7bc43b-c60d-4261-a19a-e1e559dc8873","Cuthbert Tunstall","1"
"abe3a7de-94f2-4ff0-9a0a-54cf05c651db","Adolphus Roboreus","1"
"740575be-0859-4714-8c95-b44cd0f26b4c","Nicolas de la Chesnaye","1"
"aaa102d1-a010-42df-ab19-a6f44c44933b","Jean Budé","1"
"a9779b0b-cb2b-4a48-84c4-940449ef5c3c","Ulrich Zasius","1"
"3ae0d8be-cb3d-4651-8fd9-ad99555056ab","Louis Budé","1"
"a20b6be9-28f9-46c7-b8cd-b6a0014d7d15","Battista Egnazio","1"
"96b34928-b9ad-4622-a9e5-2bc06a5895ef","Guillaume Cop","1"
"635efa65-8a00-4be1-918c-cf2bb937521b","Jean Calvet","1"
"8cfb9559-d2a4-4fed-b8e1-4e1152da25d1","Olivier de Lyon","1"
"8ad99d13-2ff3-4b64-b5aa-253a2613dc74","Johannes Cochlaeus","1"
"858be5f4-ac10-4173-9b0c-b6946b10bf7b","Jacques Budé","1"
"6c2e096f-f410-425a-959b-da46921b5279","Battista Flisco","1"
"7ef039d3-44a9-4b7a-91d6-974f6bd712cf","Étienne Dolet","1"
"7db91034-db92-4ada-b144-811e44969510","François Le Picart","1"
"702846d2-4b22-4fc3-90f2-ae30d88d23c5","François I","1"
