"Location Name","Latitude","Longitude","Number of correspondents Budé writes to","Number of letters written by Budé","Average number of letters per correspondent"
"Paris","48.85341","2.3488","16","59","3.6875"
"Leuven","50.87959","4.70093","4","20","5.0000"
"Venice","45.43713","12.33265","3","3","1.0000"
"Rome","41.89193","12.51133","3","6","2.0000"
"Padua","45.40797","11.88586","3","3","1.0000"
"London","51.50853","-0.12574","3","8","2.6667"
"Antwerp","51.21989","4.40346","2","2","1.0000"
"Orléans","47.90289","1.90389","2","2","1.0000"
"Milan","45.46427","9.18951","2","2","1.0000"
"Fontenay-le-Comte","46.46667","-0.81667","2","6","3.0000"
"Basel","47.5584","7.57327","2","8","4.0000"
"Bourges","47.08333","2.4","2","3","1.5000"
"Noyon","49.58333","3","1","1","1.0000"
"Abbaye Saint-Vincent du Mans","48.0125","0.203611","1","1","1.0000"
"Troyes","48.3","4.08333","1","1","1.0000"
"Toulouse","43.60426","1.44367","1","1","1.0000"
"Saint Gallen","47.42391","9.37477","1","1","1.0000"
"Avignon","43.94834","4.80892","1","1","1.0000"
"Rodez","44.35258","2.57338","1","2","2.0000"
"Brussels","50.85045","4.34878","1","3","3.0000"
"Palace of Fontainebleau","48.40222","2.70056","1","1","1.0000"
"Cambridge","52.2","0.11667","1","1","1.0000"
"Mechelen","51.02574","4.47762","1","1","1.0000"
"Carpentras","44.05","5.05","1","1","1.0000"
"Florence","43.77925","11.24626","1","1","1.0000"
"Cologne","50.93333","6.95","1","1","1.0000"
"Genoa","44.4264","8.91519","1","1","1.0000"
"Freiburg im Breisgau","47.9959","7.85222","1","1","1.0000"
"Frankfurt am Main","50.11552","8.68417","1","1","1.0000"
