"Location Name","Latitude","Longitude","Number of correspondents writing to Budé","Number of letters written to Budé","Average number of letters"
"Paris","48.85341","2.3488","5","9","1.8000"
"Antwerp","51.21989","4.40346","2","7","3.5000"
"Venice","45.43713","12.33265","2","2","1.0000"
"Toulouse","43.60426","1.44367","2","3","1.5000"
"Rome","41.89193","12.51133","2","2","1.0000"
"Leuven","50.87959","4.70093","2","12","6.0000"
"Basel","47.5584","7.57327","2","7","3.5000"
"Lyon","45.74846","4.84671","1","2","2.0000"
"Anderlecht","50.83619","4.31454","1","1","1.0000"
"Avignon","43.94834","4.80892","1","1","1.0000"
"Saint-Genis-les-Ollières","45.7571","4.72625","1","1","1.0000"
"Poitiers","46.58261","0.34348","1","1","1.0000"
"Blois","47.58333","1.33333","1","1","1.0000"
"Padua","45.40797","11.88586","1","3","3.0000"
"Milan","45.46427","9.18951","1","1","1.0000"
"Mechelen","51.02574","4.47762","1","1","1.0000"
"Bordeaux","44.84044","-0.5805","1","1","1.0000"
"London","51.50853","-0.12574","1","1","1.0000"
"Bonnefont","43.24983","0.34476","1","1","1.0000"
"Freiburg im Breisgau","47.9959","7.85222","1","1","1.0000"
"Fontenay-le-Comte","46.46667","-0.81667","1","1","1.0000"
"Chios","38.36778","26.13583","1","1","1.0000"
"Calais","50.95194","1.85635","1","2","2.0000"
"Brussels","50.85045","4.34878","1","1","1.0000"
"Bruges","51.20892","3.22424","1","2","2.0000"
