"Location Name","Latitude","Longitude","Number of years Budé writes letters from this location","Number of letters written by Budé from this location","Average number of letters written by Budé from this location per year"
"Paris","48.85341","2.3488","18","66","3.6667"
"Lyon","45.74846","4.84671","4","10","2.5000"
"Marly-la-Ville","49.08201","2.50347","2","24","12.0000"
"Troyes","48.3","4.08333","1","8","8.0000"
"Amboise","47.41249","0.98266","1","4","4.0000"
"Tournon-sur-Rhône","45.06667","4.83333","1","2","2.0000"
"Saint-Thierry","49.30546","3.96565","1","1","1.0000"
"Saint-Germain-en-Laye","48.9","2.08333","1","3","3.0000"
"Romorantin-Lanthenay","47.36667","1.75","1","6","6.0000"
"Reims","49.25","4.03333","1","2","2.0000"
"Pontfaverger-Moronvilliers","49.29702","4.31657","1","1","1.0000"
"Pierrelatte","44.37756","4.70198","1","1","1.0000"
"Nuits-Saint-Georges","47.13683","4.949","1","1","1.0000"
"Mussy-sur-Seine","47.97791","4.49743","1","1","1.0000"
"Montpellier","43.61092","3.87723","1","3","3.0000"
"Liesse-Notre-Dame","49.61667","3.8","1","1","1.0000"
"La Villeneuve-sur-Vingeanne","47.56314","5.42329","1","1","1.0000"
"Élincourt","50.04475","3.37125","1","1","1.0000"
"Dijon","47.31667","5.01667","1","15","15.0000"
"Châtillon-sur-Seine","47.85851","4.57375","1","1","1.0000"
"Bouchain","50.28519","3.31491","1","1","1.0000"
"Blois","47.58333","1.33333","1","4","4.0000"
"Avignon","43.94834","4.80892","1","1","1.0000"
"Autun","46.95","4.3","1","2","2.0000"
"Ardres","50.85786","1.98168","1","1","1.0000"
