"Location Name","Latitude","Longitude","Number of years letters are written from this location to Budé","Number of letters written from this location to Budé","Average number of letters written from this location to Budé per year"
"Leuven","50.87959","4.70093","5","11","2.2000"
"Antwerp","51.21989","4.40346","4","7","1.7500"
"Basel","47.5584","7.57327","3","5","1.6667"
"Bruges","51.20892","3.22424","2","2","1.0000"
"Padua","45.40797","11.88586","2","3","1.5000"
"Paris","48.85341","2.3488","2","2","1.0000"
"Anderlecht","50.83619","4.31454","1","1","1.0000"
"Bonnefont","43.24983","0.34476","1","1","1.0000"
"Brussels","50.85045","4.34878","1","1","1.0000"
"Calais","50.95194","1.85635","1","2","2.0000"
"Chios","38.36778","26.13583","1","1","1.0000"
"Fontenay-le-Comte","46.46667","-0.81667","1","1","1.0000"
"Mechelen","51.02574","4.47762","1","1","1.0000"
"Milan","45.46427","9.18951","1","1","1.0000"
"Toulouse","43.60426","1.44367","1","1","1.0000"
"Venice","45.43713","12.33265","1","1","1.0000"
