"LocationName","Latitude","Longitude","NoLettersWrittenTOBudé","NoLettersWrittenBYBudéTO"
"Antwerp","51.21989","4.40346","7","2"
"Avignon","43.94834","4.80892","NULL","1"
"Basel","47.5584","7.57327","5","8"
"Bourges","47.08333","2.4","NULL","3"
"Brussels","50.85045","4.34878","1","3"
"Cambridge","52.2","0.11667","NULL","1"
"Carpentras","44.05","5.05","NULL","1"
"Florence","43.77925","11.24626","NULL","1"
"Palace of Fontainebleau","48.40222","2.70056","NULL","1"
"Fontenay-le-Comte","46.46667","-0.81667","1","6"
"Frankfurt am Main","50.11552","8.68417","NULL","1"
"Freiburg im Breisgau","47.9959","7.85222","NULL","1"
"Genoa","44.4264","8.91519","NULL","1"
"Cologne","50.93333","6.95","NULL","1"
"Leuven","50.87959","4.70093","11","19"
"London","51.50853","-0.12574","NULL","8"
"Mechelen","51.02574","4.47762","1","1"
"Milan","45.46427","9.18951","1","2"
"Noyon","49.58333","3","NULL","1"
"Orléans","47.90289","1.90389","NULL","2"
"Padua","45.40797","11.88586","3","3"
"Paris","48.85341","2.3488","2","52"
"Rodez","44.35258","2.57338","NULL","2"
"Rome","41.89193","12.51133","NULL","5"
"Rouen","49.44313","1.09932","NULL","1"
"Saint Gallen","47.42391","9.37477","NULL","1"
"Toulouse","43.60426","1.44367","1","1"
"Troyes","48.3","4.08333","NULL","1"
"Venice","45.43713","12.33265","1","2"
"Anderlecht","50.83619","4.31454","1","NULL"
"Bonnefont","43.24983","0.34476","1","NULL"
"Bruges","51.20892","3.22424","2","NULL"
"Calais","50.95194","1.85635","2","NULL"
"Chios","38.36778","26.13583","1","NULL"
