"LocationName","Latitude","Longitude","NoLettersWrittenByBudéTO","NoLettersWrittenBYBudéAT"
"Antwerpen","51.21989","4.40346","2","NULL"
"Avignon","43.94834","4.80892","1","1"
"Basel","47.5584","7.57327","8","NULL"
"Bourges","47.08333","2.4","3","NULL"
"Brussels","50.85045","4.34878","3","NULL"
"Cambridge","52.2","0.11667","1","NULL"
"Carpentras","44.05","5.05","1","NULL"
"Florence","43.77925","11.24626","1","NULL"
"Fontenay","46.46667","-0.81667","6","NULL"
"Frankfurt am Main","50.11552","8.68417","1","NULL"
"Freiburg","47.9959","7.85222","1","NULL"
"Genoa","44.4264","8.91519","1","NULL"
"Köln","50.93333","6.95","1","NULL"
"Leuven","50.87959","4.70093","19","NULL"
"London","51.50853","-0.12574","8","NULL"
"Mechelen","51.02574","4.47762","1","NULL"
"Milano","45.46427","9.18951","2","NULL"
"Noyon","49.58333","3","1","NULL"
"Orléans","47.90289","1.90389","2","NULL"
"Padova","45.40797","11.88586","3","NULL"
"Palace of Fontainebleau","48.4","2.7","1","NULL"
"Paris","48.85341","2.3488","53","66"
"Rodez","44.35258","2.57338","2","NULL"
"Rome","41.89193","12.51133","5","NULL"
"Rouen","49.44313","1.09932","1","NULL"
"Sankt Gallen","47.42391","9.37477","1","NULL"
"Toulouse","43.60426","1.44367","1","NULL"
"Troyes","48.3","4.08333","1","8"
"Venice","45.43713","12.33265","2","NULL"
"Amboise","47.41249","0.98266","NULL","4"
"Ardres","50.85786","1.98168","NULL","1"
"Autun","46.95","4.3","NULL","2"
"Blois","47.58333","1.33333","NULL","4"
"Bouchain","50.28519","3.31491","NULL","1"
"Châtillon-sur-Seine","47.85851","4.57375","NULL","1"
"Dijon","47.31667","5.01667","NULL","15"
"Élincourt","50.04475","3.37125","NULL","1"
"La Villeneuve-sur-Vingeanne","47.56314","5.42329","NULL","1"
"Liesse-Notre-Dame ","49.61667","3.8","NULL","1"
"Lyon","45.74846","4.84671","NULL","10"
"Marly-la-Ville","49.08201","2.50347","NULL","24"
"Montpellier","43.61092","3.87723","NULL","3"
"Mussy-sur-Seine","47.97791","4.49743","NULL","1"
"Nuits-Saint-Georges","47.13683","4.949","NULL","1"
"Pierrelatte","44.37756","4.70198","NULL","1"
"Pontfaverger-Moronvilliers","49.29702","4.31657","NULL","1"
"Reims","49.25","4.03333","NULL","2"
"Romorantin-Lanthenay","47.36667","1.75","NULL","6"
"Saint-Germain-en-Laye","48.9","2.08333","NULL","3"
"Saint-Thierry","49.30546","3.96565","NULL","1"
"Tournon-sur-Rhône","45.06667","4.83333","NULL","2"
