"locations_name_modern","YEAR","COUNT"
"Basel","1516","1"
"Basel","1519","1"
"Basel","1520","1"
"Basel","1522","1"
"Basel","1523","1"
"Basel","1524","2"
"Basel","1527","1"
"Leuven","1517","2"
"Leuven","1518","4"
"Leuven","1519","7"
"Leuven","1520","5"
"Leuven","1521","1"
"Leuven","1540","1"
"London","1517","2"
"London","1518","2"
"London","1519","1"
"London","1521","1"
"London","1527","2"
"Paris","1503","2"
"Paris","1512","1"
"Paris","1519","8"
"Paris","1520","18"
"Paris","1521","23"
"Paris","1522","1"
"Paris","1524","2"
"Paris","1526","1"
"Paris","1532","1"
"Paris","1533","1"
"Paris","1540","1"
