"Location Name","Number of letters sent from this location"
"Paris","83"
"Marly-la-Ville","26"
"Dijon","15"
"Lyon","12"
"Leuven","12"
"Troyes","9"
"Antwerp","7"
"Basel","7"
"Romorantin-Lanthenay","6"
"Blois","5"
"Amboise","4"
"Montpellier","3"
"Padua","3"
"Rome","3"
"Saint-Germain-en-Laye","3"
"Toulouse","3"
"Calais","2"
"Bruges","2"
"Reims","2"
"Tournon-sur-Rhône","2"
"Avignon","2"
"Autun","2"
"Venice","2"
"Saint-Genis-les-Ollières","1"
"Pontfaverger-Moronvilliers","1"
"Poitiers","1"
"Pierrelatte","1"
"Saint-Thierry","1"
"Nuits-Saint-Georges","1"
"Liesse-Notre-Dame","1"
"Chios","1"
"Anderlecht","1"
"Ardres","1"
"Bonnefont","1"
"Bordeaux","1"
"Bouchain","1"
"Brussels","1"
"Caudebec-en-Caux","1"
"Châtillon-sur-Seine","1"
"Mussy-sur-Seine","1"
"Élincourt","1"
"Fontenay-le-Comte","1"
"Freiburg im Breisgau","1"
"La Villeneuve-sur-Vingeanne","1"
"London","1"
"Mechelen","1"
"Milan","1"
