"Location Name","Latitude","Longitude","Number of letters sent from this location to Budé"
"Leuven","50.87959","4.70093","11"
"Antwerp","51.21989","4.40346","7"
"Basel","47.5584","7.57327","5"
"Padua","45.40797","11.88586","3"
"Bruges","51.20892","3.22424","2"
"Calais","50.95194","1.85635","2"
"Paris","48.85341","2.3488","2"
"Anderlecht","50.83619","4.31454","1"
"Bonnefont","43.24983","0.34476","1"
"Brussels","50.85045","4.34878","1"
"Chios","38.36778","26.13583","1"
"Fontenay-le-Comte","46.46667","-0.81667","1"
"Mechelen","51.02574","4.47762","1"
"Milan","45.46427","9.18951","1"
"Toulouse","43.60426","1.44367","1"
"Venice","45.43713","12.33265","1"
