"Location Name","Number of letters sent from this location from Budé"
"Paris","66"
"Marly-la-Ville","24"
"Dijon","15"
"Lyon","10"
"Troyes","8"
"Romorantin-Lanthenay","6"
"Amboise","4"
"Blois","4"
"Saint-Germain-en-Laye","3"
"Montpellier","3"
"Tournon-sur-Rhône","2"
"Autun","2"
"Reims","2"
"Nuits-Saint-Georges","1"
"Saint-Thierry","1"
"Pontfaverger-Moronvilliers","1"
"Pierrelatte","1"
"Ardres","1"
"Bouchain","1"
"Mussy-sur-Seine","1"
"Avignon","1"
"Liesse-Notre-Dame","1"
"La Villeneuve-sur-Vingeanne","1"
"Élincourt","1"
"Châtillon-sur-Seine","1"
