"locations_name_modern","YEAR","COUNT"
"Dijon","1521","15"
"Lyon","1522","3"
"Lyon","1523","1"
"Lyon","1524","5"
"Lyon","1519","1"
"Marly-la-Ville","1519","6"
"Marly-la-Ville","1520","20"
"Paris","1517","7"
"Paris","1522","1"
"Paris","1523","1"
"Paris","1524","6"
"Paris","1527","6"
"Paris","1516","5"
"Paris","1518","12"
"Paris","1519","12"
"Paris","1503","2"
"Paris","1508","1"
"Paris","1510","1"
"Paris","1521","1"
"Paris","1525","1"
"Paris","1526","1"
"Paris","NULL","2"
"Paris","1529","3"
"Paris","1530","1"
"Paris","1533","1"
"Paris","1534","1"
"Paris","1535","1"
"Paris","1536","1"
"Paris","1537","1"
"Paris","1540","1"
"Paris","1511","1"
"Paris","1520","2"
"Paris","1512","1"
