"Location Name","Latitude","Longitude","Number of letters sent from this location from Budé"
"Paris","48.85341","2.3488","66"
"Marly-la-Ville","49.08201","2.50347","24"
"Dijon","47.31667","5.01667","15"
"Lyon","45.74846","4.84671","10"
"Troyes","48.3","4.08333","8"
"Romorantin-Lanthenay","47.36667","1.75","6"
"Amboise","47.41249","0.98266","4"
"Blois","47.58333","1.33333","4"
"Saint-Germain-en-Laye","48.9","2.08333","3"
"Montpellier","43.61092","3.87723","3"
"Tournon-sur-Rhône","45.06667","4.83333","2"
"Autun","46.95","4.3","2"
"Reims","49.25","4.03333","2"
"Nuits-Saint-Georges","47.13683","4.949","1"
"Saint-Thierry","49.30546","3.96565","1"
"Pontfaverger-Moronvilliers","49.29702","4.31657","1"
"Pierrelatte","44.37756","4.70198","1"
"Ardres","50.85786","1.98168","1"
"Bouchain","50.28519","3.31491","1"
"Mussy-sur-Seine","47.97791","4.49743","1"
"Avignon","43.94834","4.80892","1"
"Liesse-Notre-Dame ","49.61667","3.8","1"
"La Villeneuve-sur-Vingeanne","47.56314","5.42329","1"
"Élincourt","50.04475","3.37125","1"
"Châtillon-sur-Seine","47.85851","4.57375","1"
