"ModernState","Year","NoEppSentFromBudé","NoEppSentToBudé"
"Italy","1517","NULL","NULL"
"Unknown","1517","NULL","NULL"
"France","1517","1","NULL"
"United Kingdom","1517","2","NULL"
"Switzerland","1517","NULL","NULL"
"Belgium","1517","5","5"
"Germany","1517","NULL","NULL"
"Greece","1517","NULL","NULL"
"Italy","1519","3","NULL"
"Unknown","1519","1","NULL"
"France","1519","10","1"
"United Kingdom","1519","2","NULL"
"Switzerland","1519","1","NULL"
"Belgium","1519","9","4"
"Germany","1519","1","NULL"
"Greece","1519","NULL","NULL"
"Italy","1520","4","2"
"Unknown","1520","2","NULL"
"France","1520","20","3"
"United Kingdom","1520","NULL","NULL"
"Switzerland","1520","1","NULL"
"Belgium","1520","5","2"
"Germany","1520","1","NULL"
"Greece","1520","NULL","NULL"
"Italy","1521","7","1"
"Unknown","1521","6","NULL"
"France","1521","35","2"
"United Kingdom","1521","1","NULL"
"Switzerland","1521","NULL","NULL"
"Belgium","1521","1","2"
"Germany","1521","1","NULL"
"Greece","1521","NULL","NULL"
"Italy","1522","1","NULL"
"Unknown","1522","NULL","NULL"
"France","1522","3","NULL"
"United Kingdom","1522","NULL","NULL"
"Switzerland","1522","1","NULL"
"Belgium","1522","NULL","NULL"
"Germany","1522","NULL","NULL"
"Greece","1522","NULL","NULL"
"Italy","1523","2","NULL"
"Unknown","1523","NULL","NULL"
"France","1523","4","NULL"
"United Kingdom","1523","NULL","NULL"
"Switzerland","1523","1","NULL"
"Belgium","1523","NULL","NULL"
"Germany","1523","NULL","NULL"
"Greece","1523","NULL","NULL"
"Italy","1524","1","1"
"Unknown","1524","NULL","NULL"
"France","1524","7","1"
"United Kingdom","1524","NULL","NULL"
"Switzerland","1524","2","NULL"
"Belgium","1524","NULL","NULL"
"Germany","1524","NULL","NULL"
"Greece","1524","NULL","NULL"
"Italy","1525","NULL","NULL"
"Unknown","1525","1","NULL"
"France","1525","2","NULL"
"United Kingdom","1525","NULL","NULL"
"Switzerland","1525","NULL","2"
"Belgium","1525","NULL","NULL"
"Germany","1525","NULL","NULL"
"Greece","1525","NULL","NULL"
"Italy","1527","NULL","NULL"
"Unknown","1527","NULL","NULL"
"France","1527","1","NULL"
"United Kingdom","1527","1","NULL"
"Switzerland","1527","1","2"
"Belgium","1527","NULL","NULL"
"Germany","1527","NULL","NULL"
"Greece","1527","NULL","NULL"
"Italy","1528","NULL","1"
"Unknown","1528","NULL","NULL"
"France","1528","1","NULL"
"United Kingdom","1528","NULL","NULL"
"Switzerland","1528","NULL","1"
"Belgium","1528","NULL","NULL"
"Germany","1528","NULL","NULL"
"Greece","1528","NULL","NULL"
"Italy","1516","NULL","NULL"
"Unknown","1516","NULL","NULL"
"France","1516","NULL","NULL"
"United Kingdom","1516","NULL","NULL"
"Switzerland","1516","1","NULL"
"Belgium","1516","2","3"
"Germany","1516","NULL","NULL"
"Greece","1516","NULL","NULL"
"Italy","1518","1","NULL"
"Unknown","1518","4","NULL"
"France","1518","NULL","NULL"
"United Kingdom","1518","2","2"
"Switzerland","1518","1","NULL"
"Belgium","1518","3","5"
"Germany","1518","NULL","NULL"
"Greece","1518","NULL","NULL"
"Italy","1530","NULL","NULL"
"Unknown","1530","NULL","NULL"
"France","1530","3","NULL"
"United Kingdom","1530","NULL","NULL"
"Switzerland","1530","NULL","NULL"
