"Modern State","Number of letters Budé sent to this modern state this year","send_date_year1"
"United Kingdom","1",""
"France","4",""
"","1",""
"Italy","1","1510"
"France","2","1511"
"France","1","1512"
"Switzerland","1","1516"
"Belgium","2","1516"
"United Kingdom","2","1517"
"Belgium","5","1517"
"France","1","1517"
"Belgium","3","1518"
"Italy","1","1518"
"","4","1518"
"United Kingdom","2","1518"
"Switzerland","1","1518"
"Germany","1","1519"
"United Kingdom","2","1519"
"France","10","1519"
"","1","1519"
"Belgium","9","1519"
"Italy","3","1519"
"Switzerland","1","1519"
"Italy","4","1520"
"Germany","1","1520"
"","2","1520"
"Belgium","5","1520"
"France","20","1520"
"Switzerland","1","1520"
"Belgium","1","1521"
"United Kingdom","1","1521"
"Germany","1","1521"
"Italy","7","1521"
"France","34","1521"
"","6","1521"
"France","3","1522"
"Italy","1","1522"
"Switzerland","1","1522"
"France","4","1523"
"Switzerland","1","1523"
"Italy","2","1523"
"Switzerland","2","1524"
"France","7","1524"
"Italy","1","1524"
"France","2","1525"
"","1","1525"
"United Kingdom","1","1527"
"Switzerland","1","1527"
"France","1","1527"
"France","1","1528"
"France","3","1529"
"France","3","1530"
"France","1","1532"
"France","2","1536"
