"Modern State","Number of letters sent from this modern state to Budé this year","send_date_year1"
"Italy","1","1510"
"Belgium","3","1516"
"Belgium","5","1517"
"United Kingdom","2","1518"
"Belgium","5","1518"
"France","1","1519"
"Belgium","4","1519"
"Italy","2","1520"
"Belgium","2","1520"
"France","3","1520"
"Italy","1","1521"
"France","2","1521"
"Belgium","2","1521"
"Italy","1","1524"
"France","1","1524"
"Switzerland","2","1525"
"Switzerland","2","1527"
"Switzerland","1","1528"
"Italy","1","1528"
"Belgium","1","1529"
"Belgium","1","1532"
"France","1","1536"
"Greece","1","1539"
