"Year","Number of letters with inferred send date","Number of letters with non-inferred send date"
"NULL","NULL","NULL"
"1503","NULL","2"
"1505","1","2"
"1508","NULL","1"
"1510","3","NULL"
"1511","NULL","3"
"1512","1","NULL"
"1516","7","1"
"1517","10","3"
"1518","15","6"
"1519","23","8"
"1520","32","13"
"1521","45","12"
"1522","5","NULL"
"1523","6","NULL"
"1524","16","NULL"
"1525","1","2"
"1526","NULL","3"
"1527","6","2"
"1528","2","1"
"1529","4","NULL"
"1530","1","1"
"1532","1","2"
"1533","4","NULL"
"1534","2","NULL"
"1535","1","NULL"
"1536","NULL","4"
"1537","1","NULL"
"1538","NULL","1"
"1539","NULL","1"
"1540","1","1"
