"Year","Number of letters with inferred send date","Number of letters with non-inferred send date"
"NULL","NULL","NULL"
"1503","NULL","2"
"1505","1","1"
"1508","NULL","1"
"1510","2","NULL"
"1511","NULL","1"
"1512","1","NULL"
"1516","5","NULL"
"1517","7","NULL"
"1518","10","4"
"1519","19","5"
"1520","27","8"
"1521","41","9"
"1522","5","NULL"
"1523","6","NULL"
"1524","14","NULL"
"1525","1","NULL"
"1526","NULL","2"
"1527","6","NULL"
"1528","NULL","1"
"1529","3","NULL"
"1530","1","NULL"
"1532","1","NULL"
"1533","2","NULL"
"1534","1","NULL"
"1535","1","NULL"
"1536","NULL","1"
"1537","1","NULL"
"1538","NULL","NULL"
"1539","NULL","NULL"
"1540","1","1"
