"Year","Number of letters with inferred send date","Number of letters with non-inferred send date"
"NULL","NULL","NULL"
"1503","NULL","NULL"
"1505","NULL","1"
"1508","NULL","NULL"
"1510","1","NULL"
"1511","NULL","2"
"1512","NULL","NULL"
"1516","2","1"
"1517","2","3"
"1518","5","2"
"1519","4","3"
"1520","5","5"
"1521","4","3"
"1522","NULL","NULL"
"1523","NULL","NULL"
"1524","2","NULL"
"1525","NULL","2"
"1526","NULL","1"
"1527","NULL","2"
"1528","2","NULL"
"1529","1","NULL"
"1530","NULL","1"
"1532","NULL","2"
"1533","2","NULL"
"1534","1","NULL"
"1535","NULL","NULL"
"1536","NULL","3"
"1537","NULL","NULL"
"1538","NULL","1"
"1539","NULL","1"
"1540","NULL","NULL"
