"send_date_year1","NoEppSentFromBudé","NoEppSentToBudé"
"NULL","NULL","NULL"
"1503","2","NULL"
"1505","2","1"
"1508","1","NULL"
"1510","2","1"
"1511","1","2"
"1512","1","NULL"
"1516","5","3"
"1517","7","6"
"1518","14","7"
"1519","24","7"
"1520","35","10"
"1521","50","7"
"1522","5","NULL"
"1523","6","NULL"
"1524","14","2"
"1525","1","2"
"1526","2","1"
"1527","6","2"
"1528","1","2"
"1529","3","1"
"1530","1","1"
"1532","2","2"
"1533","2","2"
"1534","1","1"
"1535","1","NULL"
"1536","1","3"
"1537","1","NULL"
"1538","NULL","1"
"1539","NULL","1"
"1540","2","NULL"
