"send_date_computable1","NoEppSentFromBudé"
"1517-05-19","1"
"1519-09-01","1"
"1519-09-15","1"
"1520-02-26","1"
"1522-12-14","1"
"1523-06-01","1"
"1524-04-11","1"
"1524-05-08","1"
"1527-04-22","1"
"1516-05-01","1"
"1516-07-07","1"
"1516-11-26","1"
"1517-02-05","1"
"1517-04-05","1"
"1517-07-17","1"
"1517-12-21","1"
"1518-04-12","1"
"1518-04-20","1"
"1518-10-31","1"
"1519-02-01","1"
"1519-03-06","1"
"1519-03-19","1"
"1519-06-10","1"
"1519-06-30","1"
"1503-01-01","1"
"1503-08-18","1"
"1505-05-01","1"
"1505-01-01","1"
"1508-11-04","1"
"1510-03-14","1"
"1517-07-10","1"
"1521-06-09","1"
"1521-06-12","2"
"1521-05-01","1"
"1521-06-18","1"
"1521-06-19","1"
"1521-06-21","1"
"1521-06-26","2"
"1521-07-01","1"
"1521-07-16","1"
"1521-07-23","1"
"1521-08-09","1"
"1521-08-14","1"
"1521-08-28","1"
"1521-08-30","1"
"1521-09-02","2"
"1521-09-09","1"
"1521-09-14","1"
"1521-09-12","1"
"1521-09-21","1"
"1517-07-31","1"
"1521-09-24","1"
"1521-10-02","2"
"1521-10-10","1"
"1521-10-18","1"
"1521-10-25","1"
"1521-10-20","1"
"1521-11-22","1"
"1521-11-26","1"
"1521-12-13","1"
"1522-02-13","1"
"1520-08-01","1"
"1522-04-24","1"
"1522-06-05","2"
"1523-01-01","1"
"1523-05-05","2"
"1523-05-07","1"
"1523-09-20","1"
"1524-01-27","1"
"1524-02-24","1"
"1524-03-15","1"
"1524-03-01","1"
"1524-09-12","1"
"1524-10-14","1"
"1524-10-20","2"
"1524-11-16","1"
"1524-12-09","2"
"1524-11-01","1"
"1525-02-08","1"
"1526-04-01","1"
"1526-05-25","1"
"1518-04-27","1"
"1527-06-23","1"
"1527-07-01","1"
"1527-09-01","1"
"1527-12-21","1"
"1528-08-01","1"
"NULL","3"
"1518-08-01","1"
"1527-06-25","1"
"1529-01-01","1"
"1529-09-24","1"
"1529-12-06","1"
"1530-06-21","1"
"1532-01-01","2"
"1533-02-05","1"
"1533-08-23","1"
"1534-01-24","1"
"1535-01-01","1"
"1536-11-01","1"
"1537-10-15","1"
"1540-01-08","1"
"1540-08-08","1"
"1518-08-16","1"
"1518-09-09","2"
"1510-09-22","1"
"1511-03-25","1"
"1518-10-15","1"
"1518-10-25","1"
"1518-11-03","1"
"1518-11-05","1"
"1518-11-27","1"
"1518-11-01","1"
"1519-04-16","1"
"1519-04-22","1"
"1516-01-19","1"
"1519-05-03","1"
"1519-05-08","1"
"1519-05-10","1"
"1519-01-01","1"
"1519-07-05","1"
"1519-07-17","1"
"1519-07-25","1"
"1516-06-10","1"
"1519-08-12","1"
"1519-08-16","1"
"1519-08-17","1"
"1519-08-19","1"
"1519-09-29","1"
"1519-09-30","1"
"1519-11-12","1"
"1520-01-02","1"
"1520-02-02","1"
"1520-02-10","1"
"1520-02-22","4"
"1520-02-24","4"
"1520-03-06","1"
"1520-03-28","1"
"1520-04-01","1"
"1520-04-04","1"
"1520-01-01","5"
"1520-04-23","1"
"1520-05-02","2"
"1519-10-01","1"
"1520-05-16","1"
"1520-11-14","1"
"1520-11-20","3"
"1520-12-02","1"
"1520-12-19","1"
"1520-12-23","1"
"1520-12-24","1"
"1521-01-07","1"
"1521-01-10","1"
"1521-01-27","1"
"1521-01-29","1"
"1521-03-17","1"
"1521-03-18","1"
"1521-04-06","1"
"1521-04-12","1"
"1521-04-22","1"
"1521-04-24","1"
"1521-05-06","1"
"1521-05-07","1"
"1520-11-01","1"
"1521-05-11","1"
"1521-05-17","2"
"1521-05-23","1"
"1521-06-03","2"
"1512-01-01","1"
