"send_date_computable1","NoEppSentToBudé"
"1517-04-01","1"
"1519-08-09","1"
"1519-10-15","1"
"1520-02-17","1"
"1520-08-09","1"
"1521-02-16","1"
"1521-09-01","1"
"1525-08-25","1"
"1525-10-02","1"
"1527-03-23","1"
"1527-06-22","1"
"1528-09-06","1"
"1516-06-19","1"
"1516-07-14","1"
"1516-10-28","1"
"1517-02-15","1"
"1517-02-21","1"
"1517-10-26","1"
"1517-11-30","1"
"1518-01-18","1"
"1518-02-22","1"
"1518-04-17","1"
"1518-10-15","1"
"1518-12-22","1"
"1519-03-21","1"
"1519-04-01","1"
"1505-10-01","2"
"1520-12-31","1"
"1511-11-21","1"
"NULL","5"
"1520-01-04","1"
"1521-04-06","1"
"1533-12-01","1"
"1533-11-29","1"
"1534-04-22","1"
"1536-04-22","1"
"1511-10-08","1"
"1538-02-01","1"
"1530-06-18","1"
"1532-07-20","1"
"1536-07-28","1"
"1517-06-10","1"
"1519-12-07","1"
"1521-07-06","1"
"1526-11-03","1"
"1519-09-01","1"
"1539-10-15","1"
"1510-01-13","1"
"1519-11-01","1"
"1524-08-02","1"
"1528-06-01","1"
"1536-01-08","1"
"1520-08-31","1"
"1520-12-05","1"
"1521-01-25","1"
"1521-03-04","1"
"1520-12-20","1"
"1524-08-24","1"
"1521-01-31","1"
"1518-08-01","1"
"1518-12-01","1"
"1520-06-01","2"
"1520-03-07","1"
"1529-11-01","1"
"1532-09-01","1"
