"recipient_id","Number of locations this correspondent receives letters at"
"alciati_andrea_viaf_51699991","2"
"armagnac_georges_de_viaf_59219003","1"
"bembo_pietro_viaf_54144140","1"
"béraud_nicolas_viaf_9955323","3"
"brie_germain_de_viaf_227062191","1"
"budé_dreux_ii_viaf_unknown","1"
"budé_guillaume_viaf_105878228","5"
"budé_jacques_viaf_uncertain","1"
"budé_jean_viaf_uncertain","1"
"budé_louis_viaf_uncertain","1"
"burensis_budé_corpus_viaf_unknown","1"
"calveto_ioanni_viaf_unknown","1"
"cantiuncula_claudius_viaf_74646923","1"
"chesnaye_nicolas_de_la_viaf_unknown","1"
"cochlæus_johannes_viaf_121589726","1"
"colin_jacques_viaf_227383748","1"
"copus_guilielmus_viaf_22249056","1"
"courtin_jean_viaf_unknown","1"
"croke_richard_viaf_67250364","1"
"deloynes_françois_viaf_212150646","1"
"dolet_étienne_viaf_71390142","1"
"douaren_françois_viaf_10639976","1"
"duaren_jean_viaf_unknown","1"
"du_mayne_guillaume_viaf_2808362","1"
"egnazio_giovanni_battista_viaf_100187526","1"
"eichholz_adolf_viaf_unknown","1"
"erasmus_desiderius_viaf_95982394","5"
"fieschi_battista_viaf_unknown","1"
"forest_jean_de_la_viaf_unknown","2"
"francis_i_king_of_france_viaf_21677","1"
"gilles_pierre_viaf_51828046","1"
"io_pe_budé_corpus_viaf_unknown","1"
"lamy_pierre_viaf_unknown","1"
"lascaris_janus_viaf_32142389","3"
"leonicus_thomaeus_nicolaus_viaf_88604630","1"
"le_picart_christophe_viaf_unknown","1"
"le_picart_françois_viaf_97992504","1"
"le_picart_jean_viaf_unknown","1"
"linacre_thomas_viaf_59233331","1"
"longolius_christopherus_viaf_12405190","3"
"lupset_thomas_viaf_89034021","2"
"more_thomas_sir_saint_viaf_29541174","1"
"n_p_budé_corpus_viaf_unknown","1"
"ollivier_le_lyonnais_viaf_unknown","1"
"pace_richard_viaf_62360861","1"
"philecous_budé_corpus_viaf_unknown","1"
"rabelais_françois_viaf_24606939","1"
"robertet_claude_viaf_unknown","1"
"robertet_françois_viaf_unknown","1"
"ruzé_louis_viaf_306487693","1"
"sadoleto_jacopo_viaf_76326881","2"
"salmon_jean_viaf_68983547","1"
"séguier_pierre_viaf_63996871","1"
"tunstall_cuthbert_viaf_22160214","1"
"tusanus_jacobus_viaf_221293349","1"
"vadianus_joachim_viaf_29572382","1"
"vives_juan_luis_viaf_71399403","1"
"zasius_ulrich_viaf_61645489","1"
