"letters_id","sender_id","recipient_id","send_date_computable1","source_loc_id","SourceLAT","SourceLNG","target_loc_id","TargetLAT","TargetLNG"
"era_cwealien_583","budé_guillaume_viaf_105878228","tunstall_cuthbert_viaf_22160214","1517-05-19","paris_FR_gid_2988507","48.85341","2.3488","antwerpen_BE_gid_2803138","51.21989","4.40346"
"era_cwe_1011","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1519-09-01","marly_la_ville_FR_gid_2995653","49.08201","2.50347","leuven_BE_gid_2792482","50.87959","4.70093"
"era_cwe_1015","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1519-09-15","marly_la_ville_FR_gid_2995653","49.08201","2.50347","leuven_BE_gid_2792482","50.87959","4.70093"
"era_cwe_1073","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1520-02-26","marly_la_ville_FR_gid_2995653","49.08201","2.50347","leuven_BE_gid_2792482","50.87959","4.70093"
"era_cwe_1328","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1522-12-14","paris_FR_gid_2988507","48.85341","2.3488","basel_CH_gid_2661604","47.5584","7.57327"
"era_cwe_1370","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1523-06-01","paris_FR_gid_2988507","48.85341","2.3488","basel_CH_gid_2661604","47.5584","7.57327"
"era_cwe_1439","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1524-04-11","paris_FR_gid_2988507","48.85341","2.3488","basel_CH_gid_2661604","47.5584","7.57327"
"era_cwe_1446","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1524-05-08","paris_FR_gid_2988507","48.85341","2.3488","basel_CH_gid_2661604","47.5584","7.57327"
"era_cwe_1812","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1527-04-22","paris_FR_gid_2988507","48.85341","2.3488","basel_CH_gid_2661604","47.5584","7.57327"
"era_cwe_403","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1516-05-01","paris_FR_gid_2988507","48.85341","2.3488","basel_CH_gid_2661604","47.5584","7.57327"
"era_cwe_435","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1516-07-07","paris_FR_gid_2988507","48.85341","2.3488","antwerpen_BE_gid_2803138","51.21989","4.40346"
"era_cwe_493","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1516-11-26","paris_FR_gid_2988507","48.85341","2.3488","brussels_BE_gid_2800866","50.85045","4.34878"
"era_cwe_522","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1517-02-05","paris_FR_gid_2988507","48.85341","2.3488","brussels_BE_gid_2800866","50.85045","4.34878"
"era_cwe_568","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1517-04-05","paris_FR_gid_2988507","48.85341","2.3488","brussels_BE_gid_2800866","50.85045","4.34878"
"era_cwe_609","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1517-07-17","paris_FR_gid_2988507","48.85341","2.3488","leuven_BE_gid_2792482","50.87959","4.70093"
"era_cwe_744","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1517-12-21","paris_FR_gid_2988507","48.85341","2.3488","leuven_BE_gid_2792482","50.87959","4.70093"
"era_cwe_810","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1518-04-12","paris_FR_gid_2988507","48.85341","2.3488","leuven_BE_gid_2792482","50.87959","4.70093"
"era_cwe_819","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1518-04-20","paris_FR_gid_2988507","48.85341","2.3488","leuven_BE_gid_2792482","50.87959","4.70093"
"era_cwe_896","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1518-10-31","paris_FR_gid_2988507","48.85341","2.3488","leuven_BE_gid_2792482","50.87959","4.70093"
"era_cwe_915","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1519-02-01","paris_FR_gid_2988507","48.85341","2.3488","leuven_BE_gid_2792482","50.87959","4.70093"
"era_cwe_924","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1519-03-06","paris_FR_gid_2988507","48.85341","2.3488","leuven_BE_gid_2792482","50.87959","4.70093"
"era_cwe_929","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1519-03-19","paris_FR_gid_2988507","48.85341","2.3488","mechelen_BE_gid_2791537","51.02574","4.47762"
"era_cwe_987","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1519-06-10","paris_FR_gid_2988507","48.85341","2.3488","leuven_BE_gid_2792482","50.87959","4.70093"
"era_cwe_992","budé_guillaume_viaf_105878228","erasmus_desiderius_viaf_95982394","1519-06-30","paris_FR_gid_2988507","48.85341","2.3488","leuven_BE_gid_2792482","50.87959","4.70093"
"gbudé_gueudet_01","budé_guillaume_viaf_105878228","alciati_andrea_viaf_51699991","1530-06-21","paris_FR_gid_2988507","48.85341","2.3488","bourges_FR_gid_3031005","47.08333","2.4"
"gbudé_lavoie_1","budé_guillaume_viaf_105878228","copus_guilielmus_viaf_22249056","1512-01-01","paris_FR_gid_2988507","48.85341","2.3488","paris_FR_gid_2988507","48.85341","2.3488"
"gbudé_lg_49","budé_guillaume_viaf_105878228","du_mayne_guillaume_viaf_2808362","1521-04-24","troyes_FR_gid_2971549","48.3","4.08333","paris_FR_gid_2988507","48.85341","2.3488"
"gbudé_lg_51","budé_guillaume_viaf_105878228","du_mayne_guillaume_viaf_2808362","1521-05-06","unknown_location_in_france_FR_gid_unknown","0","0","paris_FR_gid_2988507","48.85341","2.3488"
"gbudé_lg_90","budé_guillaume_viaf_105878228","francis_i_king_of_france_viaf_21677","1529-01-01","paris_FR_gid_2988507","48.85341","2.3488","unknown_location_in_france_FR_gid_unknown","0","0"
"gbudé_rep_1","budé_guillaume_viaf_105878228","lascaris_janus_viaf_32142389","1510-03-14","paris_FR_gid_2988507","48.85341","2.3488","milano_IT_gid_3173435","45.46427","9.18951"
"gbudé_rep_10","budé_guillaume_viaf_105878228","linacre_thomas_viaf_59233331","1517-07-10","paris_FR_gid_2988507","48.85341","2.3488","london_GB_gid_2643743","51.50853","-0.12574"
"gbudé_rep_100","budé_guillaume_viaf_105878228","cochlæus_johannes_viaf_121589726","1521-06-09","dijon_FR_gid_3021372","47.31667","5.01667","frankfurt_am_main_DE_gid_2925533","50.11552","8.68417"
"gbudé_rep_101","budé_guillaume_viaf_105878228","salmon_jean_viaf_68983547","1521-06-12","dijon_FR_gid_3021372","47.31667","5.01667","unknown_location_in_france_FR_gid_unknown","0","0"
"gbudé_rep_102","budé_guillaume_viaf_105878228","lascaris_janus_viaf_32142389","1521-06-12","dijon_FR_gid_3021372","47.31667","5.01667","unknown_location_in_italy_IT_gid_unknown","0","0"
"gbudé_rep_103","budé_guillaume_viaf_105878228","brie_germain_de_viaf_227062191","1521-06-18","dijon_FR_gid_3021372","47.31667","5.01667","paris_FR_gid_2988507","48.85341","2.3488"
"gbudé_rep_104","budé_guillaume_viaf_105878228","brie_germain_de_viaf_227062191","1521-06-19","dijon_FR_gid_3021372","47.31667","5.01667","paris_FR_gid_2988507","48.85341","2.3488"
"gbudé_rep_105","budé_guillaume_viaf_105878228","budé_jacques_viaf_uncertain","1521-06-21","dijon_FR_gid_3021372","47.31667","5.01667","noyon_FR_gid_2989877","49.58333","3"
"gbudé_rep_106","budé_guillaume_viaf_105878228","robertet_françois_viaf_unknown","1521-06-26","dijon_FR_gid_3021372","47.31667","5.01667","unknown_location_in_france_FR_gid_unknown","0","0"
"gbudé_rep_107","budé_guillaume_viaf_105878228","ruzé_louis_viaf_306487693","1521-07-01","nuits_saint_georges_FR_gid_2989837","47.13683","4.949","paris_FR_gid_2988507","48.85341","2.3488"
