"Location Name Modern","Latitude","Longitude","Number of correspondents who wrote letters from this location (excl. Budé)"
"Antwerpen","51.21989","4.40346","2"
"Padova","45.40797","11.88586","1"
"Brussels","50.85045","4.34878","1"
"Leuven","50.87959","4.70093","1"
"Basel","47.5584","7.57327","1"
"Paris","48.85341","2.3488","1"
"Calais","50.95194","1.85635","1"
"Mechelen","51.02574","4.47762","1"
"Bonnefont","43.24983","0.34476","1"
"Toulouse","43.60426","1.44367","1"
"Chíos","38.36778","26.13583","1"
"Anderlecht","50.83619","4.31454","1"
"Milano","45.46427","9.18951","1"
"Brugge","51.20892","3.22424","1"
"Venice","45.43713","12.33265","1"
"Fontenay","46.46667","-0.81667","1"
