"Location Name","Latitude","Longitude","Number of years letters are written from this location to Budé","Number of letters written from this location to Budé","Average number of letters written from this location to Budé per year"
"Leuven","50.87959","4.70093","5","10","2.0000"
"Antwerpen","51.21989","4.40346","4","6","1.5000"
"Basel","47.5584","7.57327","3","4","1.3333"
"Paris","48.85341","2.3488","2","2","1.0000"
"Brugge","51.20892","3.22424","2","2","1.0000"
"Padova","45.40797","11.88586","2","1","0.5000"
"Brussels","50.85045","4.34878","1","1","1.0000"
"Fontenay","46.46667","-0.81667","1","1","1.0000"
"Mechelen","51.02574","4.47762","1","1","1.0000"
"Chíos","38.36778","26.13583","1","1","1.0000"
"Milano","45.46427","9.18951","1","1","1.0000"
