"correspondents_id","type","gender","viaf_id","wikidata_id","gnd_id","cerl_id","emlo_person_id","name_in_edition","known_name_variations","known_name_variations_ref","pob_loc_id","pob_loc_annotation","pob_loc_annotation_ref","dob_year1","dob_month1","dob_day1","dob_computable1","dob_has_range","dob_year2","dob_month2","dob_day2","dob_computable2","dob_annotation","dob_annotation_ref","pod_loc_id","pod_loc_annotation","pod_loc_annotation_ref","dod_year1","dod_month1","dod_day1","dod_computable1","dod_has_range","dod_year2","dod_month2","dod_day2","dod_computable2","dod_annotation","dod_annotation_ref","further_annotation"
"cbd92b4f-8d61-4497-bace-f223843a7970","individual","not applicable","","","","","","[A Friend] [COE] // A Friend [CWE] // Friend, A [ALLEN]","","","unknown_location_XX_gid_unknown","Unknown","","","","","","1","","","","","","","unknown_location_XX_gid_unknown","Unknown","","","","","","1","","","","","","",""
"f791f90a-19a7-4731-b460-9d6e3038c571","individual","male","","","","","","[A Monk] [COE] // A Monk [CWE] // A Monk [ALLEN]","","","unknown_location_XX_gid_unknown","Unknown","","","","","","1","","","","","","","unknown_location_XX_gid_unknown","Unknown","","","","","","1","","","","","","",""
"8d0b68cc-7edf-46a2-9a23-b8cb9cc6069e","individual","male","","","","","","[A Physician] [COE] // A Physician [CWE] // A Physician [ALLEN]","","","unknown_location_XX_gid_unknown","Unknown","","","","","","1","","","","","","","unknown_location_XX_gid_unknown","Unknown","","","","","","1","","","","","","",""
"6f63bbd3-e2ca-4c88-abca-8cd5c2be51c3","individual","male","305864764","Q11769854","","","","Mariano ACCARDO [COE] // Mariano Accardo [CWE] // Accard, Marian [ALLEN]","Acardi","COE I, 3","noto_IT_gid_2523998","Noto, Sicily","COE I, 3","1450","","","1450-01-01","1","1499","","","1499-12-31","second half of the 15th century","COE I, 3","noto_IT_gid_2523998","Noto","COE I, 3","1521","","","1521-01-01","1","1521","","","1521-12-31","c 1521","COE I, 3",""
"8e337b13-a43c-4100-81c0-7ee324f61eb0","individual","male","76430137","Q57087","118544365","cnp00966457","0afa7376-b1db-4e14-bd48-f925d0173740","Pope ADRIAN VI [COE] // Adrian VI [CWE] // Adrian VI, Pope (Adrian of Utrecht) [ALLEN]","Adriaan Floriszoon","COE I, 5","utrecht_NL_gid_2745912","Utrecht","COE I, 5","1459","03","02","1459-03-02","0","1459","03","02","1459-03-02","2.3.1459","DBA","rome_IT_gid_3169070","Rome","COE I, 5","1523","09","14","1523-09-14","0","1523","09","14","1523-09-14","14 September 1523","COE I, 5",""
"d0f24494-1fdc-4f1f-af62-eaa39fb9f1dd","individual","male","","Q114323924","","","","ADRIANUS [COE] // Adrian of Saint-Omer [CWE] // Adrian of St. Omer [ALLEN]","","","unknown_location_XX_gid_unknown","Unknown","","","","","","1","","","","","","","unknown_location_XX_gid_unknown","Unknown","","","","","","1","","","","","","",""
"5b39e0da-fbc0-467e-a65b-901353f35879","individual","male","231943211","Q95296852","1019962968","cnp01425629","","Wolfgang von AFFENSTEIN [COE] // Wolfgang von Affenstein [CWE] // Affenstein, Wolfgang von [ALLEN]","Affenstain, Wolfgangus ab","GND","unknown_location_in_germany_DE_gid_unknown","Unknown","","1501","01","","1501-01-01","1","1501","01","","1501-01-31","January 1501","COE I, 10-12","dirmstein_DE_gid_2936822","Dirmstein","COE I, 10-12","1556","","","1556-01-01","1","1556","","","1556-02-28","by March 1556","COE I, 10-12",""
"7503a7be-c746-42ac-a313-58effb67965a","individual","male","220463086","Q114237408","101766577X","cnp01416387","","Henricus AFINIUS [COE] // Henricus Afinius [CWE] // Afinius, Henricus [ALLEN]","a Fine // de Fine // van den Eynde","COE I, 12","lier_BE_gid_2792397","Lier, near Antwerp","COE I, 12","","","","","1","","","","","alive in 1499:CK, cf. COE entry","COE I, 12","antwerpen_BE_gid_2803138","Antwerp","COE I, 12","1520","","","1520-01-01","1","1520","08","22","1520-08-22","before 23 August 1520","COE I, 12",""
"fa00c782-da06-4d8d-a604-6fdd8bd83540","individual","male","30349638","Q114237050","119601915","cnp01119234","","Augustijn AGGE [COE] // Augustinus Aggeus [CWE] // Agge, Augustinus (Aggeus) [ALLEN]","Aggeus","COE I, 13","the_hague_NL_gid_2747373","The Hague","COE I, 13","","","","","1","","","","","","","unknown_location_XX_gid_unknown","Unknown","","","","","","1","","","","","","",""
"57cbdc43-7883-4d6a-9621-8c3645d470b7","individual","male","100164815","Q76579","118501062","cnp01302124","a7737549-de08-4a00-9863-8e3f71c79789","Georgius AGRICOLA [COE] // Georgius Agricola [CWE] // Agricola, Georgius [ALLEN]","Bauer // Pawer","COE I, 13-14","glauchau_DE_gid_2920020","Glauchau/Sachsen","HGK I, 11","1494","03","24","1494-03-24","0","1494","03","24","1494-03-24","24.3.1494","NDB","chemnitz_DE_gid_2940132","Chemnitz","HGK I, 11","1555","11","21","1555-11-21","0","1555","11","21","1555-11-21","21 November 1555","COE I, 13-14",""
"7fa3f278-2bf3-4364-a825-bf51ef2bd8da","individual","male","72187518","Q1671363","118647342","cnp01302422","","Johannes AGRICOLA [COE] // Johannes Agricola [CWE] // Agricola, John [ALLEN]","Peurle // Beuerle // Agricola Ammonius","COE I, 15","gunzenhausen_DE_gid_2913537","Gunzenhausen/Mittelfranken","HGK I, 12","1496","","","1496-01-01","1","1496","","","1496-12-31","1496","COE I, 15","ingolstadt_DE_gid_2895992","Ingolstadt","HGK I, 12","1570","03","06","1570-03-06","0","1570","03","06","1570-03-06","6 March 1570","COE I, 15",""
"f23d4906-b75d-4e3a-8835-02ef28238cd3","individual","male","24596804","Q76568","118647377","cnp01302207","dec8e769-ff72-49f6-93d7-db171032ffc3","Henricus Cornelius AGRIPPA [COE] // Henricus Cornelius Agrippa [CWE] // Agrippa, Cornelius (von Nettesheim) [ALLEN]","Cornelis","HGK I, 14","köln_DE_gid_2886242","Köln","HGK I, 14","1486","09","14","1486-09-14","0","1486","09","14","1486-09-14","14 September 1486","COE I, 17-19","grenoble_FR_gid_3014728","Grenoble","HGK I, 14","1535","02","18","1535-02-18","0","1535","02","18","1535-02-18","18 February 1535","COE I, 17-19",""
"114e993b-10b8-40d1-b547-f6157671e1ec","individual","male","","Q114323925","","","","Girolamo AIAZZA [COE] // Girolamo Aiazza [CWE] // Agathius, Jerome [ALLEN]","Agathius // Agacius","COE I, 19","vercelli_IT_gid_3164565","Vercelli","COE I, 19","1472","","","1472-01-01","1","1472","","","1472-12-31","c 1472","COE I, 19","vercelli_IT_gid_3164565","prob. Vercelli","COE I, 19","1538","","","1538-01-01","1","1538","","","1538-12-31","1538","COE I, 19",""
"17414ef1-be4c-4c45-ae1c-fd7454222cf5","individual","male","","Q114323926","","","","Amblard ALARDET [COE] // Amblard Alardet [CWE] // Alardet, Ambolard [ALLEN]","Allardet","COE I, 21-22","genève_CH_gid_2660646","Geneva","COE I, 21-22","","","","","1","","","","","","","unknown_location_XX_gid_unknown","Unknown","","","","","","1","","","","","","",""
"418c8216-9942-4bed-a0ab-e647caa99fe7","individual","male","314873892","Q96253242","1067746102","cnp02013622","","Claude-Louis ALARDET [COE] // Claude-Louis Alardet [CWE] // Alardet, Louis [ALLEN]","Allardet","COE I, 21-22","genève_CH_gid_2660646","Geneva","COE I, 21-22","1506","","","1506-01-01","1","1506","","","1506-12-31","1506","GND","chambéry_FR_gid_3027422","Chambéry","COE I, 21-22","1561","05","","1561-05-01","1","1561","05","","1561-05-31","verm. Mai 1561","HDS",""
"3b36145e-510a-4c4e-b786-45e5eb962ce3","individual","male","85054604","Q16146649","102559120","cnp01120192","54ecb3b6-a02b-4bb8-8815-ef40c6889ee0","ALAARD of Amsterdam [COE] // Alaard of Amsterdam [CWE] // Alard of Amsteram [ALLEN]","Alardus Aemstelredamus // Allard","COE I, 19-21","amsterdam_NL_gid_2759794","Amsterdam","COE I, 19-21","1491","","","1491-01-01","1","1491","","","1491-12-31","1491","COE I, 19-21","leuven_BE_gid_2792482","Louvain","COE I, 19-21","1544","08","28","1544-08-28","0","1544","08","28","1544-08-28","c 28 August 1544","COE I, 19-21",""
"7f27a8d3-dcd2-47ff-a8eb-8476f8d29c30","individual","male","42631444","Q60951","118647733","cnp00397320","6d3b9952-1fe6-4e27-bea4-60ec297c935f","Albert of BRANDENBURG [COE] // Albert of Brandenburg [CWE] // Brandenburg, Albert of [ALLEN]","Albrecht, Markgraf von Brandenburg","COE I, 184-187","alt_kölln_DE_gid_7576815","Cölln an der Spree","ABF","1490","06","28","1490-06-28","0","1490","06","28","1490-06-28","28 June 1490","COE I, 184-187","mainz_DE_gid_2874225","Mainz","NDB","1545","09","24","1545-09-24","0","1545","09","24","1545-09-24","24 September 1545","COE I, 184-187",""
"4d1cc198-928c-46e6-8d8e-ad240639f5c3","individual","male","304010662","Q2854077","","","","Antoine d'ALBON [COE] // Antoine d'Albon [CWE] // Dalban, Antony [ALLEN]","Dalbanus","COE I, 22-23","saint_forgeux_FR_gid_2980094","Saint-Forgeux","COE I, 22-23","1507","","","1507-01-01","1","1507","","","1507-12-31","1507","COE I, 22-23","saint_just_saint_rambert_FR_gid_2978997","Saint-Rambert-en-Forez","ABF","1574","09","24","1574-09-24","0","1574","09","24","1574-09-24","24 Sep 1574","Catholic Hierarchy",""
"639f3ce8-be9f-4993-b200-3fcde3a3b4e9","individual","male","51699991","Q464471","118644432","cnp01302119","2dc5e8fd-f535-4a40-b761-3dd6dce4ad29","Andrea ALCIATI [COE] // Andrea Alciati [CWE] // Alciati, Andrea [ALLEN]","Alciatus // Alciato // Alciat","COE I, 23-26 // HGK I, 20","alzate_brianza_IT_gid_6535114","Alzate Brianza bei Como","HGK I, 20","1492","05","08","1492-05-08","0","1492","05","08","1492-05-08","8 May 1492","COE I, 23-26","pavia_IT_gid_3171366","Pavia","HGK I, 20","1550","01","12","1550-01-12","0","1550","01","12","1550-01-12","12 January 1550","COE I, 23-26",""
"a1ee55e4-208d-4150-8b1e-8848f8dba7c8","individual","male","14638314","Q3938198","","cnp00014396","","Robert ALDRIDGE [COE] // Robert Aldridge [CWE] // Aldridge, Robert [ALLEN]","Aldrich // Aldrisius","COE I, 27-28","burnham_GB_gid_2654274","Burnham, Buckinghamshire","COE I, 27-28","1488","","","1488-01-01","1","1489","","","1489-12-31","1488/9","ODNB","horncastle_GB_gid_2646595","Horncastle","BBA","1556","03","05","1556-03-05","0","1556","03","05","1556-03-05","5 March 1556","COE I, 27-28",""
"bdba997b-1e7c-485c-b8c1-8a9a12fe9986","individual","male","17319843","Q918330","118647911","cnp01121629","","Girolamo ALEANDRO [COE] // Girolamo Aleandro [CWE] // Aleander, Jerome [ALLEN]","Aleander // Aléandre","COE I, 28-32 // HGK I, 22","motta_di_livenza_IT_gid_3172508","Motta di Livenza/Treviso","HGK I, 22","1480","02","13","1480-02-13","0","1480","02","13","1480-02-13","13 February 1480","COE I, 28-32","rome_IT_gid_3169070","Rom","HGK I, 22","1542","02","01","1542-02-01","0","1542","02","01","1542-02-01","1 February 1542","COE I, 28-32",""
"69f6d19c-a959-4777-bb5b-baaf425da484","individual","male","57427674","Q55123322","119605686","cnp01122601","","Georgius AMELIUS [COE] // Georgius Amelius [CWE] // Amelius, Georgius [ALLEN]","Achtznicht // Achtsynit","COE I, 41","unknown_location_in_moravia_CZ_gid_unknown","Unknown, in Moravia","COE I, 41","","","","","1","","","","","","","unknown_location_XX_gid_unknown","Unknown","","1541","10","28","1541-10-28","0","1541","10","28","1541-10-28","28 October 1541","COE I, 41",""
