"correspondents_id","type","gender","viaf_id","wikidata_id","gnd_id","cerl_id","emlo_person_id","name_in_edition","known_name_variations","known_name_variations_ref","pob_loc_id","pob_loc_annotation","pob_loc_annotation_ref","dob_year1","dob_month1","dob_day1","dob_computable1","dob_has_range","dob_year2","dob_month2","dob_day2","dob_computable2","dob_annotation","dob_annotation_ref","pod_loc_id","pod_loc_annotation","pod_loc_annotation_ref","dod_year1","dod_month1","dod_day1","dod_computable1","dod_has_range","dod_year2","dod_month2","dod_day2","dod_computable2","dod_annotation","dod_annotation_ref","further_annotation"
"007b1451-07a0-4a17-b430-58a8bee94202","individual","male","NULL","Q114324039","NULL","NULL","d9ea435b-acad-4519-ba30-2d5a1aa14e33","Georgius LOXANUS [COE] // Georgius Loxanus [CWE] // Loxanus, George [ALLEN]","Georg von Logkschau // Loschau","COE II, 354-355","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"010c346f-88f4-485a-ba7f-fefe691d42b9","individual","male","NULL","Q60788666","NULL","NULL","NULL","John WATSON [COE] // John Watson [CWE] // Watson, John [ALLEN]","NULL","NULL","unknown_location_in_england_GB_gid_unknown","Unknown","COE III, 432","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","1537","NULL","NULL","1537-01-01","1","1537","NULL","NULL","1537-12-31","1537","COE III, 432","NULL"
"0142569f-c057-49ed-bb82-5dfc953675b2","individual","male","NULL","Q114323947","NULL","NULL","NULL","Willem BOLLART [COE] // Willem Bollart [CWE] // Bollart, William [ALLEN]","Bolart // Bolais","COE I, 162-163","brussels_BE_gid_2800866","Brussels","COE I, 162-163","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","leuven_BE_gid_2792482","Louvain","COE I, 162-163","1532","11","14","1532-11-14","0","1532","11","14","1532-11-14","14 November 1532","COE I, 162-163","NULL"
"01d02986-fe99-494a-ac18-0e5f49c3d232","individual","male","15826485","Q94867599","128585714","cnp01234887","c9a98859-a1e6-4476-9b61-b5c17ec30047","Christoph FREISLEBEN [COE] // Christoph Freisleben [CWE] // Freisleben, Christopher [ALLEN]","Eleutherobios","COE II, 56-57","linz_AT_gid_2772400","Linz","COE II, 56-57","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","1552","01","01","1552-01-01","1","NULL","NULL","NULL","NULL","after 1551","COE II, 56-57","NULL"
"05c68323-6534-4612-9718-fd5e0c3808f9","individual","male","NULL","NULL","NULL","NULL","NULL","[A Patron] [COE] // A Patron, perhaps in The Hague [CWE] // ? [ALLEN]","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"0646adba-87ac-490b-b45b-aa9828bd5c9a","individual","male","NULL","Q114324098","NULL","NULL","d46a3edc-034e-47f7-b5b5-ce5b796f7825","Matthias PISTOR [COE] // Matthias Pistor [CWE] // Pistor, Mathias [ALLEN]","NULL","NULL","unknown_location_in_germany_DE_gid_unknown","Unknown","COE III, 95-96","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"08c73995-cef1-4e39-98e8-7aa61b03a43f","individual","male","NULL","Q114323957","NULL","NULL","NULL","Jacopo CANTA [COE] // Jacopo Canta [CWE] // Canta, James [ALLEN]","NULL","NULL","asti_IT_gid_3182714","Asti","COE I, 258","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"09191beb-c405-4c19-afe3-efc0459c1c9a","individual","male","NULL","Q114324102","NULL","NULL","0239a96e-67b7-4acf-afba-34b645b3e058","Kilian PRAUS [COE] // Kilian Praus [CWE] // Chilianus, Clemens (Praüs) [ALLEN]","Chilianus // Clemens // Braxatoris // Brauer","COE III, 117-118","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"0aa0cbad-e837-452d-8214-8742bb4dc70b","individual","male","NULL","Q114324095","NULL","NULL","15d0aa51-41b7-44b5-b447-e44ed6c48dbe","Lazarus a PARENTIBUS [COE] // Lazarus a Parentibus [CWE] // Parentibus, Lazarus a [ALLEN]","NULL","NULL","genoa_IT_gid_3176219","Unknown, possibly Genoa","COE III, 51","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"0bdfbc4c-1c63-4dc4-9506-4db786b3df99","individual","male","20840615","Q2193508","132275139","cnp00863760","NULL","Maximiliaan van HORN [COE] // Maximiliaan van Horn [CWE] // Hornes, Maximilian of [ALLEN]","Hornes","COE II, 205","unknown_location_in_the_netherlands_NL_gid_unknown","Unknown","COE II, 205","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","1543","02","03","1543-02-03","0","1543","02","03","1543-02-03","3 February 1543","COE II, 205","NULL"
"0ca5ee6b-278e-4d35-a0ab-68f98a65a789","individual","male","NULL","Q114324031","NULL","NULL","NULL","Jean LALEMAND [COE] // Jean Lalemand [CWE] // Lallemand, Jean [ALLEN]","L'Allemand, Alemannus, Lallemand","COE II, 282-283","unknown_location_in_the_franche_comté_FR_gid_unknown","Unknown, in the Franche-Comté","COE II, 282-283","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","besançon_FR_gid_3033123","prob. Besançon","COE II, 282-283","1560","09","18","1560-09-18","0","1560","09","18","1560-09-18","18 September 1560","COE II, 282-283","NULL"
