"correspondents_id","type","gender","viaf_id","wikidata_id","gnd_id","cerl_id","emlo_person_id","name_in_edition","known_name_variations","known_name_variations_ref","pob_loc_id","pob_loc_annotation","pob_loc_annotation_ref","dob_year1","dob_month1","dob_day1","dob_computable1","dob_has_range","dob_year2","dob_month2","dob_day2","dob_computable2","dob_annotation","dob_annotation_ref","pod_loc_id","pod_loc_annotation","pod_loc_annotation_ref","dod_year1","dod_month1","dod_day1","dod_computable1","dod_has_range","dod_year2","dod_month2","dod_day2","dod_computable2","dod_annotation","dod_annotation_ref","further_annotation"
"007b1451-07a0-4a17-b430-58a8bee94202","individual","male","NULL","Q114324039","NULL","NULL","d9ea435b-acad-4519-ba30-2d5a1aa14e33","Georgius LOXANUS [COE] // Georgius Loxanus [CWE] // Loxanus, George [ALLEN]","Georg von Logkschau // Loschau","COE II, 354-355","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"05c68323-6534-4612-9718-fd5e0c3808f9","individual","male","NULL","NULL","NULL","NULL","NULL","[A Patron] [COE] // A Patron, perhaps in The Hague [CWE] // ? [ALLEN]","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"0646adba-87ac-490b-b45b-aa9828bd5c9a","individual","male","NULL","Q114324098","NULL","NULL","d46a3edc-034e-47f7-b5b5-ce5b796f7825","Matthias PISTOR [COE] // Matthias Pistor [CWE] // Pistor, Mathias [ALLEN]","NULL","NULL","unknown_location_in_germany_DE_gid_unknown","Unknown","COE III, 95-96","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"08c73995-cef1-4e39-98e8-7aa61b03a43f","individual","male","NULL","Q114323957","NULL","NULL","NULL","Jacopo CANTA [COE] // Jacopo Canta [CWE] // Canta, James [ALLEN]","NULL","NULL","asti_IT_gid_3182714","Asti","COE I, 258","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"09191beb-c405-4c19-afe3-efc0459c1c9a","individual","male","NULL","Q114324102","NULL","NULL","0239a96e-67b7-4acf-afba-34b645b3e058","Kilian PRAUS [COE] // Kilian Praus [CWE] // Chilianus, Clemens (Praüs) [ALLEN]","Chilianus // Clemens // Braxatoris // Brauer","COE III, 117-118","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"0aa0cbad-e837-452d-8214-8742bb4dc70b","individual","male","NULL","Q114324095","NULL","NULL","15d0aa51-41b7-44b5-b447-e44ed6c48dbe","Lazarus a PARENTIBUS [COE] // Lazarus a Parentibus [CWE] // Parentibus, Lazarus a [ALLEN]","NULL","NULL","genoa_IT_gid_3176219","Unknown, possibly Genoa","COE III, 51","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"0cc04891-a71c-49f5-84f1-e322c37652a3","individual","male","NULL","Q114323931","NULL","NULL","NULL","John BABHAM [COE] // John Babham [CWE] // Babham, John [ALLEN]","NULL","NULL","unknown_location_in_england_GB_gid_unknown","Unknown","COE I, 78","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"0d3acba1-151d-45b3-9ce7-aa1d56ab213b","individual","male","NULL","Q114324136","NULL","NULL","NULL","Chunradus THURINGUS SALTZENSIS [COE] // Cunradus Thuringus Saltzensis [CWE] // Conrad Thuringus [ALLEN]","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"0d5c3d9c-c42a-4cdd-96e5-38633716c32d","corporate body","not applicable","NULL","NULL","NULL","NULL","NULL","[Faculty of Theology at Paris] [COE] // The Faculty of Theology of Paris [CWE] // Paris Theologians [ALLEN]","NULL","NULL","unknown_location_XX_gid_unknown","not applicable","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","not applicable","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"0f0ebd37-0f93-4645-a73a-3c9be94677ef","group","male","NULL","NULL","NULL","NULL","NULL","[Theologians of Louvain] [COE] // The Theologians of Louvain [CWE] // Louvain, Theologians [ALLEN]","NULL","NULL","unknown_location_XX_gid_unknown","not applicable","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","not applicable","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1056ebe4-a8ec-405c-b6ec-bfb08aa77288","individual","male","NULL","Q114324081","NULL","NULL","8f3756a0-aa9b-4445-8e5f-e238b1669764","Felipe NICOLA [COE] // Felipe Nicola [CWE] // Nicola, Philip [ALLEN]","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"15602199-6bbe-4300-a70e-fb4b77b3d99c","individual","male","105163510598010932767","Q114246285","1243975512","cnp02360295","NULL","Martin HUNE [COE] // Martin Hune [CWE] // Hune, Martin [ALLEN]","Hunus","COE II, 214-215","gittelde_DE_gid_2920268","Gittelde","COE II, 214-215","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"17414ef1-be4c-4c45-ae1c-fd7454222cf5","individual","male","NULL","Q114323926","NULL","NULL","0d715012-1bde-4df3-b465-f235df2a2d31","Amblard ALARDET [COE] // Amblard Alardet [CWE] // Alardet, Ambolard [ALLEN]","Allardet","COE I, 21-22","genève_CH_gid_2660646","Geneva","COE I, 21-22","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1b1836fb-3dc5-4d1d-9ae3-3e48a36e2669","individual","male","NULL","Q114324150","NULL","NULL","NULL","Johann WERTER [COE] // Johann Werter [CWE] // Werter, John [ALLEN]","Werterius","COE III, 440","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1c3a17c7-58bb-4d54-a0cb-fe6518aa480a","individual","male","69746154","Q114261969","119751526","cnp01883158","NULL","Nicolas MAILLARD [COE] // Nicolas Maillard [CWE] // Mallarius, Nicolaus [ALLEN]","Mallarius","COE II, 369-370","unknown_location_diocese_of_rouen_FR_gid_unknown","Unknown, diocese of Rouen","COE II, 369-370","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1c750cda-9249-4f5d-931a-a14efe5f5daf","individual","male","NULL","Q114324117","NULL","NULL","11b51ad9-b7d1-478e-9360-d3a36afabc1a","Daniele SCEVOLA [COE] // Daniele Scevola [CWE] // not included in ALLEN","NULL","NULL","unknown_location_in_italy_IT_gid_unknown","Unknown","COE III, 215","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1eba0280-0dd8-4bfb-a431-384b231de486","individual","male","NULL","Q114323964","NULL","NULL","3a23bd16-aa8e-484b-ab2c-2a3dd49399fa","William DANCASTER [COE] // William Dancaster [CWE] // Dancaster, William [ALLEN]","Dankester","COE I, 375-376","unknown_location_in_england_GB_gid_unknown","Suffolk","COE I, 375-376","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","ampthill_GB_gid_2657337","prob. Ampthill, Bedfordshire","COE I, 375-376","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1f577ff6-42b7-433c-86c9-75ae360d61ed","individual","male","NULL","Q114324118","NULL","NULL","e8bc7874-c8fd-4473-8210-799d1ed10577","Johann Matthäus SCHAD [COE] // Johann Matthäus Schad [CWE] // Schad, Matthew [ALLEN]","NULL","NULL","biberach_DE_gid_2949423","Unknown","COE III, 216-217","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"21da1a60-e039-47ca-b90f-4f733c442f16","individual","male","NULL","Q114324101","NULL","NULL","49c8d5dc-7f97-4cce-b834-af023a9ee14d","Nicolaus PRAEPOSITUS Edanus [COE] // Nicolaus Praepositus Edanus [CWE] // Praepositus, Nicholas [ALLEN]","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"22058eb7-836e-4d11-8336-0f765cfd4629","individual","male","NULL","Q114324030","NULL","NULL","NULL","Simon LAGNIER [COE] // Simon Lagnier [CWE] // Lagnier, Simon (Leignierus) [ALLEN]","Laynier // Leignier // Lenius","COE II, 280","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"234c3605-b18b-40b1-b3d0-2a921bb9df2f","individual","male","NULL","Q114324033","NULL","NULL","NULL","Jean LANGE [COE] // Jean Lange [CWE] // Angelus, John [ALLEN]","Johannes Angelus","COE II, 289-290","unknown_location_in_the_argonne_FR_gid_unknown","Argonne","COE II, 289-290","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2858f337-c4e0-48ea-88f9-ac6a378016b0","individual","male","NULL","Q114324121","NULL","NULL","bfedff39-324e-47ad-9cc0-c3ba0e7d335f","Johann SCHUDELIN [COE] // Johann Schudelin [CWE] // Schudelinus, John [ALLEN]","Schudelinus","COE III, 231-232","vaihingen_an_der_enz_DE_gid_2817927","Vaihingen","COE III, 231-232","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
