"correspondents_id","type","gender","viaf_id","wikidata_id","gnd_id","cerl_id","emlo_person_id","name_in_edition","known_name_variations","known_name_variations_ref","pob_loc_id","pob_loc_annotation","pob_loc_annotation_ref","dob_year1","dob_month1","dob_day1","dob_computable1","dob_has_range","dob_year2","dob_month2","dob_day2","dob_computable2","dob_annotation","dob_annotation_ref","pod_loc_id","pod_loc_annotation","pod_loc_annotation_ref","dod_year1","dod_month1","dod_day1","dod_computable1","dod_has_range","dod_year2","dod_month2","dod_day2","dod_computable2","dod_annotation","dod_annotation_ref","further_annotation"
"01d02986-fe99-494a-ac18-0e5f49c3d232","individual","male","15826485","Q94867599","128585714","cnp01234887","NULL","Christoph FREISLEBEN [COE] // Christoph Freisleben [CWE] // Freisleben, Christopher [ALLEN]","Eleutherobios","COE II, 56-57","linz_AT_gid_2772400","Linz","COE II, 56-57","","","","NULL","1","","","","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","1552","1","1","1552-01-01","1","","","","NULL","after 1551","COE II, 56-57","NULL"
"11d224d8-6503-45e6-8657-ec72ede594c4","individual","male","uncertain","NULL","NULL","NULL","NULL","Andrzej TRZECIESKI [COE] // Andrzej Trzecieski [CWE] // Trzecieski, Andrew [ALLEN]","Trecesius","COE III, 348","unknown_location_in_poland_PL_gid_unknown","Unknown","COE III, 348","","","","NULL","1","","","","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","1547","10","21","1547-10-21","1","","","","NULL","after 20 October 1547","COE III, 348","not to be mistaken with his son of the same name"
"27f7cad2-4b2d-4785-a7c3-2af2fd2a044f","individual","male","unknown","NULL","NULL","NULL","NULL","Georg SCHMOTZER [COE] // Georg Schmotzer [CWE] // Smotzer, Georg [ALLEN]","Georgius Smotzerus","COE III, 227","konstanz_DE_gid_2885679","Konstanz","COE III, 227","","","","NULL","1","","","","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","1550","1","6","1550-01-06","1","","","","NULL","after 5 January 1550","COE III, 227","NULL"
"2d4d2d72-7188-4fff-b698-5e35dd12f6af","individual","male","unknown","NULL","NULL","NULL","NULL","Lukas KLETT [COE] // Lukas Klett [CWE] // Paliurus, Lucas (Klett) [ALLEN]","Paliurus // Philantropos","COE II, 263-264","rouffach_FR_gid_2982636","Rouffach","COE II, 263-264","","","","NULL","1","","","","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","1539","1","1","1539-01-01","1","","","","NULL","after 1538","COE II, 263-264","NULL"
"2f48aeb6-7fbe-47da-88fd-b09bfd56cff2","individual","male","unknown","NULL","NULL","NULL","NULL","Niccolò SAGUNDINO [COE] // Niccolò Sagundino [CWE] // Sagundinus, Nicholas [ALLEN]","NULL","NULL","unknown_location_in_italy_IT_gid_unknown","Unknown","COE III, 188-189","","","","NULL","1","","","","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","1533","10","1","1533-10-01","1","","","","NULL","after September 1533","COE III, 188-189","NULL"
"462b65ec-b61c-4988-97d2-5cc529fbba7a","individual","male","34607051","Q21888126","104264721","cnp00979620","NULL","Pedro Juan OLIVAR [COE] // Pedro Juan Olivar [CWE] // Olivarus, Petrus Joannes [ALLEN]","Oliver // Olivarus // Olivarius","COE III, 31-32","valencia_ES_gid_2509954","Valencia","ABEPI","1497","","","1497-01-01","1","1500","","","1500-12-31","[last year of the 16th century:CK]","ABEPI","unknown_location_XX_gid_unknown","Unknown","NULL","1553","1","9","1553-01-09","1","","","","NULL","after 8 January 1553","COE III, 31-32","NULL"
"465b6b43-2a14-4e9e-83d6-32d550144720","individual","male","9990971","NULL","100027598","cnp01362585","NULL","Hubertus BARLANDUS [COE] // Hubertus Barlandus [CWE] // Barland, Hubert of [ALLEN]","NULL","NULL","baarland_NL_gid_2759562","Baarland, south of Goes","COE I, 96-97","","","","NULL","1","","","","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","1544","8","2","1544-08-02","1","","","","NULL","after 1 August 1544","COE I, 96-97","NULL"
"48011e35-9bac-4ce7-b181-62c64c2e22bc","individual","male","24846746","Q1341712","128380500","cnp00126601","1de97ea4-cebe-410d-8798-05de3ff4d1e5","Jakob SPIEGEL [COE] // Jakob Spiegel [CWE] // Spiegel, James [ALLEN]","Spiegellius // Spiegell // Spiegelius // Speculis // Spigel // Specularis","GND // COE III, 270-272","sélestat_FR_gid_2975233","Sélestat","COE III, 270-272","1483","","","1483-01-01","1","1483","","","1483-12-31","c 1483","COE III, 270-272","unknown_location_XX_gid_unknown","Unknown","NULL","1547","7","1","1547-07-01","1","","","","NULL","after 30 June 1547","COE III, 270-272","NULL"
"4fc15ea9-5286-47c1-a687-91ce96547c29","individual","male","uncertain","NULL","NULL","NULL","NULL","Jacobus FABER [COE] // Jacob Faber [CWE] // Faber, J., of Deventer [ALLEN]","NULL","NULL","deventer_NL_gid_2756987","Deventer","COE II, 3","1473","8","19","1473-08-19","0","1473","8","19","1473-08-19","19 August 1473","COE II, 3","unknown_location_XX_gid_unknown","Unknown","NULL","1517","","","1517-01-01","1","","","","NULL","in or after 1517","COE II, 3","NULL"
"51e6d4f5-2b99-45c7-aab9-0bb8f4caec2b","individual","male","unknown","NULL","NULL","NULL","NULL","Jan BECKER [COE] // Jan Becker of Borsele [CWE] // Becar, John, of Borsselen [ALLEN]","Becar Borsalus // de Bursalia","COE I, 115-116","borssele_NL_gid_2758587","Borsele, in Zeeland","COE I, 115-116","","","","NULL","1","","","","NULL","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","NULL","1536","5","1","1536-05-01","1","","","","NULL","after April 1536","COE I, 115-116","NULL"
