"letters_id","letter_no_in_edition","sender_id","sender_as_marked","sender_inferred","sender_uncertain","recipient_id","recipient_as_marked","recipient_inferred","recipient_uncertain","label","send_date_year1","send_date_month1","send_date_day1","send_date_computable1","send_date_has_range","send_date_year2","send_date_month2","send_date_day2","send_date_computable2","send_date_as_marked","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_as_marked","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_as_marked","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x","further_annotation"
"era_cwe_1","1 [CWE] // 1 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","549fb059-0cb0-4de3-8e8e-733292d31640","Pieter Winckel [CWE]","0","0","1 To Pieter Winckel [Gouda, end of 1484] [CWE]","1484","NULL","NULL","1484-11-01","1","1484","NULL","NULL","1484-12-31","[end of 1484] [CWE]","1","0","0","gouda_NL_gid_2755420","[Gouda] [CWE]","1","0","gouda_NL_gid_2755420","[Gouda]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_10","10 [CWE] // 10 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","948e62e0-5202-4694-ab2c-ee1f69477d3e","Franciscus Theodoricus [CWE]","0","0","10 To Franciscus Theodoricus [Steyn, c 1487] [CWE]","1487","NULL","NULL","1487-01-01","1","1487","NULL","NULL","1487-12-31","[c 1487] [CWE]","1","1","0","steyn_monastery_NL_gid_unknown","[Steyn] [CWE]","1","0","steyn_monastery_NL_gid_unknown","[Steyn Monastery]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_103","103 [CWE] // 103 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","a89f8328-a75d-4bae-98c9-6ff8ad7c5a95","Fausto Andrelini [CWE]","0","0","103 To Fausto Andrelini England [summer] 1499 [CWE]","1499","NULL","NULL","1499-06-01","1","1499","NULL","NULL","1499-08-31","[summer] 1499 [CWE]","1","0","0","unknown_location_in_england_GB_gid_unknown","England [CWE]","0","1","paris_FR_gid_2988507","[Paris]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1034","1034 [CWE] // 1034 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","ba6bc158-15e8-4276-a84c-6237c23de8d2","Ludovicus Carinus [CWE]","0","0","1034 To Ludovicus Carinus [Louvain, autumn 1519?] [CWE]","1519","NULL","NULL","1519-09-01","1","1519","NULL","NULL","1519-11-30","[autumn 1519?] [CWE]","1","0","1","leuven_BE_gid_2792482","[Louvain] [CWE]","1","0","leuven_BE_gid_2792482","[Leuven]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1037","1037 [CWE] // 1037 [ALLEN]","092caa16-2b04-4fb8-b132-a236074b2b2c","Edward Lee [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","1037 From Edward Lee [Louvain? winter 1519-20] [CWE]","1519","NULL","NULL","1519-12-01","1","1520","NULL","NULL","1520-02-29","[winter 1519-20] [CWE]","1","0","0","leuven_BE_gid_2792482","[Louvain?] [CWE]","1","1","leuven_BE_gid_2792482","[Leuven]","1","0","latin","prefatory letter","letter_1_to_1","Preface to Lee's *Annotationes in annotationes Novi Testamenti Desiderii Erasmi* (Paris: G. de Gourmont for K. Resch, [February 1520] = USTC 145174), cf. CWE VII, 117."
"era_cwe_104","104 [CWE] // 104 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","a75baa72-e468-4efb-977e-c0e9a218cf30","Prince Henry [CWE]","0","0","104 To Prince Henry [Greenwich? autumn] 1499 [CWE]","1499","NULL","NULL","1499-09-01","1","1499","NULL","NULL","1499-11-30","[autumn] 1499 [CWE]","1","0","0","greenwich_GB_gid_2647937","[Greenwich?] [CWE]","1","1","greenwich_GB_gid_2647937","[Greenwich]","1","0","latin","dedicatory letter","letter_1_to_1","Preface to *Prosopopoeia Britanniae*, first printed in *Collectanea adagiorum (I)* (Paris: J. Philippi, [ca. June-July] 1500 = USTC 201899), cf. CWE I, 195 and Tello 2023, no. 3."
"era_cwe_1048","1048 [CWE] // 1048 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","285e3bbd-d087-46d6-ad31-2e07a29fa69e","Maarten Lips [CWE]","0","0","1048 To Maarten Lips [Louvain], 1519 [CWE]","1519","NULL","NULL","1519-01-01","1","1519","NULL","NULL","1519-12-31","1519 [CWE]","0","0","0","leuven_BE_gid_2792482","[Louvain] [CWE]","1","0","leuven_BE_gid_2792482","[Leuven]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1049","1049 [CWE] // 1049 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","285e3bbd-d087-46d6-ad31-2e07a29fa69e","Maarten Lips [CWE]","0","0","1049 To Maarten Lips [Louvain], 1519 [CWE]","1519","NULL","NULL","1519-01-01","1","1519","NULL","NULL","1519-12-31","1519 [CWE]","0","0","0","leuven_BE_gid_2792482","[Louvain] [CWE]","1","0","leuven_BE_gid_2792482","[Leuven]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1052","1052 [CWE] // 1052 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","285e3bbd-d087-46d6-ad31-2e07a29fa69e","Maarten Lips [CWE]","0","0","1052 To Maarten Lips [Antwerp, 1519] [CWE]","1519","NULL","NULL","1519-01-01","1","1519","NULL","NULL","1519-12-31","[1519] [CWE]","1","0","0","antwerpen_BE_gid_2803138","[Antwerp] [CWE]","1","0","leuven_BE_gid_2792482","[Leuven]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1055","1055 [CWE] // 1055 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","6fc3d197-6ece-40c4-829a-fb63f2ed1ea3","Ulrich von Hutten [CWE]","0","0","1055 To Ulrich von Hutten [Louvain? late 1519] [CWE]","1519","NULL","NULL","1519-12-01","1","1519","NULL","NULL","1519-12-31","[late 1519] [CWE]","1","0","0","leuven_BE_gid_2792482","[Louvain?] [CWE]","1","1","mainz_DE_gid_2874225","[Mainz]","1","0","latin","familiar letter","letter_1_to_1","The chosen date range is December 1519, which appears most probable in this context, considering events such as Erasmus's quarrel with Edward Lee, as detailed in CWE VII, 165."
