"letters_id","letter_no_in_edition","sender_id","sender_as_marked","sender_inferred","sender_uncertain","recipient_id","recipient_as_marked","recipient_inferred","recipient_uncertain","label","send_date_year1","send_date_month1","send_date_day1","send_date_computable1","send_date_has_range","send_date_year2","send_date_month2","send_date_day2","send_date_computable2","send_date_as_marked","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_as_marked","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_as_marked","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x","further_annotation"
"era_ak_1443c","956A [CDE] //  1443B [Bénevent] // 1443C [Kudella]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Érasme [CDE]","0","0","d86e9fb0-c6d2-406a-a352-63a6fa4237dc","Boniface Amerbach ou Louis Ber [CDE]","1","1","1443C [Kudella] À Boniface Amerbach ou Louis Ber [CDE]","1524","05","01","1524-05-01","1","1524","05","15","1524-05-15","<vers Mai 1524> [CDE]","1","1","0","basel_CH_gid_2661604","<Bâle> [CDE]","1","0","avignon_FR_gid_3035681","NULL","1","0","latin","familiar letter","letter_1_to_1","For the date range cf. Amerbachkorrespondenz IX,2, p. XCVII"
"era_cde_2518a","2518A [CDE]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasme [CDE]","0","0","4e1811b8-de56-49bd-b14e-64ffae110e46","Helius Eobanus [CDE]","0","0","2518A À Helius Eobanus, Fribourg, 11 août 1531 [CDE]","1531","08","11","1531-08-11","0","1531","08","11","1531-08-11","11 août 1531 [CDE]","0","0","0","freiburg_DE_gid_2925177","Fribourg [CDE]","0","0","nürnberg_DE_gid_2861650","NULL","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cde_2980a","2980A [CDE]","3bac408c-12d2-4a66-a566-c5f8d048c1c2","Aonio Paleario [CDE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Érasme [CDE]","0","0","2980A [CDE] De Aonio Paleario Sienne, le 5 décembre <1534/5> [CDE], Sienne [CDE], 5 décembre <1534/5> [CDE] [ALLEN]","1534","12","05","1534-12-05","1","1535","12","05","1535-12-05","5 décembre <1534/5> [CDE]","1","0","0","siena_IT_gid_3166548","Sienne [CDE]","0","0","freiburg_DE_gid_2925177","NULL","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1232a","1232A [CWE]  // 1226A [CDE]","5473f315-77da-4b76-9d54-9493de118054","Arsenius Apostolius [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","1232A From Arsenius Apostolius Florence, 31 August 1521 [CWE]","1521","08","31","1521-08-31","0","1521","08","31","1521-08-31","31 August 1521 [CWE]","0","0","0","florence_IT_gid_3176959","Florence [CWE]","0","0","anderlecht_BE_gid_2803201","NULL","1","0","greek","familiar letter","letter_1_to_1","NULL"
"era_cwe_1270a","1270A [CWE] // 1270A [CDE]","8defe3cc-a123-4f0d-9ba5-09267e4d6809","Battista Casali [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","1270A From Battista Casali Rome, spring (after 1 April) 1522 [CWE]","1522","04","02","1522-04-02","1","1522","NULL","NULL","1522-05-31","spring (after 1 April) 1522 [CWE]","1","0","0","rome_IT_gid_3169070","Rome [CWE]","0","0","basel_CH_gid_2661604","NULL","1","0","latin","familiar letter","letter_1_to_1","For the end of the date range, 31 May 1522 has been chosen, which approx. marks the end of Erasmus's spring campaign"
"era_cwe_1634a","1634A [CWE] // 1634A [CDE]","66647e81-9602-4f9c-a371-d147dcd97ebc","Benedetto Giovio [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","1634A From Benedetto Giovio [Como, summer? 1525] [CWE]","1525","NULL","NULL","1525-06-01","1","1525","NULL","NULL","1525-10-06","[summer? 1525] [CWE]","1","0","1","como_IT_gid_3178229","[Como] [CWE]","1","0","basel_CH_gid_2661604","NULL","1","0","latin","familiar letter","letter_1_to_1","The terminus ante quem, 7 October 1525, is established by Ep 1635. For the beginning of the date range, 1 June has been chosen as suggested by CWE XI, p. 333"
"era_cwe_216a","216A [CWE] // 216A [CDE]","1c750cda-9249-4f5d-931a-a14efe5f5daf","Daniele Scevola [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","216A From Daniele Scevola Ferrara, 22 December 1509 [CWE]","1509","12","22","1509-12-22","0","1509","12","22","1509-12-22","22 December 1509 [CWE]","0","0","0","ferrara_IT_gid_3177090","Ferrara [CWE]","0","0","london_GB_gid_2643743","NULL","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_2233a","2233A [CWE] // 2233A [CDE]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","d86e9fb0-c6d2-406a-a352-63a6fa4237dc","Bonifacius Amerbach [CWE]","0","0","2233A To Bonifacius Amerbach Freiburg, 6 November 1529 [CWE]","1529","11","06","1529-11-06","0","1529","11","06","1529-11-06","6 November 1529 [CWE]","0","0","0","freiburg_DE_gid_2925177","Freiburg [CWE]","0","0","basel_CH_gid_2661604","NULL","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_326b","326B [CWE] // 326B [CDE]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","62c44de5-56b0-4246-b8fc-21144773c103","Jakob Wimpfeling [CWE]","0","0","326B To Jakob Wimpfeling [Frankfurt, March/ April 1515] [CWE]","1515","03","NULL","1515-03-01","1","1515","04","NULL","1515-04-12","[March/April 1515] [CWE]","1","0","0","frankfurt_am_main_DE_gid_2925533","[Frankfurt] [CWE]","1","0","strasbourg_FR_gid_2973783","NULL","1","0","latin","familiar letter","letter_1_to_1","The terminus ante quem, 13 April 1515, is provided by Ep 327"
"era_cwe_65a","65A [CWE] // 65A [CDE]","b4cc2797-201e-49d4-b3a1-16c8a7b16b9e","Rutgerus Sycamber [ALLEN]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","65A From Rutgerus Sycamber [autumn 1497] [CWE]","1497","NULL","NULL","1497-09-01","1","1497","NULL","NULL","1497-11-30","[autumn 1497] [CWE]","1","0","0","unknown_location_XX_gid_unknown","unknown [CWE]","0","1","paris_FR_gid_2988507","NULL","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_732a","732A [CWE] // 732A [CDE]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","d2f71edb-a414-45ae-9284-a871a4481e1a","Bruno Amerbach [CWE]","0","0","732A To Bruno Amerbach Louvain, 6 December 1517 [CWE]","1517","12","06","1517-12-06","0","1517","12","06","1517-12-06","6 December 1517 [CWE]","0","0","0","leuven_BE_gid_2792482","Louvain [CWE]","0","0","basel_CH_gid_2661604","NULL","1","0","latin","familiar letter","letter_1_to_1","NULL"
