"letters_id","letter_no_in_edition","sender_id","sender_as_marked","sender_inferred","sender_uncertain","recipient_id","recipient_as_marked","recipient_inferred","recipient_uncertain","label","send_date_year1","send_date_month1","send_date_day1","send_date_computable1","send_date_has_range","send_date_year2","send_date_month2","send_date_day2","send_date_computable2","send_date_as_marked","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_as_marked","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_as_marked","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x","further_annotation"
"era_allen_2401a","2401A [ALLEN]","5f4d5e89-d3fe-44b0-899f-8d10839e4908","Leonard of Gruyères [ALLEN]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [ALLEN]","0","0","2401A From Leonard of Gruyères, Besançon, 27 Oct. 1530 [ALLEN]","1530","10","27","1530-10-27","0","1530","10","27","1530-10-27","27 Oct. 1530 [ALLEN]","0","0","0","besançon_FR_gid_3033123","Besançon [ALLEN]","0","0","freiburg_DE_gid_2925177","","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_allen_3031a","3031A [ALLEN]","626c0dde-e152-4394-87c3-8a0ede0a683c","Conrad Heresbach [ALLEN]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [ALLEN]","0","0","3031A From Conrad Heresbach, Düsseldorf, <1534->1536 [ALLEN]","1534","","","1534-11-01","1","1536","","","1536-07-12","<1534->1536 [ALLEN]","1","0","0","düsseldorf_DE_gid_2934246","Düsseldorf [ALLEN]","0","0","basel_CH_gid_2661604","","1","0","latin","familiar letter","letter_1_to_1","The date range has been derived loosely from ALLEN XI, p. 156"
"era_cwe_1127a","1127A [CWE] // 1127A [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","be273f96-c387-44e8-b3ae-bc9bd615b3a5","Martin Luther [CWE]","0","0","1127A To Martin Luther Louvain, 1 August [1520] [CWE]","1520","8","1","1520-08-01","0","1520","8","1","1520-08-01","1 August [1520] [CWE]","1","0","0","leuven_BE_gid_2792482","Louvain [CWE]","0","0","wittenberg_DE_gid_7303020","","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1141a","1141A [CWE] // 1141A [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","6f83e940-aa06-4dfb-b7c5-e28aaee1ae55","Jan Dirksz van der Haer [CWE]","0","0","1141A To Jan Dirksz van der Haer Louvain, 9 September [1520?] [CWE]","1520","9","9","1520-09-09","0","1520","9","9","1520-09-09","9 September [1520?] [CWE]","1","0","1","leuven_BE_gid_2792482","Louvain [CWE]","0","0","gorinchem_NL_gid_2755434","","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1192a","1192A [CWE] // 1192A [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","e921d3e6-9dc2-40e7-9fe6-902dcd5cfe9b","Georgius Spalatinus [CWE]","0","0","1192A To Georgius Spalatinus Louvain, 13 March 1521 [CWE]","1521","3","13","1521-03-13","0","1521","3","13","1521-03-13","13 March 1521 [CWE]","0","0","0","leuven_BE_gid_2792482","Louvain [CWE]","0","0","worms_DE_gid_2806142","","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1432a","1432A [CWE] // 1432A [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","e6beac9e-145b-4d5c-8f92-f65dbce34d7d","Conradus Mutianus Rufus [CWE]","0","0","1432A To Conradus Mutianus Rufus Basel, 28 March 1524 [CWE]","1524","3","28","1524-03-28","0","1524","3","28","1524-03-28","28 March 1524 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","gotha_DE_gid_2918752","","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1443a","1443A [CWE] // 1443A [ALLEN]","de6cab98-d47d-499f-872d-05d3535f3b98","Gian Matteo Giberti [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","1443A From Gian Matteo Giberti Rome, 20 April 1524 [CWE]","1524","4","20","1524-04-20","0","1524","4","20","1524-04-20","20 April 1524 [CWE]","0","0","0","rome_IT_gid_3169070","Rome [CWE]","0","0","basel_CH_gid_2661604","","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1650a","1650A [CWE] // 1650A [ALLEN]","de6cab98-d47d-499f-872d-05d3535f3b98","Gian Matteo Giberti [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","1650A From Gian Matteo Giberti Rome, 27 November 1525 [CWE]","1525","11","27","1525-11-27","0","1525","11","27","1525-11-27","27 November 1525 [CWE]","0","0","0","rome_IT_gid_3169070","Rome [CWE]","0","0","basel_CH_gid_2661604","","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1739a","1739A [CWE] // 1739A [ALLEN]","0646adba-87ac-490b-b45b-aa9828bd5c9a","Matthias Pistor [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","1739A From Matthias Pistor [Speyer? 1526?] [CWE]","1526","","","1526-01-01","1","1526","","","1526-12-31","[1526?] [CWE]","1","0","1","speyer_DE_gid_2830582","[Speyer?] [CWE]","1","1","basel_CH_gid_2661604","","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1790a","1790A [CWE] // 1790A [ALLEN]","c82a6a4f-8f72-4492-abc9-13cb74de7870","Mercurino Gattinara [CWE]","1","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","1790A From [Mercurino Gattinara] [Valladolid, c 12 March 1527] [CWE]","1527","3","12","1527-03-12","0","1527","3","12","1527-03-12","[c 12 March 1527] [CWE]","1","1","0","valladolid_ES_gid_3106672","[Valladolid] [CWE]","1","0","basel_CH_gid_2661604","","1","0","latin","familiar letter","letter_1_to_1","NULL"
