"letters_id","letter_no_in_edition","sender_id","sender_as_marked","sender_inferred","sender_uncertain","recipient_id","recipient_as_marked","recipient_inferred","recipient_uncertain","label","send_date_year1","send_date_month1","send_date_day1","send_date_computable1","send_date_has_range","send_date_year2","send_date_month2","send_date_day2","send_date_computable2","send_date_as_marked","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_as_marked","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_as_marked","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x","further_annotation"
"era_augustijn_1429a","1429A [Augustijn]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasme [Augustijn]","0","0","afaa3b9b-f67d-466c-967f-f45873e354b3","Gaspar Hédion [Augustijn]","0","0","À Gaspard Hédion [Augustijn]","1524","03","NULL","1524-03-01","1","1524","03","NULL","1524-03-31","(Mars 1524) [Augustijn]","1","0","0","basel_CH_gid_2661604","Bâle [Augustijn]","0","0","strasbourg_FR_gid_2973783","[Strasbourg]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cde_2980a","2980A [CDE]","3bac408c-12d2-4a66-a566-c5f8d048c1c2","Aonio Paleario [CDE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Érasme [CDE]","0","0","De Aonio Paleario Sienne, le 5 décembre <1534/5>","1534","12","05","1534-12-05","1","1535","12","05","1535-12-05","5 décembre <1534/5> [CDE]","1","0","0","siena_IT_gid_3166548","Sienne [CDE]","0","0","freiburg_DE_gid_2925177","[Freiburg im Breisgau]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1000a","1000A [CWE] // 1035 [ALLEN]","285e3bbd-d087-46d6-ad31-2e07a29fa69e","Maarten Lips [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","1000A From Maarten Lips [Louvain, July-early August 1519] [CWE]","1519","07","NULL","1519-07-01","1","1519","08","NULL","1519-08-10","[July-early August 1519] [CWE]","1","0","0","leuven_BE_gid_2792482","[Louvain] [CWE]","1","0","leuven_BE_gid_2792482","[Leuven]","1","0","latin","familiar letter","letter_1_to_1","Ep. 1000b establishes the terminus ante quem."
"era_cwe_1000b","1000B [CWE] // 1036 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","285e3bbd-d087-46d6-ad31-2e07a29fa69e","Maarten Lips [CWE]","0","0","1000B To Maarten Lips [Louvain, July-early August 1519] [CWE]","1519","07","NULL","1519-07-01","1","1519","08","NULL","1519-08-10","[July-early August 1519] [CWE]","1","0","0","leuven_BE_gid_2792482","[Louvain] [CWE]","1","0","leuven_BE_gid_2792482","[Leuven]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1013a","1013A [CWE] // 660 [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","5d3c02c9-c4dc-4175-87c6-b75d0f05468f","Gerardus Listrius [CWE]","0","0","1013A To Gerardus Listrius Louvain, 11 September [1519] [CWE]","1519","09","11","1519-09-11","0","1519","09","11","1519-09-11","11 September [1519] [CWE]","1","0","0","leuven_BE_gid_2792482","Louvain [CWE]","0","0","zwolle_NL_gid_2743477","[Zwolle]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1127a","1127A [CWE] // 1127A [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","be273f96-c387-44e8-b3ae-bc9bd615b3a5","Martin Luther [CWE]","0","0","1127A To Martin Luther Louvain, 1 August [1520] [CWE]","1520","08","01","1520-08-01","0","1520","08","01","1520-08-01","1 August [1520] [CWE]","1","0","0","leuven_BE_gid_2792482","Louvain [CWE]","0","0","wittenberg_DE_gid_7303020","[Wittenberg]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1141a","1141A [CWE] // 1141A [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","6f83e940-aa06-4dfb-b7c5-e28aaee1ae55","Jan Dirksz van der Haer [CWE]","0","0","1141A To Jan Dirksz van der Haer Louvain, 9 September [1520?] [CWE]","1520","09","09","1520-09-09","0","1520","09","09","1520-09-09","9 September [1520?] [CWE]","1","0","1","leuven_BE_gid_2792482","Louvain [CWE]","0","0","gorinchem_NL_gid_2755434","[Gorinchem]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1192a","1192A [CWE] // 1192A [ALLEN]","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","e921d3e6-9dc2-40e7-9fe6-902dcd5cfe9b","Georgius Spalatinus [CWE]","0","0","1192A To Georgius Spalatinus Louvain, 13 March 1521 [CWE]","1521","03","13","1521-03-13","0","1521","03","13","1521-03-13","13 March 1521 [CWE]","0","0","0","leuven_BE_gid_2792482","Louvain [CWE]","0","0","worms_DE_gid_2806142","[Worms]","1","0","latin","familiar letter","letter_1_to_1","NULL"
"era_cwe_1232a","1232A [CWE] // 1226A [CDE]","5473f315-77da-4b76-9d54-9493de118054","Arsenius Apostolius [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","1232A From Arsenius Apostolius Florence, 31 August 1521 [CWE]","1521","08","31","1521-08-31","0","1521","08","31","1521-08-31","31 August 1521 [CWE]","0","0","0","florence_IT_gid_3176959","Florence [CWE]","0","0","anderlecht_BE_gid_2803201","[Anderlecht]","1","0","greek","familiar letter","letter_1_to_1","NULL"
"era_cwe_1233a","1233A [CWE] // 1201 [ALLEN]","d86e9fb0-c6d2-406a-a352-63a6fa4237dc","Bonifacius Amerbach [CWE]","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","Erasmus of Rotterdam [CWE]","0","0","1233A From Bonifacius Amerbach [Basel, September 1521] [CWE]","1521","09","NULL","1521-09-01","1","1521","09","NULL","1521-09-30","[September 1521] [CWE]","1","0","0","basel_CH_gid_2661604","[Basel] [CWE]","1","0","anderlecht_BE_gid_2803201","[Anderlecht]","1","0","latin","familiar letter","letter_1_to_1","NULL"
