"recipient_id","Number of locations this correspondent receives letters at"
"adrianus_[corpus_era]_viaf_unknown","1"
"adrian_vi_ pope_ viaf_76430137","1"
"afinius_ henricus_viaf_220463086","1"
"agricola_georg_viaf_100164815","1"
"agricola_johann_viaf_72187518","1"
"agrippa_von_nettsheim_heinrich_cornelius_viaf_24596804","4"
"aiazza_girolamo_viaf_unknown","1"
"alardet_amblard_viaf_unknown","1"
"alardet_claude_louis_viaf_314873892","1"
"alardus_amstelredamus_viaf_85054604","1"
"albert_of_brandenburg_archbischop_and_elector_of_mainz_cardinal_viaf_42631444","4"
"albon_antoine_de_viaf_304010662","1"
"alciati_andrea_viaf_51699991","3"
"aldrich_robert_viaf_14638314","1"
"aleandro_girolamo_viaf_17319843","1"
"amerbach_bonifacius_viaf_34528701","2"
"amerbach_bruno_viaf_56641742","1"
"ammonius_levinus_viaf_unknown","1"
"andreis_franjo_trankvil_viaf_22294763","1"
"andrelini_publio_fausto_viaf_32016421","1"
"angleberme_jean_pyrrhus_de_viaf_59228519","1"
"angleberme_pierre_de_viaf_unknown","1"
"angst_wolfgang_viaf_107637903","1"
"anshelm_thomas_viaf_100386946","1"
"antonin_jan_viaf_300229095","1"
"antonius_of_luxembourg_viaf_unknown","1"
"anton_gurk_bischof_viaf_80560287","1"
"an_unsuccessful_candidate_for_the_latin_chair_viaf_unknown","1"
"apocellus_jacobus_viaf_unknown","1"
"armagnac_georges_de_viaf_59219003","1"
"assendelft_gerrit_van_viaf_285766245","1"
"auerbach_heinrich_viaf_69872391","2"
"aytta_bernhard_bucho_van_viaf_unknown","1"
"aytta_wigle_van_viaf_56619243","4"
"a_friend_viaf_unknown","1"
"a_monk_viaf_unknown","1"
"a_physician_viaf_unknown","1"
"baarland_adriaan_van_viaf_19701114","1"
"badius_josse_viaf_44352439","1"
"baer_ludwig_viaf_57525097","2"
"baïf_lazare_de_viaf_12351164","2"
"balthasar_konstanz_bischof_viaf_42723378","2"
"bannicius_jacobus_viaf_72207021","1"
"barbier_pierre_viaf_unknown","4"
"barlandus_hubertus_viaf_9990971","1"
"bartolini_lorenzo_di_bartolomeo_viaf_38444988","1"
"bartolini_riccardo_viaf_15583224","1"
"basel_town_council_of_viaf_not_applicable","1"
"batt_cornelis_viaf_unknown","1"
"batt_jacob_viaf_291974564","2"
"baumgärtner_david_viaf_38023220","1"
"becker_jan_viaf_unknown","2"
"béda_noël_viaf_54135945","1"
"bedyll_thomas_viaf_unknown","1"
"beere_richard_viaf_32827049","1"
"bembo_pietro_viaf_54144140","1"
"bensrott_nikolaus_viaf_unknown","1"
"béraud_nicolas_viaf_9955323","1"
"bercin_antoine_viaf_unknown","1"
"bergen_antoon_(1)_van_viaf_unknown","1"
"bergen_antoon_(3)_van_viaf_unknown","1"
"bergen_jan_(3)_van_viaf_unknown","1"
"berquin_louis_de_viaf_61541805","1"
"berselius_paschasius_viaf_unknown","1"
"bertulphus_hilarius_viaf_208867782","2"
"besançon_senate_of_viaf_not_applicable","1"
"beyming_heinrich_viaf_unknown","1"
"bibaucus_guilielmus_viaf_74763357","1"
"biétry_thiébaut_viaf_unknown","1"
"bijl_jan_viaf_unknown","1"
"blount_charles_v_baron_de_mountjoy_viaf_188706808","1"
"blount_william_viaf_212831990","3"
"boece_hector_viaf_17337454","2"
"boerio_bernardo_viaf_unknown","1"
"boerio_giovanni_battista_viaf_unknown","1"
"boerio_giovanni_viaf_unknown","1"
"bogbinder_hans_viaf_unknown","1"
"boleyn_thomas_viaf_28246375","1"
"bollart_willem_viaf_unknown","1"
"bombace_paolo_viaf_69786324","2"
"boner_jan_viaf_163357497","1"
"boner_seweryn_viaf_23296558","1"
"boner_stanislaw_viaf_163161362","1"
"bonfiglio_luca_viaf_43031726","1"
"bonvalot_françois_viaf_unknown","1"
"borssele_anna_van_viaf_unknown","1"
"boskovice_arkleb_of_viaf_unknown","1"
"bostius_arnold_viaf_22932384","1"
"bottis_henri_de_viaf_49563346","1"
"botzheim_johannes_von_viaf_40125681","2"
"boudet_michel_viaf_120896676","2"
"bourbon_nicolas_viaf_61581703","1"
"bourgogne_adolphe_de_viaf_308694698","1"
"brassicanus_joannes_alexander_viaf_9899294","2"
"briard_jean_viaf_15086346","1"
"brie_germain_de_viaf_227062191","2"
"brodarics_istván_viaf_64438742","1"
"brugnard_antoine_viaf_unknown","1"
"brunfels_otto_viaf_34489382","1"
"bucer_martin_viaf_2478527","1"
"budé_guillaume_viaf_105878228","1"
"bullock_henry_viaf_29103155","1"
"burbank_william_viaf_unknown","1"
"burgundy_henry_of_viaf_unknown","1"
"burgundy_nicolas_of_viaf_unknown","1"
"busche_hermann_von_dem_viaf_27087291","2"
