"sender_id","Number of locations this correspondent writes letters from"
"010c346f-88f4-485a-ba7f-fefe691d42b9","1"
"01d02986-fe99-494a-ac18-0e5f49c3d232","1"
"0216328b-ac6c-4f90-bbca-75da6e336f6d","1"
"036eacb5-6f53-4ecf-8cf4-128173fb022a","1"
"0469cf21-ca22-4d71-ac8a-bac8cf61e65f","1"
"048e0147-58cf-45e5-8312-f52998ca0ee4","1"
"05e04600-4dc6-4755-a00c-a62a348647e0","1"
"0646adba-87ac-490b-b45b-aa9828bd5c9a","1"
"07190f7e-4013-46ce-b85e-0ed68362c0b8","1"
"075e0070-ef23-438d-87ca-00e333653086","1"
"07b5c6de-a62a-43de-8a14-77715805617e","1"
"07f829e7-d396-4363-bd82-900d30d00ebd","2"
"08bc2797-a901-4407-8c0d-e39b72becf3f","1"
"0905df4c-eca7-4ac5-ae45-3bb42f294686","1"
"09191beb-c405-4c19-afe3-efc0459c1c9a","1"
"092caa16-2b04-4fb8-b132-a236074b2b2c","1"
"0c6162ce-7aa8-42cc-ba76-769c8ec2e659","2"
"0cc04891-a71c-49f5-84f1-e322c37652a3","1"
"0d3acba1-151d-45b3-9ce7-aa1d56ab213b","1"
"0d9180cf-ba7f-4ae9-a184-40f159fc4d53","1"
"0e4e8fa7-0b57-4eee-a00c-72589f5f2a22","2"
"0ec03581-0e29-4e21-88cd-139033fd0f9e","1"
"0f1d8faa-dd28-4b15-8fa6-bf747560fb1c","1"
"0f7bc43b-c60d-4261-a19a-e1e559dc8873","3"
"10117a4a-fafc-49e2-8a08-af0206b28af5","2"
"10f58e5e-e43a-405e-901a-3633cbf82bc9","1"
"114e993b-10b8-40d1-b547-f6157671e1ec","1"
"117bf878-67de-4646-b967-b6022532ad85","2"
"11d224d8-6503-45e6-8657-ec72ede594c4","1"
"121128f7-b025-4d17-9da7-90c817321cc5","1"
"13700f28-24e5-4395-abed-d94f284c5d84","1"
"14a0e3ed-8ffb-45b4-aac2-51d59ea8aff2","1"
"14f05533-45b4-4b87-a313-d16b5c8506ae","3"
"14f5fe88-7208-435f-8729-cd054be7ae20","1"
"16a343c1-56cb-4b8a-b402-f310dcab4b82","1"
"16be5cc6-b281-44ed-98e9-f3b9273a1609","1"
"17507c61-9de0-4efb-848d-63526eea691e","1"
"17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","34"
"185d8355-de68-4303-90f5-cbdbf37a9778","1"
"1aa772fd-4d76-4e68-a5de-f62e827a8ecd","1"
"1c3a17c7-58bb-4d54-a0cb-fe6518aa480a","1"
"1c750cda-9249-4f5d-931a-a14efe5f5daf","1"
"1d206913-3666-4b58-9ec3-ff95863e8f94","1"
"1f577ff6-42b7-433c-86c9-75ae360d61ed","1"
"1faa67ba-9b05-46e9-9690-8b6b3bc29829","4"
"209003e9-81b5-4414-afd7-03e8c2f44b53","2"
"20d5dcfe-959c-482b-a8ed-255fdc56890c","1"
"2203a8e4-1fc5-4eb3-a532-1cca183aff96","1"
"234c3605-b18b-40b1-b3d0-2a921bb9df2f","1"
