"letters_id","Source","Target"
"era_allen_2447","freiburg_DE_gid_2925177","venice_IT_gid_3164603"
"era_allen_2448","freiburg_DE_gid_2925177","venice_IT_gid_3164603"
"era_cwe_1349","basel_CH_gid_2661604","venice_IT_gid_3164603"
"era_cwe_1592","basel_CH_gid_2661604","venice_IT_gid_3164603"
"era_cwe_1623","basel_CH_gid_2661604","venice_IT_gid_3164603"
"era_cwe_1628","basel_CH_gid_2661604","venice_IT_gid_3164603"
"era_cwe_1707","basel_CH_gid_2661604","venice_IT_gid_3164603"
"era_cwe_1746","basel_CH_gid_2661604","venice_IT_gid_3164603"
"era_cwe_1989","basel_CH_gid_2661604","venice_IT_gid_3164603"
"era_cwe_207","bologna_IT_gid_3181928","venice_IT_gid_3164603"
"era_cwe_209","bologna_IT_gid_3181928","venice_IT_gid_3164603"
"era_cwe_2105","basel_CH_gid_2661604","venice_IT_gid_3164603"
"era_cwe_212","padova_IT_gid_3171728","venice_IT_gid_3164603"
"era_cwe_213","padova_IT_gid_3171728","venice_IT_gid_3164603"
"era_cwe_2249","freiburg_DE_gid_2925177","venice_IT_gid_3164603"
"era_cwe_2302","freiburg_DE_gid_2925177","venice_IT_gid_3164603"
"era_cwe_868","leuven_BE_gid_2792482","venice_IT_gid_3164603"
