"Source","Target"
"basel_CH_gid_2661604","strasbourg_FR_gid_2973783"
"gouda_NL_gid_2755420","gouda_NL_gid_2755420"
"steyn_monastery_NL_gid_unknown","steyn_monastery_NL_gid_unknown"
"leuven_BE_gid_2792482","rome_IT_gid_3169070"
"leuven_BE_gid_2792482","leuven_BE_gid_2792482"
"antwerpen_BE_gid_2803138","torgau_DE_gid_2821807"
"antwerpen_BE_gid_2803138","paris_FR_gid_2988507"
"antwerpen_BE_gid_2803138","paris_FR_gid_2988507"
"antwerpen_BE_gid_2803138","paris_FR_gid_2988507"
"antwerpen_BE_gid_2803138","veere_NL_gid_2745739"
"antwerpen_BE_gid_2803138","köln_DE_gid_2886242"
"leuven_BE_gid_2792482","rome_IT_gid_3169070"
"antwerpen_BE_gid_2803138","erfurt_DE_gid_2929670"
"paris_FR_gid_2988507","tournehem_sur_la_hem_FR_gid_2972235"
"leuven_BE_gid_2792482","brugge_BE_gid_2800931"
"leuven_BE_gid_2792482","antwerpen_BE_gid_2803138"
"leuven_BE_gid_2792482","zwolle_NL_gid_2743477"
"leuven_BE_gid_2792482","basel_CH_gid_2661604"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","murano_IT_gid_3172456"
"leuven_BE_gid_2792482","leuven_BE_gid_2792482"
"paris_FR_gid_2988507","tournehem_sur_la_hem_FR_gid_2972235"
"leuven_BE_gid_2792482","köln_DE_gid_2886242"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","oxford_GB_gid_2640729"
"leuven_BE_gid_2792482","oxford_GB_gid_2640729"
"leuven_BE_gid_2792482","greenwich_GB_gid_2647937"
"leuven_BE_gid_2792482","london_GB_gid_2643743"
"leuven_BE_gid_2792482","rochester_GB_gid_2639268"
"leuven_BE_gid_2792482","city_of_westminster_GB_gid_2634341"
"leuven_BE_gid_2792482","leuven_BE_gid_2792482"
"leuven_BE_gid_2792482","brussels_BE_gid_2800866"
"leuven_BE_gid_2792482","kostelec_nad_labem_CZ_gid_3073151"
"greenwich_GB_gid_2647937","greenwich_GB_gid_2647937"
"leuven_BE_gid_2792482","leuven_BE_gid_2792482"
"leuven_BE_gid_2792482","leuven_BE_gid_2792482"
"leuven_BE_gid_2792482","vollenhove_NL_gid_2745333"
"leuven_BE_gid_2792482","mechelen_BE_gid_2791537"
"leuven_BE_gid_2792482","leuven_BE_gid_2792482"
"leuven_BE_gid_2792482","leuven_BE_gid_2792482"
"oxford_GB_gid_2640729","greenwich_GB_gid_2647937"
"leuven_BE_gid_2792482","leuven_BE_gid_2792482"
"antwerpen_BE_gid_2803138","leuven_BE_gid_2792482"
"leuven_BE_gid_2792482","oxford_GB_gid_2640729"
"leuven_BE_gid_2792482","mainz_DE_gid_2874225"
"leuven_BE_gid_2792482","leuven_BE_gid_2792482"
"leuven_BE_gid_2792482","brussels_BE_gid_2800866"
"leuven_BE_gid_2792482","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","leuven_BE_gid_2792482"
"leuven_BE_gid_2792482","city_of_westminster_GB_gid_2634341"
"leuven_BE_gid_2792482","rome_IT_gid_3169070"
"leuven_BE_gid_2792482","basel_CH_gid_2661604"
"leuven_BE_gid_2792482","augsburg_DE_gid_2954172"
