"Id","Label","locations_modern_state","locations_modern_province","locations_lat","locations_lng"
"aachen_DE_gid_3247449","Aachen","Germany","North-Rhine-Westphalia","50.77664","6.08342"
"abbey_saint_martin_de_lile_barbe_FR_gid_2977249","Abbey Saint-Martin-de-l'Île-Barbe","France","Auvergne-Rhône-Alpes","45.79784","4.83321"
"aberdeen_GB_gid_2657832","Aberdeen","United Kingdom","Scotland","57.14369","-2.09814"
"alcalá_de_henares_ES_gid_3130616","Alcalá de Henares","Spain","Madrid","40.4165","-3.70256"
"altenburg_DE_gid_2957773","Altenburg","Germany","Thuringia","50.98763","12.43684"
"altomünster_abbey_DE_gid_unknown","Altomünster Abbey","Germany","Bavaria","48.38844","11.2573"
"amsterdam_NL_gid_2759794","Amsterdam","Netherlands","North Holland","52.37403","4.88969"
"anderlecht_BE_gid_2803201","Anderlecht","Belgium","Brussels Capital","50.83619","4.31454"
"angoulême_FR_gid_3037598","Angoulême","France","Nouvelle-Aquitaine","45.65","0.15"
"antwerpen_BE_gid_2803138","Antwerp","Belgium","Flanders","51.21989","4.40346"
"arlon_BE_gid_2803073","Arlon","Belgium","Wallonia","49.68333","5.81667"
"arras_FR_gid_3036784","Arras","France","Hauts-de-France","50.29301","2.78186"
"augsburg_DE_gid_2954172","Augsburg","Germany","Bavaria","48.37154","10.89851"
"avignon_FR_gid_3035681","Avignon","France","Provence-Alpes-Côte d'Azur","43.94834","4.80892"
"baden_CH_gid_2661646","Baden","Switzerland","Aargau","47.47333","8.30592"
"basel_CH_gid_2661604","Basel","Switzerland","Basel-City","47.5584","7.57327"
"bayeux_FR_gid_3034483","Bayeux","France","Normandy","49.27732","-0.7039"
"bergen_op_zoom_NL_gid_2759145","Bergen op Zoom","Netherlands","North Brabant","51.495","4.29167"
"bern_CH_gid_2661552","Bern","Switzerland","Bern","46.94809","7.44744"
"besançon_FR_gid_3033123","Besançon","France","Bourgogne-Franche-Comté","47.24878","6.01815"
"blois_FR_gid_3032213","Blois","France","Centre-Val de Loire","47.58333","1.33333"
"bologna_IT_gid_3181928","Bologna","Italy","Emilia-Romagna","44.49381","11.33875"
