"Source","Target"
"siena_IT_gid_3166548","freiburg_DE_gid_2925177"
"paris_FR_gid_2988507","paris_FR_gid_2988507"
"leuven_BE_gid_2792482","leuven_BE_gid_2792482"
"marly_la_ville_FR_gid_2995653","leuven_BE_gid_2792482"
"marly_la_ville_FR_gid_2995653","leuven_BE_gid_2792482"
"basel_CH_gid_2661604","leuven_BE_gid_2792482"
"kostelec_nad_labem_CZ_gid_3073151","leuven_BE_gid_2792482"
"leuven_BE_gid_2792482","leuven_BE_gid_2792482"
"the_hague_NL_gid_2747373","leuven_BE_gid_2792482"
"paris_FR_gid_2988507","leuven_BE_gid_2792482"
"wrocław_PL_gid_3081368","leuven_BE_gid_2792482"
"oxford_GB_gid_2640729","oxford_GB_gid_2640729"
"leuven_BE_gid_2792482","leuven_BE_gid_2792482"
"sélestat_FR_gid_2975233","leuven_BE_gid_2792482"
"marly_la_ville_FR_gid_2995653","leuven_BE_gid_2792482"
"leuven_BE_gid_2792482","leuven_BE_gid_2792482"
"köln_DE_gid_2886242","leuven_BE_gid_2792482"
"basel_CH_gid_2661604","leuven_BE_gid_2792482"
"basel_CH_gid_2661604","leuven_BE_gid_2792482"
"greenwich_GB_gid_2647937","leuven_BE_gid_2792482"
"greenwich_GB_gid_2647937","leuven_BE_gid_2792482"
"greenwich_GB_gid_2647937","leuven_BE_gid_2792482"
"kortrijk_BE_gid_2794055","antwerpen_BE_gid_2803138"
"nürnberg_DE_gid_2861650","antwerpen_BE_gid_2803138"
"greenwich_GB_gid_2647937","leuven_BE_gid_2792482"
"oxford_GB_gid_2640729","oxford_GB_gid_2640729"
"freiburg_DE_gid_2925177","leuven_BE_gid_2792482"
"canterbury_GB_gid_2653877","leuven_BE_gid_2792482"
"brugge_BE_gid_2800931","leuven_BE_gid_2792482"
"mainz_DE_gid_2874225","leuven_BE_gid_2792482"
"oxford_GB_gid_2640729","oxford_GB_gid_2640729"
"freiburg_DE_gid_2925177","leuven_BE_gid_2792482"
"freiburg_DE_gid_2925177","leuven_BE_gid_2792482"
"steckelberg_castle_DE_gid_unknown","leuven_BE_gid_2792482"
"milano_IT_gid_3173435","leuven_BE_gid_2792482"
"brugge_BE_gid_2800931","leuven_BE_gid_2792482"
"znojmo_CZ_gid_3061344","leuven_BE_gid_2792482"
"ebernburg_castle_DE_gid_unknown","leuven_BE_gid_2792482"
"rome_IT_gid_3169070","leuven_BE_gid_2792482"
"worms_DE_gid_2806142","leuven_BE_gid_2792482"
"worms_DE_gid_2806142","leuven_BE_gid_2792482"
"basel_CH_gid_2661604","anderlecht_BE_gid_2803201"
"rome_IT_gid_3169070","anderlecht_BE_gid_2803201"
"brugge_BE_gid_2800931","leuven_BE_gid_2792482"
"florence_IT_gid_3176959","anderlecht_BE_gid_2803201"
"basel_CH_gid_2661604","anderlecht_BE_gid_2803201"
"halle_(saale)_DE_gid_2911522","leuven_BE_gid_2792482"
"leuven_BE_gid_2792482","basel_CH_gid_2661604"
"vitoria_ES_gid_3104499","basel_CH_gid_2661604"
"richmond_palace_GB_gid_unknown","basel_CH_gid_2661604"
"augsburg_DE_gid_2954172","basel_CH_gid_2661604"
