"letters_id","sender_id","recipient_id","send_date_computable1","source_loc_id","SourceLAT","SourceLNG","target_loc_id","TargetLAT","TargetLNG","GEOM"
"era_cde_2980a","3bac408c-12d2-4a66-a566-c5f8d048c1c2","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1534-12-05","siena_IT_gid_3166548","43.31822","11.33064","freiburg_DE_gid_2925177","47.9959","7.85222","LINESTRING (11.33064 43.31822 , 7.85222 47.9959) |era_cde_2980a"
"era_cwe_100","a89f8328-a75d-4bae-98c9-6ff8ad7c5a95","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1499-05-01","paris_FR_gid_2988507","48.85341","2.3488","paris_FR_gid_2988507","48.85341","2.3488","LINESTRING (2.3488 48.85341 , 2.3488 48.85341) |era_cwe_100"
"era_cwe_1000a","285e3bbd-d087-46d6-ad31-2e07a29fa69e","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1519-07-01","leuven_BE_gid_2792482","50.87959","4.70093","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (4.70093 50.87959 , 4.70093 50.87959) |era_cwe_1000a"
"era_cwe_1011","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1519-09-01","marly_la_ville_FR_gid_2995653","49.08201","2.50347","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (2.50347 49.08201 , 4.70093 50.87959) |era_cwe_1011"
"era_cwe_1015","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1519-09-15","marly_la_ville_FR_gid_2995653","49.08201","2.50347","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (2.50347 49.08201 , 4.70093 50.87959) |era_cwe_1015"
"era_cwe_1020","d86e9fb0-c6d2-406a-a352-63a6fa4237dc","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1519-10-07","basel_CH_gid_2661604","47.5584","7.57327","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (7.57327 47.5584 , 4.70093 50.87959) |era_cwe_1020"
"era_cwe_1021","121128f7-b025-4d17-9da7-90c817321cc5","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1519-10-10","kostelec_nad_labem_CZ_gid_3073151","50.22653","14.58552","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (14.58552 50.22653 , 4.70093 50.87959) |era_cwe_1021"
"era_cwe_1037","092caa16-2b04-4fb8-b132-a236074b2b2c","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1519-12-01","leuven_BE_gid_2792482","50.87959","4.70093","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (4.70093 50.87959 , 4.70093 50.87959) |era_cwe_1037"
"era_cwe_1044","8412c3ce-86fa-455a-9ee7-75da171ede61","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1519-11-28","the_hague_NL_gid_2747373","52.07667","4.29861","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (4.29861 52.07667 , 4.70093 50.87959) |era_cwe_1044"
"era_cwe_1045","4de6dad8-84ae-4acd-9b76-0e2064602f71","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1519-12-01","paris_FR_gid_2988507","48.85341","2.3488","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (2.3488 48.85341 , 4.70093 50.87959) |era_cwe_1045"
"era_cwe_1047","80f13145-01d8-4e72-be98-af1270b9c741","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1519-12-01","wrocław_PL_gid_3081368","51.1","17.03333","leuven_BE_gid_2792482","50.87959","4.70093","LINESTRING (17.03333 51.1 , 4.70093 50.87959) |era_cwe_1047"
"era_cwe_106","970aec7e-c773-4c16-8ac1-fb12315b9d1c","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","1499-10-01","oxford_GB_gid_2640729","51.75222","-1.25596","oxford_GB_gid_2640729","51.75222","-1.25596","LINESTRING (-1.25596 51.75222 , -1.25596 51.75222) |era_cwe_106"
