"recipient_id","First Letter From Erasmus","Last Letter From Erasmus"
"adrianus_[corpus_era]_viaf_unknown","1501-09-01","1501-09-01"
"adrian_vi_ pope_ viaf_76430137","1522-08-01","1523-03-22"
"afinius_ henricus_viaf_220463086","1517-02-01","1518-03-13"
"agricola_georg_viaf_100164815","1531-08-29","1534-04-01"
"agricola_johann_viaf_72187518","1533-05-03","1533-05-03"
"agrippa_von_nettsheim_heinrich_cornelius_viaf_24596804","1531-09-19","1533-04-21"
"aiazza_girolamo_viaf_unknown","1528-09-02","1528-09-02"
"alardet_amblard_viaf_unknown","1527-10-18","1527-10-18"
"alardet_claude_louis_viaf_314873892","1527-10-18","1527-10-18"
"alardus_amstelredamus_viaf_85054604","1517-01-01","1517-01-01"
"albert_of_brandenburg_archbischop_and_elector_of_mainz_cardinal_viaf_42631444","1517-12-22","1523-06-01"
"albon_antoine_de_viaf_304010662","1530-11-27","1531-04-01"
"alciati_andrea_viaf_51699991","1521-12-14","1531-03-31"
"aldrich_robert_viaf_14638314","1525-12-25","1527-08-23"
"aleandro_girolamo_viaf_17319843","1524-09-02","1524-09-02"
"amerbach_bonifacius_viaf_34528701","1516-05-12","1536-02-14"
"amerbach_bruno_viaf_56641742","1516-07-13","1518-11-04"
"ammonius_levinus_viaf_unknown","1528-10-02","1531-04-13"
"andreis_franjo_trankvil_viaf_22294763","1519-06-28","1519-06-28"
"andrelini_publio_fausto_viaf_32016421","1499-05-01","1500-11-20"
"angleberme_jean_pyrrhus_de_viaf_59228519","1517-11-30","1517-11-30"
"angleberme_pierre_de_viaf_unknown","1500-12-13","1500-12-13"
"angst_wolfgang_viaf_107637903","1517-08-24","1517-08-24"
"anshelm_thomas_viaf_100386946","1516-04-01","1516-04-01"
"antonin_jan_viaf_300229095","1525-08-28","1529-06-09"
"antonius_of_luxembourg_viaf_unknown","1500-12-11","1518-03-05"
"anton_gurk_bischof_viaf_80560287","1529-02-06","1529-03-10"
"an_unsuccessful_candidate_for_the_latin_chair_viaf_unknown","1519-12-07","1519-12-07"
"apocellus_jacobus_viaf_unknown","1525-10-09","1525-10-09"
"armagnac_georges_de_viaf_59219003","1531-11-19","1531-11-19"
"assendelft_gerrit_van_viaf_285766245","1532-10-29","1532-10-29"
"auerbach_heinrich_viaf_69872391","1517-08-24","1525-04-08"
"aytta_bernhard_bucho_van_viaf_unknown","1521-09-24","1521-09-24"
"aytta_wigle_van_viaf_56619243","1529-03-01","1533-11-18"
"a_friend_viaf_unknown","1489-01-01","1522-02-09"
"a_monk_viaf_unknown","1527-10-15","1527-10-15"
"a_physician_viaf_unknown","1500-09-10","1500-09-10"
"baarland_adriaan_van_viaf_19701114","1517-01-01","1526-04-20"
"badius_josse_viaf_44352439","1518-01-16","1518-04-17"
"baer_ludwig_viaf_57525097","1517-01-01","1535-09-21"
"baïf_lazare_de_viaf_12351164","1528-03-01","1531-03-13"
"balthasar_konstanz_bischof_viaf_42723378","1529-03-15","1530-03-15"
"bannicius_jacobus_viaf_72207021","1517-11-03","1519-05-21"
"barbier_pierre_viaf_unknown","1517-07-17","1525-10-03"
"barlandus_hubertus_viaf_9990971","1529-06-08","1529-06-08"
"bartolini_lorenzo_di_bartolomeo_viaf_38444988","1521-03-01","1521-03-01"
"bartolini_riccardo_viaf_15583224","1517-03-10","1517-03-10"
"basel_town_council_of_viaf_not_applicable","1523-11-01","1525-10-01"
"batt_cornelis_viaf_unknown","1518-04-29","1518-04-29"
"batt_jacob_viaf_291974564","1495-01-01","1501-08-01"
"baumgärtner_david_viaf_38023220","1535-02-13","1535-02-13"
"becker_jan_viaf_unknown","1519-04-24","1527-08-24"
"béda_noël_viaf_54135945","1525-04-28","1527-11-16"
"bedyll_thomas_viaf_unknown","1518-03-05","1520-12-31"
"beere_richard_viaf_32827049","1524-09-04","1524-09-04"
"bembo_pietro_viaf_54144140","1529-02-22","1534-08-16"
"bensrott_nikolaus_viaf_unknown","1501-07-17","1501-07-18"
"béraud_nicolas_viaf_9955323","1519-08-09","1522-05-25"
"bercin_antoine_viaf_unknown","1529-04-01","1529-04-01"
"bergen_antoon_(1)_van_viaf_unknown","1501-01-14","1518-01-14"
"bergen_antoon_(3)_van_viaf_unknown","1518-01-13","1519-05-20"
"bergen_jan_(3)_van_viaf_unknown","1517-12-12","1517-12-12"
"berquin_louis_de_viaf_61541805","1525-08-25","1528-12-23"
"berselius_paschasius_viaf_unknown","1517-10-01","1518-01-07"
"bertulphus_hilarius_viaf_208867782","1526-05-16","1531-12-10"
"besançon_senate_of_viaf_not_applicable","1531-07-26","1533-03-12"
"beyming_heinrich_viaf_unknown","1518-10-17","1518-10-17"
"bibaucus_guilielmus_viaf_74763357","1526-04-07","1526-04-07"
"biétry_thiébaut_viaf_unknown","1523-10-01","1525-05-04"
"bijl_jan_viaf_unknown","1518-01-02","1518-01-02"
"blount_charles_v_baron_de_mountjoy_viaf_188706808","1528-08-13","1536-02-09"
"blount_william_viaf_212831990","1498-11-01","1531-03-18"
"boece_hector_viaf_17337454","1495-11-08","1530-03-15"
"boerio_bernardo_viaf_unknown","1530-01-13","1531-04-11"
"boerio_giovanni_battista_viaf_unknown","1512-11-11","1512-11-11"
"boerio_giovanni_viaf_unknown","1530-01-13","1530-01-13"
"bogbinder_hans_viaf_unknown","1527-10-07","1527-10-07"
"boleyn_thomas_viaf_28246375","1530-02-01","1533-12-01"
"bollart_willem_viaf_unknown","1517-09-16","1517-11-20"
"bombace_paolo_viaf_69786324","1518-03-14","1525-10-09"
"boner_jan_viaf_163357497","1531-09-21","1531-12-12"
"boner_seweryn_viaf_23296558","1531-09-01","1531-09-01"
"boner_stanislaw_viaf_163161362","1531-12-12","1531-12-12"
"bonfiglio_luca_viaf_43031726","1530-07-09","1530-07-09"
"bonvalot_françois_viaf_unknown","1529-04-01","1536-05-17"
"borssele_anna_van_viaf_unknown","1501-01-27","1501-01-27"
"boskovice_arkleb_of_viaf_unknown","1521-01-28","1521-01-28"
"bostius_arnold_viaf_22932384","1497-03-01","1498-04-01"
"bottis_henri_de_viaf_49563346","1527-12-22","1528-03-29"
"botzheim_johannes_von_viaf_40125681","1520-05-16","1531-08-05"
"boudet_michel_viaf_120896676","1525-10-02","1526-03-13"
"bourbon_nicolas_viaf_61581703","1533-04-10","1533-04-10"
"bourgogne_adolphe_de_viaf_308694698","1499-03-01","1512-09-01"
"brassicanus_joannes_alexander_viaf_9899294","1520-09-26","1530-04-04"
"briard_jean_viaf_15086346","1517-09-16","1519-04-22"
"brie_germain_de_viaf_227062191","1517-08-01","1532-01-01"
"brodarics_istván_viaf_64438742","1529-06-09","1529-06-09"
"brugnard_antoine_viaf_unknown","1524-10-27","1524-10-27"
"brunfels_otto_viaf_34489382","1525-09-01","1525-09-01"
"bucer_martin_viaf_2478527","1527-11-11","1532-03-02"
"budé_guillaume_viaf_105878228","1516-06-19","1528-09-06"
"bullock_henry_viaf_29103155","1516-08-22","1518-10-23"
"burbank_william_viaf_unknown","1520-09-01","1520-09-01"
"burgundy_henry_of_viaf_unknown","1530-03-01","1530-03-01"
"burgundy_nicolas_of_viaf_unknown","1501-01-26","1501-01-26"
"busche_hermann_von_dem_viaf_27087291","1518-04-23","1520-07-31"
"buscoducensis_nicolas_viaf_167110308","1521-08-31","1521-08-31"
"busleyden_gilles_de_viaf_unknown","1517-10-19","1531-12-15"
"busleyden_jérome_de_viaf_13120229","1506-11-17","1516-09-28"
"caduceator_henricus_viaf_unknown","1527-06-10","1527-06-10"
"caesarius_johannes_viaf_144319","1516-06-23","1524-12-16"
"cajetan_tommaso_de_vio_viaf_49196005","1532-07-23","1532-07-23"
"calcagnini_celio_viaf_76366882","1525-05-13","1525-05-13"
"calvo_francesco_viaf_304955328","1525-08-31","1525-08-31"
"camerarius_joachim_viaf_2495607","1524-12-11","1528-02-05"
"caminadus_augustinus_vincentius_viaf","1500-09-10","1501-07-15"
"cammingha_haio_viaf_unknown","1528-11-12","1528-11-12"
"campeggi_lorenzo_viaf_9837370","1519-05-01","1531-12-02"
"canossa_lodovico_viaf_20611230","1517-02-24","1517-02-24"
"canta_jacobo_viaf_unknown","1532-01-01","1532-01-01"
